alpha,condition,effective_theta,evaluations,executed_search,formula_theta,instance,raw_certificate_sha256,raw_cost_increment_pct,raw_minimum_profit_ratio,raw_profit_ratio_json,raw_solution_sha256,raw_total_cost,reused_from_alpha0,seed,source_alpha,spec_id,unrestricted_mu
0.5,geographic,0.9182321778415488,4000,True,0.9182321778415488,L-main-threeshift-10c-01,a999037c592e3a17b17df79a4b034c3bceb54a9aa3c5f3f2e76c7d43682863c7,6.356363103769416,1.0067627966142052,"{""D0"": 1.0067627966142052, ""D1"": 1.0192521985550982}",3071aa0f66f22fb10727f49060f2a68d1d6b4d1f043808950857fb716995c5fe,768.8264425467783,False,3,0.5,L-main-threeshift-10c-01__geographic__seed3,0.8364643556830976
0.75,geographic,0.9591160889207744,4000,True,0.9591160889207744,L-main-threeshift-10c-01,21d64c1c2b85fd1c7c0b28bbf9c6d7d443f455789f4a013018ce9fe0dfc38be3,8.98648091407167,0.9980879127713438,"{""D0"": 1.0067627966142052, ""D1"": 0.9980879127713438}",5787bbd80a5ca50efbed2dced11ffcef68c358e1db160339a3f4ce0bb1e85a73,787.8389779566313,False,3,0.75,L-main-threeshift-10c-01__geographic__seed3,0.8364643556830976
1.0,geographic,1.0,4000,True,1.0,L-main-threeshift-10c-01,2d1452382de4b1aeb487794a2fc38ff571c87f2511c858ec8999e1065f985975,9.229154858257138,1.0,"{""D0"": 1.0, ""D1"": 1.0}",18c00efae21cb7d7468c462f751aeb39b47568bd7acc1675152290544b648411,789.5932138082735,False,3,1.0,L-main-threeshift-10c-01__geographic__seed3,0.8364643556830976
0.0,mixed,,4000,True,0.6687747771943073,L-main-threeshift-10c-01,b53f163f11325636aa19320f59dd0551b7dc1025ca5e18998dee1a8f919123d6,0.0,0.6687747771943073,"{""D0"": 2.0212653904904694, ""D1"": 0.6687747771943073}",8523d9ce02711cb32909f9e6cb854bbcc103fd31996cb1cd14fe4c596e0de426,702.160177893885,False,1,0.0,L-main-threeshift-10c-01__mixed__seed1,0.6687747771943073
0.25,mixed,0.7515810828957306,4000,True,0.7515810828957306,L-main-threeshift-10c-01,39fa1b59eb50741f88ee856a54c363343160049830304c833d479878175d86a5,2.389621922387508,0.9386125607766121,"{""D0"": 1.4760902859125702, ""D1"": 0.9386125607766121}",a16e80bddc52a1564e3ff374cc6b7c77a5aef588db8fae77c840ccf0dcf66176,718.9391514351124,False,1,0.25,L-main-threeshift-10c-01__mixed__seed1,0.6687747771943073
0.5,mixed,0.8343873885971537,4000,True,0.8343873885971537,L-main-threeshift-10c-01,a3e7819f861dd92835aecf4d6936ec5634e3a299cf15b6f15f1a7cfdab3d1de0,-1.0683738319999727,0.9126562441162698,"{""D0"": 1.578145949836026, ""D1"": 0.9126562441162698}",0520cef2deb0a9e70779c918047128470cab6b541dbbc937a9d4e5f04e7e5ed0,694.6584822945423,False,1,0.5,L-main-threeshift-10c-01__mixed__seed1,0.6687747771943073
0.75,mixed,0.9171936942985768,4000,True,0.9171936942985768,L-main-threeshift-10c-01,b1129fe765c9b67861ffe87b94f37235294565eb08774469f199880de008312e,-0.7660177746307638,1.0452419111723916,"{""D0"": 1.3236712067747853, ""D1"": 1.0452419111723916}",0c1a3dc9b76bee963168d446408da8af296ac399555b9fdeeaa1ed3db9902d09,696.7815061248389,False,1,0.75,L-main-threeshift-10c-01__mixed__seed1,0.6687747771943073
1.0,mixed,1.0,4000,True,1.0,L-main-threeshift-10c-01,1e750b2b8065a9b45c4486256bbd08b9b37a88ee41bb436edf008f57e39c5092,2.2945295601088804,1.037240721273756,"{""D0"": 1.2917092860125918, ""D1"": 1.037240721273756}",c4ed9e371aba97f5975ea2246778591ca418ee52189d8e09b1d88842d2feaeb5,718.2714507349733,False,1,1.0,L-main-threeshift-10c-01__mixed__seed1,0.6687747771943073
0.0,mixed,,4000,True,0.9032824323398098,L-main-threeshift-10c-01,bf8ca0f9bc37bd4dc58005be75a5c895d416f3b15ad2484a1ea564a790621efd,0.0,0.9032824323398098,"{""D0"": 1.6478042170334937, ""D1"": 0.9032824323398098}",9952d17ab63803b0a75112c033309d9429bb126299f11600d1b7cb9c7b850a4a,700.9138744331121,False,2,0.0,L-main-threeshift-10c-01__mixed__seed2,0.9032824323398098
0.25,mixed,0.9274618242548573,4000,True,0.9274618242548573,L-main-threeshift-10c-01,39fa1b59eb50741f88ee856a54c363343160049830304c833d479878175d86a5,2.571682150903181,0.9384981708722467,"{""D0"": 1.5375773903439147, ""D1"": 0.9384981708722467}",b7298c2055b6fdef4338cef75e3d1f6e81ff8f8231addb9cd05c5dcbca56267c,718.9391514351124,False,2,0.25,L-main-threeshift-10c-01__mixed__seed2,0.9032824323398098
