alpha,condition,contract_sha256,dependency,eval_budget,execution,input_fingerprint,instance,seed,spec_id,task_id
0.5,geographic,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-10c-01__geographic__seed3__alpha_000,4000,run_or_conditional_reuse,d2c72513ab2c280f95efd8c5fe55827fe74bf10d6900bf6e2d3163ad9e8a5863,L-main-threeshift-10c-01,3,L-main-threeshift-10c-01__geographic__seed3,L-main-threeshift-10c-01__geographic__seed3__alpha_050
0.75,geographic,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-10c-01__geographic__seed3__alpha_000,4000,run_or_conditional_reuse,d2c72513ab2c280f95efd8c5fe55827fe74bf10d6900bf6e2d3163ad9e8a5863,L-main-threeshift-10c-01,3,L-main-threeshift-10c-01__geographic__seed3,L-main-threeshift-10c-01__geographic__seed3__alpha_075
1.0,geographic,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-10c-01__geographic__seed3__alpha_000,4000,run_or_conditional_reuse,d2c72513ab2c280f95efd8c5fe55827fe74bf10d6900bf6e2d3163ad9e8a5863,L-main-threeshift-10c-01,3,L-main-threeshift-10c-01__geographic__seed3,L-main-threeshift-10c-01__geographic__seed3__alpha_100
0.0,mixed,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,,4000,run_unrestricted,c62c74294eb6fbdfb66f198da557faf535e25fcd0dca50c1e9595d828d9d2796,L-main-threeshift-10c-01,1,L-main-threeshift-10c-01__mixed__seed1,L-main-threeshift-10c-01__mixed__seed1__alpha_000
0.25,mixed,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-10c-01__mixed__seed1__alpha_000,4000,run_or_conditional_reuse,c62c74294eb6fbdfb66f198da557faf535e25fcd0dca50c1e9595d828d9d2796,L-main-threeshift-10c-01,1,L-main-threeshift-10c-01__mixed__seed1,L-main-threeshift-10c-01__mixed__seed1__alpha_025
0.5,mixed,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-10c-01__mixed__seed1__alpha_000,4000,run_or_conditional_reuse,c62c74294eb6fbdfb66f198da557faf535e25fcd0dca50c1e9595d828d9d2796,L-main-threeshift-10c-01,1,L-main-threeshift-10c-01__mixed__seed1,L-main-threeshift-10c-01__mixed__seed1__alpha_050
0.75,mixed,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-10c-01__mixed__seed1__alpha_000,4000,run_or_conditional_reuse,c62c74294eb6fbdfb66f198da557faf535e25fcd0dca50c1e9595d828d9d2796,L-main-threeshift-10c-01,1,L-main-threeshift-10c-01__mixed__seed1,L-main-threeshift-10c-01__mixed__seed1__alpha_075
1.0,mixed,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-10c-01__mixed__seed1__alpha_000,4000,run_or_conditional_reuse,c62c74294eb6fbdfb66f198da557faf535e25fcd0dca50c1e9595d828d9d2796,L-main-threeshift-10c-01,1,L-main-threeshift-10c-01__mixed__seed1,L-main-threeshift-10c-01__mixed__seed1__alpha_100
0.0,mixed,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,,4000,run_unrestricted,1be608af3d177efc7c8bf4d3a487eb6b80f9b7f4cd7d2742fa2857717013590c,L-main-threeshift-10c-01,2,L-main-threeshift-10c-01__mixed__seed2,L-main-threeshift-10c-01__mixed__seed2__alpha_000
0.25,mixed,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-10c-01__mixed__seed2__alpha_000,4000,run_or_conditional_reuse,1be608af3d177efc7c8bf4d3a487eb6b80f9b7f4cd7d2742fa2857717013590c,L-main-threeshift-10c-01,2,L-main-threeshift-10c-01__mixed__seed2,L-main-threeshift-10c-01__mixed__seed2__alpha_025
0.5,mixed,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-10c-01__mixed__seed2__alpha_000,4000,run_or_conditional_reuse,1be608af3d177efc7c8bf4d3a487eb6b80f9b7f4cd7d2742fa2857717013590c,L-main-threeshift-10c-01,2,L-main-threeshift-10c-01__mixed__seed2,L-main-threeshift-10c-01__mixed__seed2__alpha_050
0.75,mixed,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-10c-01__mixed__seed2__alpha_000,4000,run_or_conditional_reuse,1be608af3d177efc7c8bf4d3a487eb6b80f9b7f4cd7d2742fa2857717013590c,L-main-threeshift-10c-01,2,L-main-threeshift-10c-01__mixed__seed2,L-main-threeshift-10c-01__mixed__seed2__alpha_075
1.0,mixed,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-10c-01__mixed__seed2__alpha_000,4000,run_or_conditional_reuse,1be608af3d177efc7c8bf4d3a487eb6b80f9b7f4cd7d2742fa2857717013590c,L-main-threeshift-10c-01,2,L-main-threeshift-10c-01__mixed__seed2,L-main-threeshift-10c-01__mixed__seed2__alpha_100
0.0,mixed,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,,4000,run_unrestricted,f9920bcb63c9d6b16868d51de2ac09723f5462eb912d71233fdd4c7060d37e05,L-main-threeshift-10c-01,3,L-main-threeshift-10c-01__mixed__seed3,L-main-threeshift-10c-01__mixed__seed3__alpha_000
0.25,mixed,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-10c-01__mixed__seed3__alpha_000,4000,run_or_conditional_reuse,f9920bcb63c9d6b16868d51de2ac09723f5462eb912d71233fdd4c7060d37e05,L-main-threeshift-10c-01,3,L-main-threeshift-10c-01__mixed__seed3,L-main-threeshift-10c-01__mixed__seed3__alpha_025
0.5,mixed,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-10c-01__mixed__seed3__alpha_000,4000,run_or_conditional_reuse,f9920bcb63c9d6b16868d51de2ac09723f5462eb912d71233fdd4c7060d37e05,L-main-threeshift-10c-01,3,L-main-threeshift-10c-01__mixed__seed3,L-main-threeshift-10c-01__mixed__seed3__alpha_050
0.75,mixed,89fdf5eb7d7694347ed5de0f8a30e64d0d469c5a185a8ee589ac48baa28e9bbc,L-main-threeshift-10c-01__mixed__seed3__alpha_000,4000,run_or_conditional_reuse,f9920bcb63c9d6b16868d51de2ac09723f5462eb912d71233fdd4c7060d37e05,L-main-threeshift-10c-01,3,L-main-threeshift-10c-01__mixed__seed3,L-main-threeshift-10c-01__mixed__seed3__alpha_075
