row_id,category,query,title,publication_year,authors,venue,doi,openalex_id,url,cited_by_count,source_mapping,abstract
1,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,Hybrid metaheuristics in combinatorial optimization: A survey,2011,Christian Blum; Jakob Puchinger; Günther R. Raidl; Andrea Roli,Applied Soft Computing,https://doi.org/10.1016/j.asoc.2011.02.032,https://openalex.org/W2159427933,https://doi.org/10.1016/j.asoc.2011.02.032,754,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,
2,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,A review of recent research on green road freight transportation,2014,Emrah Demir; Tolga Bektaş; Gilbert Laporte,European Journal of Operational Research,https://doi.org/10.1016/j.ejor.2013.12.033,https://openalex.org/W1969029115,https://doi.org/10.1016/j.ejor.2013.12.033,740,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,
3,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,An adaptive large neighborhood search heuristic for Two-Echelon Vehicle Routing Problems arising in city logistics,2012,Vera Hemmelmayr; Jean‐François Cordeau; Teodor Gabriel Crainic,Computers & Operations Research,https://doi.org/10.1016/j.cor.2012.04.007,https://openalex.org/W2146004814,https://doi.org/10.1016/j.cor.2012.04.007,506,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,"In this paper, we propose an adaptive large neighborhood search heuristic for the Two-Echelon Vehicle Routing Problem (2E-VRP) and the Location Routing Problem (LRP). The 2E-VRP arises in two-level transportation systems such as those encountered in the context of city logistics. In such systems, freight arrives at a major terminal and is shipped through intermediate satellite facilities to the final customers. The LRP can be seen as a special case of the 2E-VRP in which vehicle routing is performed only at the second level. We have developed new neighborhood search operators by exploiting the structure of the two problem classes considered and have also adapted existing operators from the literature. The operators are used in a hierarchical scheme reflecting the multi-level nature of the problem. Computational experiments conducted on several sets of instances from the literature show that our algorithm outperforms existing solution methods for the 2E-VRP and achieves excellent results on the LRP."
4,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,A Survey on the Electric Vehicle Routing Problem: Variants and Solution Approaches,2019,Tomislav Erdelić; Tonči Carić,Journal of Advanced Transportation,https://doi.org/10.1155/2019/5075671,https://openalex.org/W2943956374,https://doi.org/10.1155/2019/5075671,259,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,"In order to ensure high-quality and on-time delivery in logistic distribution processes, it is necessary to efficiently manage the delivery fleet. Nowadays, due to the new policies and regulations related to greenhouse gas emission in the transport sector, logistic companies are paying higher penalties for each emission gram of <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" id=""M1""><mml:mrow><mml:msub><mml:mrow><mml:mi mathvariant=""normal"">C</mml:mi><mml:mi mathvariant=""normal"">O</mml:mi></mml:mrow><mml:mrow><mml:mn mathvariant=""normal"">2</mml:mn></mml:mrow></mml:msub></mml:mrow></mml:math>/km. With electric vehicle market penetration, many companies are evaluating the integration of electric vehicles in their fleet, as they do not have local greenhouse gas emissions, produce minimal noise, and are independent of the fluctuating oil price. The well-researched vehicle routing problem (VRP) is extended to the electric vehicle routing problem (E-VRP), which takes into account specific characteristics of electric vehicles. In this paper, a literature review on recent developments regarding the E-VRP is presented. The challenges that emerged with the integration of electric ve"
5,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,Routing problems with loading constraints,2010,Manuel Iori; Silvano Martello,Top,https://doi.org/10.1007/s11750-010-0144-x,https://openalex.org/W2050841472,https://doi.org/10.1007/s11750-010-0144-x,218,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,
6,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,The multi-port berth allocation problem with speed optimization and emission considerations,2017,Giada Venturini; Çağatay Iris; Christos A. Kontovas; Allan Larsen,Transportation Research Part D Transport and Environment,https://doi.org/10.1016/j.trd.2017.05.002,https://openalex.org/W2614841130,https://doi.org/10.1016/j.trd.2017.05.002,214,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,
7,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,The two-echelon vehicle routing problem with covering options: City logistics with cargo bikes and parcel lockers,2020,David L.J.U. Enthoven; Bolor Jargalsaikhan; Kees Jan Roodbergen; Michiel A.J. uit het Broek; Albert H. Schrotenboer,Computers & Operations Research,https://doi.org/10.1016/j.cor.2020.104919,https://openalex.org/W3006014023,https://doi.org/10.1016/j.cor.2020.104919,187,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,
8,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,The role of operational research in green freight transportation,2018,Tolga Bektaş; Jan Fabian Ehmke; Harilaos N. Psaraftis; Jakob Puchinger,European Journal of Operational Research,https://doi.org/10.1016/j.ejor.2018.06.001,https://openalex.org/W2808380826,https://doi.org/10.1016/j.ejor.2018.06.001,171,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,
9,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,Lower and upper bounds for the two-echelon capacitated location-routing problem,2012,Claudio Contardo; Vera Hemmelmayr; Teodor Gabriel Crainic,Computers & Operations Research,https://doi.org/10.1016/j.cor.2012.04.003,https://openalex.org/W2165941447,https://doi.org/10.1016/j.cor.2012.04.003,166,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,"In this paper, we introduce two algorithms to address the two-echelon capacitated location-routing problem (2E-CLRP). We introduce a branch-and-cut algorithm based on the solution of a new two-index vehicle-flow formulation, which is strengthened with several families of valid inequalities. We also propose an adaptive large-neighbourhood search (ALNS) meta-heuristic with the objective of finding good-quality solutions quickly. The computational results on a large set of instances from the literature show that the ALNS outperforms existing heuristics. Furthermore, the branch-and-cut method provides tight lower bounds and is able to solve small- and medium-size instances to optimality within reasonable computing times."
10,ALNS original / operator selection,adaptive large neighborhood search operator selection vehicle routing Ropke Pisinger,The electric vehicle routing problem with time windows and synchronised mobile battery swapping,2020,Ramin Raeesi; Konstantinos G. Zografos,Transportation Research Part B Methodological,https://doi.org/10.1016/j.trb.2020.06.012,https://openalex.org/W3049116196,https://doi.org/10.1016/j.trb.2020.06.012,157,solver/src/setp_solver/search/winner_operators.py; solver/src/setp_solver/search/resetp_alns/select.py,
