instance_id,n,seed,arm,status,sealed_cost,rerun_cost,cost_equal,cost_delta,cpu_seconds,violation_count,violations,epochs_run,hgs_iterations,snapshot_count,snapshot_file,error_type,error
cn-prd-50c-01-V2-LOCATIONS,50,2,cv_only,OK,2481.6596445092614,2481.6596445092614,True,0.0,11.168957583999145,0,[],1,3074,7,snapshots/cv_only_seed2.json,,
cn-prd-50c-01-V2-LOCATIONS,50,1,cv_only,OK,2482.4470517329405,2482.4470517329405,True,0.0,11.565686374999132,0,[],1,3262,7,snapshots/cv_only_seed1.json,,
cn-prd-50c-01-V2-LOCATIONS,50,1,mechanism_ev,OK,2364.048690580053,2364.048690580053,True,0.0,15.989020166000046,0,[],1,4329,11,snapshots/mechanism_ev_seed1.json,,
cn-prd-50c-01-V2-LOCATIONS,50,2,naive_ev,OK,2358.7308493232913,2358.7308493232913,True,0.0,21.15592291699977,0,[],1,6758,17,snapshots/naive_ev_seed2.json,,
cn-prd-50c-01-V2-LOCATIONS,50,2,mechanism_ev,OK,2358.7308493232913,2358.7308493232913,True,0.0,12.557216458000767,0,[],1,3515,10,snapshots/mechanism_ev_seed2.json,,
cn-prd-50c-01-V2-LOCATIONS,50,1,naive_ev,OK,2357.498946659032,2357.498946659032,True,0.0,27.24045670799933,0,[],1,8195,21,snapshots/naive_ev_seed1.json,,
cn-prd-50c-01-V2-LOCATIONS,50,3,cv_only,OK,2480.060060310482,2480.060060310482,True,0.0,11.678748250000353,0,[],1,3216,8,snapshots/cv_only_seed3.json,,
cn-prd-50c-01-V2-LOCATIONS,50,3,mechanism_ev,OK,2362.1210429152775,2362.1210429152775,True,0.0,13.330050292001033,0,[],1,3885,13,snapshots/mechanism_ev_seed3.json,,
cn-prd-50c-01-V2-LOCATIONS,50,4,cv_only,OK,2473.7397280806654,2473.7397280806654,True,0.0,10.648315709000599,0,[],1,3028,6,snapshots/cv_only_seed4.json,,
cn-prd-50c-01-V2-LOCATIONS,50,3,naive_ev,OK,2358.7308493232913,2358.7308493232913,True,0.0,20.482369082999867,0,[],1,5729,25,snapshots/naive_ev_seed3.json,,
