network,condition,arm,stream_day_count,pooled_charging_reduction_pct,pooled_total_operational_reduction_pct,mean_day_task_charging_reduction_pct,improved,worsened,tied
N114,geographic,full,140,3.1262324043807417,0.36698533562228125,2.690222109823114,55,77,8
N114,historical_mixed,full,140,2.7840405271630755,0.2944052227632305,2.395996816789028,52,69,19
N221,geographic,full,140,3.284788156715829,0.36785173801901705,2.8889647507875855,83,47,10
N221,historical_mixed,full,140,3.0426503225726176,0.3391196983542327,2.4837846289145826,63,60,17
N322,geographic,full,140,3.1551216849007315,0.39389758977976486,2.773648024690327,79,53,8
N322,historical_mixed,full,140,3.033723032231208,0.3620087405575899,2.6176355096624184,73,58,9
