network,condition,expected_stream_count,full_executable_stream_count,no_cooperation_executable_stream_count,no_participation_executable_stream_count,simple_insertion_executable_stream_count,full_streams_with_cross_site_service,full_cross_site_customer_count_sum,full_deadline_comparable_stage_count,full_stage_deadline_miss_count,full_maximum_stage_elapsed_seconds,paired_complete_stream_count,paired_incomplete_stream_count,full_day_participation_floor_met_count,full_minus_no_cooperation_net_profit_mean,full_vs_no_cooperation_better_worse_tied,full_minus_no_cooperation_revenue_mean,full_minus_no_cooperation_cost_mean,full_minus_no_cooperation_completed_customer_count_mean,full_minus_no_cooperation_completed_demand_mean,full_minus_no_participation_net_profit_mean,full_vs_no_participation_better_worse_tied,full_minus_no_participation_revenue_mean,full_minus_no_participation_system_cost_mean,full_minus_no_participation_completed_customer_count_mean,full_minus_no_participation_completed_demand_mean,full_minus_simple_insertion_net_profit_mean,full_vs_simple_insertion_better_worse_tied,full_minus_simple_insertion_revenue_mean,full_minus_simple_insertion_cost_mean,full_minus_simple_insertion_completed_customer_count_mean,full_minus_simple_insertion_completed_demand_mean,simple_insertion_minus_full_actual_total_emissions_kg_mean
N114,geographic,5,5,5,5,5,1,1,7,0,10.646579041000223,5,0,1,-37.67298130626059,2/3/0,-3.637978807091713e-13,37.67298130626004,0.0,0.0,-95.64606366766239,0/5/0,-1.0913936421275138e-12,95.64606366766156,0.0,0.0,149.7732480005505,4/1/0,0.0,-149.7732480005512,0.0,0.0,97.44393896150181
N114,historical_mixed,5,5,5,3,5,3,5,7,0,3.3091993749985704,3,2,1,-91.81279470907914,1/2/0,-6.063298011819521e-13,91.81279470907914,0.0,0.0,-17.588613065447436,0/1/2,0.0,17.588613065447436,0.0,0.0,57.49825818422869,3/0/0,-1.2126596023639042e-12,-57.4982581842296,0.0,0.0,29.420654200771576
N221,geographic,5,5,5,5,5,2,3,10,0,2320.941281416992,5,0,2,59.45391736920028,3/2/0,0.0,-59.45391736919737,0.0,0.0,0.0,0/0/5,0.0,0.0,0.0,0.0,184.9956869096124,5/0/0,-1.4551915228366853e-12,-184.99568690961314,0.0,0.0,64.61043865462416
N221,historical_mixed,5,5,5,5,5,3,9,10,0,1960.749327832993,5,0,1,63.86836352276369,3/2/0,-7.275957614183426e-13,-63.868363522764774,0.0,0.0,35.662142496723575,2/3/0,-7.275957614183426e-13,-35.66214249672485,0.0,0.0,280.2977416728556,5/0/0,-7.275957614183426e-13,-280.29774167285575,0.0,0.0,84.73521824622466
N322,geographic,5,5,5,5,5,1,2,10,1,36789.49864758301,5,0,1,14.146652300168352,2/3/0,1.4551915228366853e-12,-14.146652300168352,0.0,0.0,-132.42522142317358,1/3/1,1.2657393364221208,133.69096075959607,0.0,6.684301523136673,42.91744091401961,3/2/0,-42.41664000000092,-85.33408091402198,-0.4,-224.0,37.48149595956638
N322,historical_mixed,5,5,5,5,5,5,13,10,1,27303.509875833,5,0,4,285.36071909471355,5/0/0,13.065839999997843,-272.29487909471425,0.2,69.0,55.523785449754726,3/2/0,-2.1827872842550277e-12,-55.52378544975545,0.0,0.0,389.2055715914481,5/0/0,-11.382808837704214,-400.58838042915124,0.0,-60.11200273395516,129.80932966517065
