network,condition,stream,all_four_arms_executable,full_minus_no_cooperation_net_profit,full_minus_no_cooperation_revenue,full_minus_no_cooperation_cost,full_minus_no_cooperation_completed_customer_count,full_minus_no_cooperation_completed_demand,full_minus_no_participation_net_profit,full_minus_no_participation_revenue,full_minus_no_participation_system_cost,full_minus_no_participation_completed_customer_count,full_minus_no_participation_completed_demand,full_minus_simple_insertion_net_profit,full_minus_simple_insertion_revenue,full_minus_simple_insertion_cost,full_minus_simple_insertion_completed_customer_count,full_minus_simple_insertion_completed_demand,simple_insertion_minus_full_actual_total_emissions_kg,full_day_participation_floor_met
N114,geographic,1,True,32.55139817612326,0.0,-32.55139817612235,0,0.0,-228.4323019034582,-3.637978807091713e-12,228.4323019034564,0,0.0,-160.1856852830042,0.0,160.18568528300602,0,0.0,146.69129037278344,True
N114,geographic,2,True,-3.5698352733115826,0.0,3.569835273310673,0,0.0,-2.9938065407468457,0.0,2.9938065407468457,0,0.0,380.4013206836862,0.0,-380.40132068368985,0,0.0,153.59562973527454,False
N114,geographic,3,True,-159.0022260984133,0.0,159.00222609841148,0,0.0,-149.14268766506302,0.0,149.1426876650612,0,0.0,4.339409053117379,0.0,-4.339409053120107,0,0.0,-15.00977600119063,False
N114,geographic,4,True,37.01858983175589,-1.8189894035458565e-12,-37.0185898317568,0,0.0,-80.69601513808993,-1.8189894035458565e-12,80.69601513808993,0,0.0,359.40480616796776,0.0,-359.40480616796685,0,0.0,146.30755769094253,False
N114,geographic,5,True,-95.36283316745721,0.0,95.36283316745721,0,0.0,-16.965507090953906,0.0,16.96550709095345,0,0.0,164.90638938098527,0.0,-164.90638938098527,0,0.0,55.6349930096992,False
N114,historical_mixed,1,False,,,,,,,,,,,,,,,,,
N114,historical_mixed,2,True,47.832029797836185,-1.8189894035458565e-12,-47.832029797837095,0,0.0,0.0,0.0,0.0,0,0.0,47.832029797836185,-1.8189894035458565e-12,-47.832029797837095,0,0.0,22.18178049218045,True
N114,historical_mixed,3,False,,,,,,,,,,,,,,,,,
N114,historical_mixed,4,True,-206.75642327991136,0.0,206.75642327991227,0,0.0,-52.76583919634231,0.0,52.76583919634231,0,0.0,108.72742435151667,-1.8189894035458565e-12,-108.7274243515185,0,0.0,54.93219118411821,False
N114,historical_mixed,5,True,-116.51399064516227,0.0,116.51399064516227,0,0.0,0.0,0.0,0.0,0,0.0,15.935320403333208,0.0,-15.935320403333208,0,0.0,11.147990926016064,False
N221,geographic,1,True,-6.499835898643141,-7.275957614183426e-12,6.499835898641322,0,0.0,0.0,0.0,0.0,0,0.0,221.53362605018629,0.0,-221.53362605018629,0,0.0,32.26415697817629,False
N221,geographic,2,True,46.5585115050344,0.0,-46.558511505030765,0,0.0,0.0,0.0,0.0,0,0.0,1.3975534621040424,-3.637978807091713e-12,-1.3975534621076804,0,0.0,-19.57231999982514,False
N221,geographic,3,True,-31.339169723332816,-3.637978807091713e-12,31.339169723329178,0,0.0,0.0,0.0,0.0,0,0.0,13.637026018102915,-7.275957614183426e-12,-13.637026018108372,0,0.0,-12.035472565594318,False
N221,geographic,4,True,72.91689491508077,3.637978807091713e-12,-72.91689491507168,0,0.0,0.0,0.0,0.0,0,0.0,73.73752378052814,0.0,-73.73752378052632,0,0.0,101.44691000225203,True
N221,geographic,5,True,215.63318604786218,7.275957614183426e-12,-215.6331860478549,0,0.0,0.0,0.0,0.0,0,0.0,614.6727052371407,3.637978807091713e-12,-614.672705237137,0,0.0,220.94891885811194,True
N221,historical_mixed,1,True,280.8758445661706,0.0,-280.8758445661733,0,0.0,-13.009557799359754,0.0,13.009557799359754,0,0.0,413.2308703105309,0.0,-413.23087031053,0,0.0,119.3168163265118,False
