city,region,energy_kwh,price_basis,valley_cheapest_window,valley_cheapest_tied_window_count,low_carbon_window,low_carbon_tied_window_count,valley_cheapest_cost_cny,valley_cheapest_carbon_kgco2e,low_carbon_cost_cny,low_carbon_carbon_kgco2e,cost_difference_low_carbon_minus_cheapest_cny,carbon_difference_low_carbon_minus_cheapest_kgco2e
beijing,jjj,30,depot,00:00–03:00,9,12:00–15:00,1,16.89857250,14.93389286,28.21507250,2.87217857,11.31650000,-12.06171429
beijing,jjj,60,depot,00:00–03:00,9,12:00–15:00,1,33.79714500,29.86778571,56.43014500,5.74435714,22.63300000,-24.12342857
beijing,jjj,100,depot,00:00–03:00,9,12:00–15:00,1,56.32857500,49.77964286,94.05024167,9.57392857,37.72166667,-40.20571429
beijing,jjj,30,public_total,00:00–03:00,9,12:00–15:00,1,28.89857250,14.93389286,40.21507250,2.87217857,11.31650000,-12.06171429
beijing,jjj,60,public_total,00:00–03:00,9,12:00–15:00,1,57.79714500,29.86778571,80.43014500,5.74435714,22.63300000,-24.12342857
beijing,jjj,100,public_total,00:00–03:00,9,12:00–15:00,1,96.32857500,49.77964286,134.05024167,9.57392857,37.72166667,-40.20571429
chengdu,cy,30,depot,00:00–03:00,9,18:00–21:00,7,11.42733000,1.24789286,35.85555000,0.00000000,24.42822000,-1.24789286
chengdu,cy,60,depot,00:00–03:00,9,18:00–21:00,7,22.85466000,2.49578571,71.71110000,0.00000000,48.85644000,-2.49578571
chengdu,cy,100,depot,00:00–03:00,9,18:00–21:00,7,38.09110000,4.15964286,119.51850000,0.00000000,81.42740000,-4.15964286
chengdu,cy,30,public_total,00:00–03:00,9,18:00–21:00,7,23.42733000,1.24789286,47.85555000,0.00000000,24.42822000,-1.24789286
chengdu,cy,60,public_total,00:00–03:00,9,18:00–21:00,7,46.85466000,2.49578571,95.71110000,0.00000000,48.85644000,-2.49578571
chengdu,cy,100,public_total,00:00–03:00,9,18:00–21:00,7,78.09110000,4.15964286,159.51850000,0.00000000,81.42740000,-4.15964286
chongqing,cy,30,depot,00:00–03:00,11,19:00–22:00,1,12.05052000,9.20200000,32.77081000,0.25628571,20.72029000,-8.94571429
chongqing,cy,60,depot,00:00–03:00,11,19:00–22:00,1,24.10104000,18.40400000,65.54162000,0.51257143,41.44058000,-17.89142857
chongqing,cy,100,depot,00:00–03:00,11,19:00–22:00,1,40.16840000,30.67333333,109.23603333,0.85428571,69.06763333,-29.81904762
chongqing,cy,30,public_total,00:00–03:00,11,19:00–22:00,1,24.05052000,9.20200000,44.77081000,0.25628571,20.72029000,-8.94571429
chongqing,cy,60,public_total,00:00–03:00,11,19:00–22:00,1,48.10104000,18.40400000,89.54162000,0.51257143,41.44058000,-17.89142857
chongqing,cy,100,public_total,00:00–03:00,11,19:00–22:00,1,80.16840000,30.67333333,149.23603333,0.85428571,69.06763333,-29.81904762
dongguan,prd,30,depot,00:00–03:00,11,12:00–15:00,1,9.54506250,11.68750000,29.11306250,1.84378571,19.56800000,-9.84371429
dongguan,prd,60,depot,00:00–03:00,11,12:00–15:00,1,19.09012500,23.37500000,58.22612500,3.68757143,39.13600000,-19.68742857
dongguan,prd,100,depot,00:00–03:00,11,12:00–15:00,1,31.81687500,38.95833333,97.04354167,6.14595238,65.22666667,-32.81238095
dongguan,prd,30,public_total,00:00–03:00,11,12:00–15:00,1,21.54506250,11.68750000,41.11306250,1.84378571,19.56800000,-9.84371429
dongguan,prd,60,public_total,00:00–03:00,11,12:00–15:00,1,43.09012500,23.37500000,82.22612500,3.68757143,39.13600000,-19.68742857
dongguan,prd,100,public_total,00:00–03:00,11,12:00–15:00,1,71.81687500,38.95833333,137.04354167,6.14595238,65.22666667,-32.81238095
foshan,prd,30,depot,00:00–03:00,11,12:00–15:00,1,9.54506250,11.68750000,29.11306250,1.84378571,19.56800000,-9.84371429
foshan,prd,60,depot,00:00–03:00,11,12:00–15:00,1,19.09012500,23.37500000,58.22612500,3.68757143,39.13600000,-19.68742857
foshan,prd,100,depot,00:00–03:00,11,12:00–15:00,1,31.81687500,38.95833333,97.04354167,6.14595238,65.22666667,-32.81238095
foshan,prd,30,public_total,00:00–03:00,11,12:00–15:00,1,21.54506250,11.68750000,41.11306250,1.84378571,19.56800000,-9.84371429
foshan,prd,60,public_total,00:00–03:00,11,12:00–15:00,1,43.09012500,23.37500000,82.22612500,3.68757143,39.13600000,-19.68742857
foshan,prd,100,public_total,00:00–03:00,11,12:00–15:00,1,71.81687500,38.95833333,137.04354167,6.14595238,65.22666667,-32.81238095
guangzhou,prd,30,depot,00:00–03:00,11,12:00–15:00,1,9.54506250,11.68750000,29.11306250,1.84378571,19.56800000,-9.84371429
guangzhou,prd,60,depot,00:00–03:00,11,12:00–15:00,1,19.09012500,23.37500000,58.22612500,3.68757143,39.13600000,-19.68742857
guangzhou,prd,100,depot,00:00–03:00,11,12:00–15:00,1,31.81687500,38.95833333,97.04354167,6.14595238,65.22666667,-32.81238095
guangzhou,prd,30,public_total,00:00–03:00,11,12:00–15:00,1,21.54506250,11.68750000,41.11306250,1.84378571,19.56800000,-9.84371429
guangzhou,prd,60,public_total,00:00–03:00,11,12:00–15:00,1,43.09012500,23.37500000,82.22612500,3.68757143,39.13600000,-19.68742857
guangzhou,prd,100,public_total,00:00–03:00,11,12:00–15:00,1,71.81687500,38.95833333,137.04354167,6.14595238,65.22666667,-32.81238095
shenzhen,prd,30,depot,00:00–03:00,11,12:00–15:00,1,7.71506250,11.68750000,26.70806250,1.84378571,18.99300000,-9.84371429
shenzhen,prd,60,depot,00:00–03:00,11,12:00–15:00,1,15.43012500,23.37500000,53.41612500,3.68757143,37.98600000,-19.68742857
shenzhen,prd,100,depot,00:00–03:00,11,12:00–15:00,1,25.71687500,38.95833333,89.02687500,6.14595238,63.31000000,-32.81238095
shenzhen,prd,30,public_total,00:00–03:00,11,12:00–15:00,1,19.71506250,11.68750000,38.70806250,1.84378571,18.99300000,-9.84371429
shenzhen,prd,60,public_total,00:00–03:00,11,12:00–15:00,1,39.43012500,23.37500000,77.41612500,3.68757143,37.98600000,-19.68742857
shenzhen,prd,100,public_total,00:00–03:00,11,12:00–15:00,1,65.71687500,38.95833333,129.02687500,6.14595238,63.31000000,-32.81238095
shijiazhuang,jjj,30,depot,01:00–04:00,6,12:00–15:00,1,11.94626250,15.93032143,11.94626250,3.84864286,0.00000000,-12.08167857
shijiazhuang,jjj,60,depot,01:00–04:00,6,12:00–15:00,1,23.89252500,31.86064286,23.89252500,7.69728571,0.00000000,-24.16335714
shijiazhuang,jjj,100,depot,01:00–04:00,6,12:00–15:00,1,39.82087500,53.10107143,39.82087500,12.82880952,0.00000000,-40.27226190
shijiazhuang,jjj,30,public_total,01:00–04:00,6,12:00–15:00,1,23.94626250,15.93032143,23.94626250,3.84864286,0.00000000,-12.08167857
shijiazhuang,jjj,60,public_total,01:00–04:00,6,12:00–15:00,1,47.89252500,31.86064286,47.89252500,7.69728571,0.00000000,-24.16335714
shijiazhuang,jjj,100,public_total,01:00–04:00,6,12:00–15:00,1,79.82087500,53.10107143,79.82087500,12.82880952,0.00000000,-40.27226190
tianjin,jjj,30,depot,00:00–03:00,9,12:00–15:00,1,13.19906250,21.60614286,23.92406250,10.02114286,10.72500000,-11.58500000
tianjin,jjj,60,depot,00:00–03:00,9,12:00–15:00,1,26.39812500,43.21228571,47.84812500,20.04228571,21.45000000,-23.17000000
tianjin,jjj,100,depot,00:00–03:00,9,12:00–15:00,1,43.99687500,72.02047619,79.74687500,33.40380952,35.75000000,-38.61666667
tianjin,jjj,30,public_total,00:00–03:00,9,12:00–15:00,1,25.19906250,21.60614286,35.92406250,10.02114286,10.72500000,-11.58500000
tianjin,jjj,60,public_total,00:00–03:00,9,12:00–15:00,1,50.39812500,43.21228571,71.84812500,20.04228571,21.45000000,-23.17000000
tianjin,jjj,100,public_total,00:00–03:00,9,12:00–15:00,1,83.99687500,72.02047619,119.74687500,33.40380952,35.75000000,-38.61666667
