check,status,observed,expected,detail
frozen_action_matrix,PASS,264600,264600,"{""checked_action_rows"": 264600, ""duration_mismatches"": 0, ""energy_mismatches"": 0, ""feasible_action_rows"": 261027, ""linear_grid_failures"": 0, ""max_duration_error_seconds"": 0.0, ""max_energy_error_kwh"": 0.0, ""max_linear_duration_error_seconds"": 7.275957614183426e-12}"
linear_degeneracy_grid,PASS,0,0,max_error=7.27595761418e-12
target_tests,PASS,0,0,"........................                                                 [100%]
24 passed in 1.65s
"
ruff,PASS,0,0,"All checks passed!
"
protected_diff,PASS,0,0,
