task_id,instance_id,region,tier,seed,HGS-F_cost,HGS-F_cpu_seconds,HGS-E_cost,HGS-E_cpu_seconds,HGS-M_cost,HGS-M_cpu_seconds,MV-HGS-SP_cost,MV-HGS-SP_cpu_seconds,HGS-F_emissions_kg,HGS-E_emissions_kg,HGS-M_emissions_kg,MV-HGS-SP_emissions_kg,complete_candidate_attempts,wallclock_safety_triggered,all_charging_on_registered_date,all_depot_charging_finishes_before_departure,all_depot_fleet_caps_respected,mip_status,mip_status_class,mip_message,mip_incumbent_available,mip_objective,mip_dual_bound,mip_gap,mip_node_count,mip_time_limit_seconds,mip_optimality_proven,selected_source,witness_sha256,input_manifest_sha256,responsibility_map_sha256,status
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,cy,100,1,5286.883766731755,30.64681679199566,5176.631401537045,37.17567737499485,5184.871727710179,39.78836929099634,5175.458124198396,110.7154642919777,431.09886442131864,395.7548799326736,395.8377910463045,395.41143549362374,80,False,True,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,5175.458124198395,5175.001284442565,8.82703994250312e-05,1,5.0,True,time_limited_mip_recombination,ae9f46344196c6bbd4b6e76c4c8bc32692174890f3fda0c1692b63cb30ead329,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed2,cn-cy-100c-01-V2-LOCATIONS,cy,100,2,5285.201519052848,30.824267040996347,5188.430299341431,39.82600104200537,5183.243376901506,39.689831041003345,5181.149111769219,113.68387479201192,430.7372877216446,398.2453339089114,399.47603859794003,398.55401015968744,80,False,True,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,5181.149111769219,5180.763399182746,7.44453745980967e-05,3,5.0,True,time_limited_mip_recombination,b8462e11ea2412e2548227a6492fb65420ffc747a2823752035a4e76043e1c3b,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed3,cn-cy-100c-01-V2-LOCATIONS,cy,100,3,5285.201519052848,30.394211208011257,5187.276256650583,39.53761254099663,5178.791295638886,38.34727674999158,5175.070810721165,114.05675283400342,430.7372877216446,397.86943233697457,394.9887415666202,394.4351883258143,80,False,True,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,5175.070810673443,5175.070810673443,0.0,19,5.0,True,time_limited_mip_recombination,1e7e2eeb2bca24e96b1de914da3255cb3934bf2079af7c53d4141b683a737437,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed4,cn-cy-100c-01-V2-LOCATIONS,cy,100,4,5285.201519052848,31.123609292000765,5193.7220453003665,38.391380042012315,5190.528930849317,41.25429400001303,5188.29574701191,117.30568912500166,430.7372877216446,399.8829899858474,398.6954361059352,396.77827064761755,80,False,True,True,True,1,LIMIT_WITH_INCUMBENT,Time limit reached. (HiGHS Status 13: Time limit reached),True,5188.295747011911,5146.690039027808,0.008019147329460723,40,5.0,False,time_limited_mip_recombination,5805f4ce4e04fdd45926e10f6352ed9975a73012e35c41c1f9dc232fadc779cc,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-01-V2-LOCATIONS__seed5,cn-cy-100c-01-V2-LOCATIONS,cy,100,5,5293.548263875693,31.05584329200792,5185.542566899997,39.052022250019945,5188.645305714825,39.92519949999405,5185.542566899997,116.48765808300232,433.7677712159016,398.2870463409748,397.7621128258605,398.2870463409748,80,False,True,True,True,1,LIMIT_WITH_INCUMBENT,Time limit reached. (HiGHS Status 13: Time limit reached),True,5186.075796313221,5144.123175039451,0.008089473220502135,31,5.0,False,best_exact_hgs_parent,8e4fc2e59d0aaf5be7fa54d52893fd025c7ba829f4b2eb58345e5c1c0cd62fd8,e0d6b30dcf6a55005e4a7a851c96e76c84a17507c4584049106a0d8d5a9b8176,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-02-V2-LOCATIONS__seed1,cn-cy-100c-02-V2-LOCATIONS,cy,100,1,5085.563764331782,28.097883499984164,4954.466273738942,34.93100883299485,5020.169277803994,35.68399291698006,4929.892531543206,100.51608600001782,429.432879577479,444.2241065642598,403.08387488391963,439.471782160113,80,False,True,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4929.892531543197,4929.892531543197,0.0,1,5.0,True,time_limited_mip_recombination,2c3660cf19171cbcc9bdecc867307fcd5c2ded79c799f618666097384d94486b,8a481ba09207e95d5ce60ada686b13ada11b641953624012364a20bc72a2c16c,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-02-V2-LOCATIONS__seed2,cn-cy-100c-02-V2-LOCATIONS,cy,100,2,5085.5454230953865,30.199255915998947,4933.74556964383,32.235804208001355,5030.5784737640715,34.13243466700078,4927.830760657252,98.17114533300628,429.45221830234834,440.053652782733,405.76484356674865,438.67834551494155,80,False,True,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4927.830760656475,4927.830760656475,0.0,1,5.0,True,time_limited_mip_recombination,cdc50f5c4cba034d736b3726ff83900f4409c9dcecbe3616398950cb23f71d5f,8a481ba09207e95d5ce60ada686b13ada11b641953624012364a20bc72a2c16c,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-02-V2-LOCATIONS__seed3,cn-cy-100c-02-V2-LOCATIONS,cy,100,3,4920.525004291545,28.842250000016065,5034.541384423746,36.87425120800617,5036.343681945624,37.515638416982256,4919.840795298391,105.34844525001245,437.3048403393949,409.3968282419819,409.18153947119066,437.3397636325654,80,False,True,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4919.840795298384,4919.840795298384,0.0,1,5.0,True,time_limited_mip_recombination,8a081b19ea2553f425fc2d9ee62f06c4099cea10a93b63b45a79afa42a84a71a,8a481ba09207e95d5ce60ada686b13ada11b641953624012364a20bc72a2c16c,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-02-V2-LOCATIONS__seed4,cn-cy-100c-02-V2-LOCATIONS,cy,100,4,5084.206254471158,29.470810667000478,4918.511356424707,34.044787999999244,5018.699989643198,36.37563491699984,4916.798708359254,101.29109854099806,429.08805511795555,437.1807921111993,404.51630049252213,436.8975472718069,80,False,True,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4916.798708359253,4916.408171251685,7.942914297142391e-05,1,5.0,True,time_limited_mip_recombination,239d1f8d4e74ac81c2be8e9c6f7f676cca608a4c24c982412e1f6ef6008ff332,8a481ba09207e95d5ce60ada686b13ada11b641953624012364a20bc72a2c16c,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
D6-E2__cn-cy-100c-02-V2-LOCATIONS__seed5,cn-cy-100c-02-V2-LOCATIONS,cy,100,5,4933.905522969644,29.015535791986622,4910.603856145021,33.752643208019435,5030.81804211394,37.05510687502101,4908.635560767924,101.91370570799336,440.1830874053977,435.41543689574166,406.1509846236207,435.2791771882972,80,False,True,True,True,0,OPTIMAL,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,4908.635560767929,4908.171949704156,9.444805140523769e-05,1,5.0,True,time_limited_mip_recombination,12db9922019979bb0ab8a4b5ef296f12e2842207e40d2a617caacf4f5f09e402,8a481ba09207e95d5ce60ada686b13ada11b641953624012364a20bc72a2c16c,42bda529b1ac47cf5b53cf47eb9e57015369ad724df6874e9158ecbf7c03c9ae,PASS
