E_total,battery_kwh,cost_elec,cost_fix,cost_fuel,ev_routes,failure_reason,feasible,mask,route_count,source_profile,source_seed,source_solution_path,source_start,total_cost
N/A,80.0,,,,2,charging_repair:No feasible charging insert between C051 and C052,False,0010001,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,2,charging_repair:No feasible charging insert between C041 and C040,False,0010010,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,3,charging_repair:No feasible charging insert between C051 and C052,False,0010011,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,2,charging_repair:No feasible charging insert between C013 and C002,False,0010100,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,3,charging_repair:No feasible charging insert between C051 and C052,False,0010101,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,3,charging_repair:No feasible charging insert between C013 and C002,False,0010110,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,4,charging_repair:No feasible charging insert between C051 and C052,False,0010111,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,2,charging_repair:No feasible charging insert between C019 and C034,False,0011000,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,3,charging_repair:No feasible charging insert between C051 and C052,False,0011001,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,3,charging_repair:No feasible charging insert between C019 and C034,False,0011010,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,4,charging_repair:No feasible charging insert between C051 and C052,False,0011011,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,3,charging_repair:No feasible charging insert between C013 and C002,False,0011100,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,4,charging_repair:No feasible charging insert between C051 and C052,False,0011101,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,4,charging_repair:No feasible charging insert between C013 and C002,False,0011110,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,5,charging_repair:No feasible charging insert between C051 and C052,False,0011111,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,1,charging_repair:No feasible charging insert between C053 and D1,False,0100000,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,2,charging_repair:No feasible charging insert between C051 and C052,False,0100001,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,2,charging_repair:No feasible charging insert between C053 and D1,False,0100010,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,3,charging_repair:No feasible charging insert between C051 and C052,False,0100011,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,2,charging_repair:No feasible charging insert between C013 and C002,False,0100100,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,3,charging_repair:No feasible charging insert between C051 and C052,False,0100101,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,3,charging_repair:No feasible charging insert between C013 and C002,False,0100110,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,4,charging_repair:No feasible charging insert between C051 and C052,False,0100111,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,2,charging_repair:No feasible charging insert between C019 and C034,False,0101000,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,3,charging_repair:No feasible charging insert between C051 and C052,False,0101001,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,3,charging_repair:No feasible charging insert between C019 and C034,False,0101010,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,4,charging_repair:No feasible charging insert between C051 and C052,False,0101011,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,3,charging_repair:No feasible charging insert between C013 and C002,False,0101100,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,4,charging_repair:No feasible charging insert between C051 and C052,False,0101101,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,4,charging_repair:No feasible charging insert between C013 and C002,False,0101110,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,5,charging_repair:No feasible charging insert between C051 and C052,False,0101111,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,2,charging_repair:No feasible charging insert between C041 and C040,False,0110000,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,3,charging_repair:No feasible charging insert between C051 and C052,False,0110001,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,3,charging_repair:No feasible charging insert between C041 and C040,False,0110010,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,4,charging_repair:No feasible charging insert between C051 and C052,False,0110011,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,3,charging_repair:No feasible charging insert between C013 and C002,False,0110100,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,4,charging_repair:No feasible charging insert between C051 and C052,False,0110101,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,4,charging_repair:No feasible charging insert between C013 and C002,False,0110110,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,5,charging_repair:No feasible charging insert between C051 and C052,False,0110111,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,3,charging_repair:No feasible charging insert between C019 and C034,False,0111000,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,4,charging_repair:No feasible charging insert between C051 and C052,False,0111001,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,4,charging_repair:No feasible charging insert between C019 and C034,False,0111010,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,5,charging_repair:No feasible charging insert between C051 and C052,False,0111011,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,4,charging_repair:No feasible charging insert between C013 and C002,False,0111100,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,5,charging_repair:No feasible charging insert between C051 and C052,False,0111101,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,5,charging_repair:No feasible charging insert between C013 and C002,False,0111110,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,6,charging_repair:No feasible charging insert between C051 and C052,False,0111111,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
553.2509793516415,80.0,12.551313859407244,560.0,303.3017971153732,1,,True,1000000,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,1317.6808003705162
N/A,80.0,,,,2,charging_repair:No feasible charging insert between C051 and C052,False,1000001,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
503.8789245490938,80.0,26.53189247708427,560.0,271.3553779205642,2,,True,1000010,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,1297.229570554624
N/A,80.0,,,,3,charging_repair:No feasible charging insert between C051 and C052,False,1000011,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,2,charging_repair:No feasible charging insert between C013 and C002,False,1000100,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,3,charging_repair:No feasible charging insert between C051 and C052,False,1000101,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,3,charging_repair:No feasible charging insert between C013 and C002,False,1000110,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,4,charging_repair:No feasible charging insert between C051 and C052,False,1000111,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,2,charging_repair:No feasible charging insert between C019 and C034,False,1001000,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,3,charging_repair:No feasible charging insert between C051 and C052,False,1001001,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,3,charging_repair:No feasible charging insert between C019 and C034,False,1001010,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
N/A,80.0,,,,4,charging_repair:No feasible charging insert between C051 and C052,False,1001011,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY,N/A
