arm,seed,cost,status
HGS-F,1,5286.883766731755,PASS
HGS-E,1,5176.631401537045,PASS
HGS-M,1,5184.871727710179,PASS
MV-HGS-SP,1,5175.458124198396,PASS
HGS-F,2,5285.201519052848,PASS
HGS-E,2,5188.430299341431,PASS
HGS-M,2,5183.243376901506,PASS
MV-HGS-SP,2,5181.149111769219,PASS
HGS-F,3,5285.201519052848,PASS
HGS-E,3,5187.276256650583,PASS
HGS-M,3,5178.791295638886,PASS
MV-HGS-SP,3,5175.070810721165,PASS
HGS-F,4,5285.201519052848,PASS
HGS-E,4,5193.7220453003665,PASS
HGS-M,4,5190.528930849317,PASS
MV-HGS-SP,4,5183.298990599026,PASS
HGS-F,5,5293.548263875693,PASS
HGS-E,5,5185.542566899997,PASS
HGS-M,5,5188.645305714825,PASS
MV-HGS-SP,5,5178.959609496545,PASS
HGS-F,6,5285.201519052848,PASS
HGS-E,6,5185.209597498421,PASS
HGS-M,6,5190.775646793525,PASS
MV-HGS-SP,6,5176.614443920776,PASS
HGS-F,7,5285.201519052848,PASS
HGS-E,7,5181.3765116106,PASS
HGS-M,7,5188.098255933359,PASS
MV-HGS-SP,7,5180.085640528362,PASS
HGS-F,8,5285.201519052848,PASS
HGS-E,8,5188.687726714158,PASS
HGS-M,8,5181.650866307238,PASS
MV-HGS-SP,8,5176.288295998256,PASS
HGS-F,9,5295.767243070879,PASS
HGS-E,9,5182.356521943713,PASS
HGS-M,9,5182.175831759396,PASS
MV-HGS-SP,9,5178.807976956317,PASS
HGS-F,10,5290.889680554102,PASS
HGS-E,10,5180.331334692457,PASS
HGS-M,10,5185.578285945435,PASS
MV-HGS-SP,10,5178.443417297478,PASS
