battery_kwh,category,constraint_scenario,eval_budget,instance,phase,queue_status,row_status,runtime_cap_seconds,seed,variant
81.0,multidepot,unbounded_reference,300,e2-multidepot-100c-01,stage_a,complete,OK,90.0,1,free_mixed
81.0,multidepot,unbounded_reference,300,e2-multidepot-100c-01,stage_a,complete,OK,90.0,1,cv_shell
81.0,multidepot,unbounded_reference,300,e2-multidepot-100c-01,stage_a,complete,INIT_INFEASIBLE,90.0,1,ev_shell
81.0,threeshift,unbounded_reference,300,e2-threeshift-200c-01,stage_a,complete,OK,120.0,1,free_mixed
81.0,threeshift,unbounded_reference,300,e2-threeshift-200c-01,stage_a,complete,OK,120.0,1,cv_shell
81.0,threeshift,unbounded_reference,300,e2-threeshift-200c-01,stage_a,complete,INIT_INFEASIBLE,120.0,1,ev_shell
280.0,multidepot,unbounded_reference,300,e2-multidepot-100c-01,stage_a,complete,OK,90.0,1,free_mixed
280.0,multidepot,unbounded_reference,300,e2-multidepot-100c-01,stage_a,complete,OK,90.0,1,cv_shell
280.0,multidepot,unbounded_reference,300,e2-multidepot-100c-01,stage_a,complete,OK,90.0,1,ev_shell
280.0,threeshift,unbounded_reference,300,e2-threeshift-200c-01,stage_a,complete,OK,120.0,1,free_mixed
280.0,threeshift,unbounded_reference,300,e2-threeshift-200c-01,stage_a,complete,OK,120.0,1,cv_shell
280.0,threeshift,unbounded_reference,300,e2-threeshift-200c-01,stage_a,complete,OK,120.0,1,ev_shell
