battery_kwh,category,constraint_mechanism,constraint_promotable,constraint_scenario,constraint_source_class,cv_shell_composition,cv_shell_cost,cv_shell_ev_route_share,ev_shell_composition,ev_shell_cost,ev_shell_ev_route_share,free_mixed_composition,free_mixed_cost,free_mixed_ev_route_share,instance,no_feasible_statuses,phase,seed,size,winner_composition,winner_cv_route_count,winner_depot_charging_energy_share,winner_depot_peak_capacity,winner_depot_peak_concurrent_at_one_depot,winner_ev_customer_share,winner_ev_demand_share,winner_ev_distance_share,winner_ev_route_count,winner_ev_route_share,winner_ev_routes_drive_kwh_over_battery,winner_ev_routes_with_public_charge,winner_max_ev_drive_kwh,winner_max_ev_route_distance_m,winner_public_charging_energy_share,winner_public_peak_concurrent_at_one_station,winner_route_count,winner_station_capacity_violation_count,winner_status,winner_total_cost,winner_variant
60.0,multidepot,depot_charging_capacity,False,depot_chargers_manifest_ev_diagnostic,diagnostic_only,all_cv,5059.385878752753,0.0,,,,balanced_mixed,5012.398852841851,0.36363636363636365,e2-multidepot-100c-01,,stage_a,1,100,balanced_mixed,21,0.9620834310267821,7,7,0.32,0.34758993801784915,0.22435972119081135,12,0.36363636363636365,2,2,72.70847383407752,115253.29052878308,0.03791656897321794,1,33,0,OK,5012.398852841851,free_mixed
60.0,multidepot,depot_charging_capacity,False,depot_chargers_manifest_ev_diagnostic,diagnostic_only,all_cv,629.1244202104523,0.0,,,,balanced_mixed,610.2402905660049,0.5,e2-multidepot-10c-01,,stage_a,1,10,balanced_mixed,2,1.0,1,1,0.4,0.4505378240169282,0.22442757542513536,2,0.5,0,0,53.56564599179561,85313.61651194919,0.0,0,4,0,OK,610.2402905660049,free_mixed
60.0,multidepot,depot_charging_capacity,False,depot_chargers_manifest_ev_diagnostic,diagnostic_only,all_cv,7270.566593981815,0.0,,,,balanced_mixed,7538.670069728821,0.4,e2-multidepot-150c-01,,stage_a,1,150,all_cv,48,0.0,,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,48,0,OK,7270.566593981815,cv_shell
60.0,multidepot,depot_charging_capacity,False,depot_chargers_manifest_ev_diagnostic,diagnostic_only,all_cv,945.2956479699312,0.0,,,,balanced_mixed,956.886661828031,0.4,e2-multidepot-15c-01,,stage_a,1,15,all_cv,5,0.0,,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,5,0,OK,945.2956479699312,cv_shell
60.0,multidepot,depot_charging_capacity,False,depot_chargers_manifest_ev_diagnostic,diagnostic_only,all_cv,9549.623080396133,0.0,,,,balanced_mixed,9548.46877937448,0.4057971014492754,e2-multidepot-200c-01,,stage_a,1,200,balanced_mixed,41,0.9526807579910632,14,14,0.37,0.3909543807641634,0.3165723835202525,28,0.4057971014492754,9,9,75.84495215306542,120196.9375782414,0.0473192420089367,1,69,0,OK,9548.46877937448,free_mixed
60.0,multidepot,depot_charging_capacity,False,depot_chargers_manifest_ev_diagnostic,diagnostic_only,all_cv,1172.824422818402,0.0,,,,balanced_mixed,1191.2252914141138,0.2857142857142857,e2-multidepot-20c-01,,stage_a,1,20,all_cv,7,0.0,,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,7,0,OK,1172.824422818402,cv_shell
60.0,multidepot,depot_charging_capacity,False,depot_chargers_manifest_ev_diagnostic,diagnostic_only,all_cv,1045.8722145551653,0.0,,,,balanced_mixed,1031.641418879879,0.2857142857142857,e2-multidepot-25c-01,,stage_a,1,25,balanced_mixed,5,1.0,1,1,0.24,0.2757044935262757,0.19100597818202308,2,0.2857142857142857,0,0,57.912671768837555,91687.63435674008,0.0,0,7,0,OK,1031.641418879879,free_mixed
60.0,multidepot,depot_charging_capacity,False,depot_chargers_manifest_ev_diagnostic,diagnostic_only,all_cv,2426.9046973084396,0.0,,,,balanced_mixed,2347.2776828650985,0.3125,e2-multidepot-50c-01,,stage_a,1,50,balanced_mixed,11,1.0,3,3,0.3,0.3061921646631497,0.21611773269862686,5,0.3125,0,0,54.51868873100769,86913.97180039136,0.0,0,16,0,OK,2347.2776828650985,free_mixed
60.0,multidepot,depot_charging_capacity,False,depot_chargers_manifest_ev_diagnostic,diagnostic_only,all_cv,4257.4366557039775,0.0,,,,balanced_mixed,4173.141120085063,0.37037037037037035,e2-multidepot-75c-01,,stage_a,1,75,balanced_mixed,17,0.9674271554389231,5,5,0.32,0.32669257292977943,0.2624074207851791,10,0.37037037037037035,1,1,77.85387494469286,123005.04766127604,0.032572844561076945,1,27,0,OK,4173.141120085063,free_mixed
60.0,threeshift,depot_charging_capacity,False,depot_chargers_manifest_ev_diagnostic,diagnostic_only,all_cv,5107.53757812103,0.0,,,,balanced_mixed,5120.751001149523,0.375,e2-threeshift-100c-01,,stage_a,1,100,all_cv,31,0.0,,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,31,0,OK,5107.53757812103,cv_shell
