all_cv_count,all_ev_count,balanced_count,battery_kwh,category,constraint_scenario,cv_heavy_count,ev_heavy_count,expected_winner_rows,fake_balance_flag,max_depot_peak_concurrent,mean_depot_charging_energy_share,mean_ev_customer_share,mean_ev_demand_share,mean_ev_distance_share,mean_ev_route_share,mean_public_charging_energy_share,missing_or_infeasible_winner_rows,phase,public_charge_route_total,route_share_in_practical_band,size,winner_count
0,0,1,60.0,multidepot,depot_chargers_manifest_ev_diagnostic,0,0,1,False,1,1.0,0.4,0.4505378240169282,0.22442757542513536,0.5,0.0,0,stage_a,0,True,10,1
1,0,0,60.0,multidepot,depot_chargers_manifest_ev_diagnostic,0,0,1,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0,stage_a,0,False,15,1
1,0,0,60.0,multidepot,depot_chargers_manifest_ev_diagnostic,0,0,1,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0,stage_a,0,False,20,1
0,0,1,60.0,multidepot,depot_chargers_manifest_ev_diagnostic,0,0,1,True,1,1.0,0.24,0.2757044935262757,0.19100597818202308,0.2857142857142857,0.0,0,stage_a,0,True,25,1
0,0,1,60.0,multidepot,depot_chargers_manifest_ev_diagnostic,0,0,1,False,3,1.0,0.3,0.3061921646631497,0.21611773269862686,0.3125,0.0,0,stage_a,0,True,50,1
0,0,1,60.0,multidepot,depot_chargers_manifest_ev_diagnostic,0,0,1,False,5,0.9674271554389231,0.32,0.32669257292977943,0.2624074207851791,0.37037037037037035,0.032572844561076945,0,stage_a,1,True,75,1
0,0,1,60.0,multidepot,depot_chargers_manifest_ev_diagnostic,0,0,1,False,7,0.9620834310267821,0.32,0.34758993801784915,0.22435972119081135,0.36363636363636365,0.03791656897321794,0,stage_a,2,True,100,1
1,0,0,60.0,multidepot,depot_chargers_manifest_ev_diagnostic,0,0,1,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0,stage_a,0,False,150,1
0,0,1,60.0,multidepot,depot_chargers_manifest_ev_diagnostic,0,0,1,False,14,0.9526807579910632,0.37,0.3909543807641634,0.3165723835202525,0.4057971014492754,0.0473192420089367,0,stage_a,9,True,200,1
0,0,1,60.0,threeshift,depot_chargers_manifest_ev_diagnostic,0,0,1,False,3,0.9839774899065153,0.42,0.47020015156243034,0.31161227122192287,0.5,0.016022510093484647,0,stage_a,1,True,50,1
0,0,1,60.0,threeshift,depot_chargers_manifest_ev_diagnostic,0,0,1,False,4,0.9960535342682221,0.48,0.46725739602686867,0.28073843232111395,0.48,0.003946465731777894,0,stage_a,1,True,75,1
1,0,0,60.0,threeshift,depot_chargers_manifest_ev_diagnostic,0,0,1,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0,stage_a,0,False,100,1
0,0,1,60.0,threeshift,depot_chargers_manifest_ev_diagnostic,0,0,1,False,6,0.9733019898629984,0.4866666666666667,0.5124642419288925,0.30098014312649946,0.52,0.02669801013700168,0,stage_a,4,True,150,1
1,0,0,60.0,threeshift,depot_chargers_manifest_ev_diagnostic,0,0,1,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0,stage_a,0,False,200,1
0,0,1,60.0,vanilla,depot_chargers_manifest_ev_diagnostic,0,0,1,True,1,1.0,0.2,0.2616822429906542,0.1351389555837525,0.25,0.0,0,stage_a,0,True,10,1
1,0,0,60.0,vanilla,depot_chargers_manifest_ev_diagnostic,0,0,1,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0,stage_a,0,False,15,1
1,0,0,60.0,vanilla,depot_chargers_manifest_ev_diagnostic,0,0,1,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0,stage_a,0,False,20,1
0,0,0,60.0,vanilla,depot_chargers_manifest_ev_diagnostic,1,0,1,False,1,1.0,0.08,0.12633282559025133,0.057072402779753326,0.14285714285714285,0.0,0,stage_a,0,False,25,1
