battery_kwh,category,constraint_scenario,in_band_count,instance,mean_ev_customer_share,mean_ev_demand_share,mean_ev_distance_share,mean_ev_route_share,phase,reason,required_majority,size,winner_count
60.0,multidepot,depot_chargers_manifest_ev_diagnostic,0,e2-multidepot-150c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,150,1
60.0,multidepot,depot_chargers_manifest_ev_diagnostic,0,e2-multidepot-15c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,15,1
60.0,multidepot,depot_chargers_manifest_ev_diagnostic,0,e2-multidepot-20c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,20,1
60.0,multidepot,depot_chargers_manifest_ev_diagnostic,1,e2-multidepot-25c-01,0.24,0.2757044935262757,0.19100597818202308,0.2857142857142857,stage_a,fake_balance,1,25,1
60.0,threeshift,depot_chargers_manifest_ev_diagnostic,0,e2-threeshift-100c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,100,1
60.0,threeshift,depot_chargers_manifest_ev_diagnostic,0,e2-threeshift-200c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,200,1
60.0,vanilla,depot_chargers_manifest_ev_diagnostic,0,e2-vanilla-100c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,100,1
60.0,vanilla,depot_chargers_manifest_ev_diagnostic,1,e2-vanilla-10c-01,0.2,0.2616822429906542,0.1351389555837525,0.25,stage_a,fake_balance,1,10,1
60.0,vanilla,depot_chargers_manifest_ev_diagnostic,0,e2-vanilla-150c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,150,1
60.0,vanilla,depot_chargers_manifest_ev_diagnostic,0,e2-vanilla-15c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,15,1
60.0,vanilla,depot_chargers_manifest_ev_diagnostic,0,e2-vanilla-200c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,200,1
60.0,vanilla,depot_chargers_manifest_ev_diagnostic,0,e2-vanilla-20c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,20,1
60.0,vanilla,depot_chargers_manifest_ev_diagnostic,0,e2-vanilla-25c-01,0.08,0.12633282559025133,0.057072402779753326,0.14285714285714285,stage_a,route_share_outside_practical_band,1,25,1
60.0,vanilla,depot_chargers_manifest_ev_diagnostic,0,e2-vanilla-50c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,50,1
60.0,vanilla,depot_chargers_manifest_ev_diagnostic,0,e2-vanilla-75c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,75,1
60.0,multidepot,depot_chargers_manifest_total_diagnostic,0,e2-multidepot-150c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,150,1
60.0,multidepot,depot_chargers_manifest_total_diagnostic,0,e2-multidepot-25c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,25,1
60.0,threeshift,depot_chargers_manifest_total_diagnostic,0,e2-threeshift-100c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,100,1
60.0,threeshift,depot_chargers_manifest_total_diagnostic,0,e2-threeshift-200c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,200,1
60.0,vanilla,depot_chargers_manifest_total_diagnostic,1,e2-vanilla-100c-01,0.19,0.1961490127585252,0.1095762480104836,0.21212121212121213,stage_a,fake_balance,1,100,1
60.0,vanilla,depot_chargers_manifest_total_diagnostic,1,e2-vanilla-10c-01,0.2,0.2616822429906542,0.1351389555837525,0.25,stage_a,fake_balance,1,10,1
60.0,vanilla,depot_chargers_manifest_total_diagnostic,0,e2-vanilla-150c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,150,1
60.0,vanilla,depot_chargers_manifest_total_diagnostic,0,e2-vanilla-15c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,15,1
60.0,vanilla,depot_chargers_manifest_total_diagnostic,0,e2-vanilla-200c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,200,1
60.0,vanilla,depot_chargers_manifest_total_diagnostic,0,e2-vanilla-20c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,20,1
60.0,vanilla,depot_chargers_manifest_total_diagnostic,1,e2-vanilla-25c-01,0.2,0.25685453160700683,0.14778620740552695,0.2857142857142857,stage_a,fake_balance,1,25,1
60.0,vanilla,depot_chargers_manifest_total_diagnostic,0,e2-vanilla-50c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,50,1
60.0,vanilla,depot_chargers_manifest_total_diagnostic,0,e2-vanilla-75c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,75,1
60.0,multidepot,depot_manifest_ev_no_public_diagnostic,1,e2-multidepot-150c-01,0.32666666666666666,0.358061913457047,0.1685203954144501,0.3673469387755102,stage_a,fake_balance,1,150,1
60.0,multidepot,depot_manifest_ev_no_public_diagnostic,0,e2-multidepot-15c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,15,1
60.0,multidepot,depot_manifest_ev_no_public_diagnostic,0,e2-multidepot-200c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,200,1
60.0,multidepot,depot_manifest_ev_no_public_diagnostic,0,e2-multidepot-20c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,20,1
60.0,multidepot,depot_manifest_ev_no_public_diagnostic,1,e2-multidepot-25c-01,0.24,0.2757044935262757,0.19100597818202308,0.2857142857142857,stage_a,fake_balance,1,25,1
60.0,multidepot,depot_manifest_ev_no_public_diagnostic,0,e2-multidepot-50c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,50,1
60.0,threeshift,depot_manifest_ev_no_public_diagnostic,1,e2-threeshift-100c-01,0.29,0.2884338109398937,0.16287572285084234,0.3,stage_a,fake_balance,1,100,1
60.0,vanilla,depot_manifest_ev_no_public_diagnostic,0,e2-vanilla-100c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,100,1
60.0,vanilla,depot_manifest_ev_no_public_diagnostic,1,e2-vanilla-10c-01,0.2,0.2616822429906542,0.1351389555837525,0.25,stage_a,fake_balance,1,10,1
60.0,vanilla,depot_manifest_ev_no_public_diagnostic,0,e2-vanilla-150c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,150,1
60.0,vanilla,depot_manifest_ev_no_public_diagnostic,0,e2-vanilla-15c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,15,1
60.0,vanilla,depot_manifest_ev_no_public_diagnostic,1,e2-vanilla-200c-01,0.155,0.18190052700922266,0.09530070947339164,0.20588235294117646,stage_a,fake_balance,1,200,1
60.0,vanilla,depot_manifest_ev_no_public_diagnostic,0,e2-vanilla-20c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,20,1
60.0,vanilla,depot_manifest_ev_no_public_diagnostic,0,e2-vanilla-25c-01,0.12,0.14594440213252094,0.061873553973929345,0.14285714285714285,stage_a,route_share_outside_practical_band,1,25,1
60.0,vanilla,depot_manifest_ev_no_public_diagnostic,0,e2-vanilla-50c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,50,1
60.0,vanilla,depot_manifest_ev_no_public_diagnostic,0,e2-vanilla-75c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,75,1
60.0,multidepot,goeke_ev_cap_only,1,e2-multidepot-100c-01,0.23,0.20873714030117788,0.12705381717930742,0.21875,stage_a,fake_balance,1,100,1
60.0,multidepot,goeke_ev_cap_only,1,e2-multidepot-10c-01,0.2,0.2616822429906542,0.17736553340860614,0.25,stage_a,fake_balance,1,10,1
60.0,multidepot,goeke_ev_cap_only,1,e2-multidepot-150c-01,0.19333333333333333,0.19755969821790026,0.10501420558525323,0.20833333333333334,stage_a,fake_balance,1,150,1
60.0,multidepot,goeke_ev_cap_only,0,e2-multidepot-15c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,15,1
60.0,multidepot,goeke_ev_cap_only,0,e2-multidepot-200c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,200,1
60.0,multidepot,goeke_ev_cap_only,0,e2-multidepot-20c-01,0.15,0.16599017303994873,0.1074902756296248,0.16666666666666666,stage_a,route_share_outside_practical_band,1,20,1
60.0,multidepot,goeke_ev_cap_only,0,e2-multidepot-25c-01,0.2,0.13556740289413557,0.09528425320278612,0.14285714285714285,stage_a,route_share_outside_practical_band,1,25,1
60.0,multidepot,goeke_ev_cap_only,0,e2-multidepot-50c-01,0.14,0.18355962985384416,0.09996120285459544,0.1875,stage_a,route_share_outside_practical_band,1,50,1
60.0,multidepot,goeke_ev_cap_only,0,e2-multidepot-75c-01,0.18666666666666668,0.1681352963712988,0.1358226719376514,0.19230769230769232,stage_a,route_share_outside_practical_band,1,75,1
60.0,threeshift,goeke_ev_cap_only,1,e2-threeshift-100c-01,0.22,0.2054158781652699,0.13611632347481048,0.22580645161290322,stage_a,fake_balance,1,100,1
60.0,threeshift,goeke_ev_cap_only,1,e2-threeshift-150c-01,0.16,0.1763031438918873,0.1153838781040291,0.2,stage_a,fake_balance,1,150,1
60.0,threeshift,goeke_ev_cap_only,1,e2-threeshift-200c-01,0.175,0.2078254310109215,0.11736032138800387,0.21875,stage_a,fake_balance,1,200,1
60.0,threeshift,goeke_ev_cap_only,0,e2-threeshift-50c-01,0.16,0.194936031738956,0.13832216553746465,0.1875,stage_a,route_share_outside_practical_band,1,50,1
60.0,threeshift,goeke_ev_cap_only,1,e2-threeshift-75c-01,0.18666666666666668,0.19968557953408603,0.10947398507626085,0.20833333333333334,stage_a,fake_balance,1,75,1
60.0,vanilla,goeke_ev_cap_only,0,e2-vanilla-100c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,100,1
60.0,vanilla,goeke_ev_cap_only,1,e2-vanilla-10c-01,0.2,0.2616822429906542,0.1351389555837525,0.25,stage_a,fake_balance,1,10,1
60.0,vanilla,goeke_ev_cap_only,1,e2-vanilla-150c-01,0.17333333333333334,0.21230908601922233,0.11515231936953955,0.20833333333333334,stage_a,fake_balance,1,150,1
60.0,vanilla,goeke_ev_cap_only,0,e2-vanilla-15c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,15,1
60.0,vanilla,goeke_ev_cap_only,0,e2-vanilla-200c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,200,1
60.0,vanilla,goeke_ev_cap_only,0,e2-vanilla-20c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,20,1
60.0,vanilla,goeke_ev_cap_only,0,e2-vanilla-25c-01,0.12,0.1507044935262757,0.08226872668152034,0.14285714285714285,stage_a,route_share_outside_practical_band,1,25,1
60.0,vanilla,goeke_ev_cap_only,0,e2-vanilla-50c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,50,1
60.0,vanilla,goeke_ev_cap_only,0,e2-vanilla-75c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,75,1
60.0,multidepot,goeke_total_cap,0,e2-multidepot-100c-01,,,,,stage_a,missing_or_infeasible,1,100,0
60.0,multidepot,goeke_total_cap,0,e2-multidepot-10c-01,,,,,stage_a,missing_or_infeasible,1,10,0
60.0,multidepot,goeke_total_cap,0,e2-multidepot-150c-01,,,,,stage_a,missing_or_infeasible,1,150,0
60.0,multidepot,goeke_total_cap,0,e2-multidepot-15c-01,,,,,stage_a,missing_or_infeasible,1,15,0
60.0,multidepot,goeke_total_cap,0,e2-multidepot-200c-01,,,,,stage_a,missing_or_infeasible,1,200,0
60.0,multidepot,goeke_total_cap,0,e2-multidepot-20c-01,,,,,stage_a,missing_or_infeasible,1,20,0
60.0,multidepot,goeke_total_cap,0,e2-multidepot-25c-01,,,,,stage_a,missing_or_infeasible,1,25,0
60.0,multidepot,goeke_total_cap,0,e2-multidepot-50c-01,,,,,stage_a,missing_or_infeasible,1,50,0
60.0,multidepot,goeke_total_cap,0,e2-multidepot-75c-01,,,,,stage_a,missing_or_infeasible,1,75,0
60.0,threeshift,goeke_total_cap,0,e2-threeshift-100c-01,,,,,stage_a,missing_or_infeasible,1,100,0
60.0,threeshift,goeke_total_cap,0,e2-threeshift-150c-01,,,,,stage_a,missing_or_infeasible,1,150,0
60.0,threeshift,goeke_total_cap,0,e2-threeshift-200c-01,,,,,stage_a,missing_or_infeasible,1,200,0
60.0,threeshift,goeke_total_cap,0,e2-threeshift-50c-01,,,,,stage_a,missing_or_infeasible,1,50,0
60.0,threeshift,goeke_total_cap,0,e2-threeshift-75c-01,,,,,stage_a,missing_or_infeasible,1,75,0
