battery_kwh,category,constraint_scenario,cv_over_manifest,depot_charging_energy_share,depot_peak_capacity,depot_peak_concurrent,ev_over_manifest,fake_balance,in_practical_band,instance,manifest_num_cv,manifest_num_ev,public_charging_energy_share,size,source_artifact,winner_composition,winner_cv_route_count,winner_ev_customer_share,winner_ev_demand_share,winner_ev_distance_share,winner_ev_route_count,winner_ev_route_share
81.0,threeshift,unbounded_reference,True,,,,True,False,True,e2-threeshift-100c-01,7,7,,100,09l_stage_a,balanced_mixed,10,0.66,0.6661710372172659,0.5225201285063067,23,0.696969696969697
81.0,threeshift,unbounded_reference,True,,,,True,False,True,e2-threeshift-150c-01,10,10,,150,09l_stage_a,balanced_mixed,12,0.7133333333333334,0.7522088975945211,0.571221072791294,40,0.7692307692307693
81.0,threeshift,unbounded_reference,True,,,,False,False,False,e2-threeshift-200c-01,14,14,,200,09l_stage_a,all_cv,64,0.0,0.0,0.0,0,0.0
81.0,threeshift,unbounded_reference,True,,,,True,False,True,e2-threeshift-50c-01,4,3,,50,09l_stage_a,balanced_mixed,5,0.62,0.6975437970846521,0.5771887244708666,12,0.7058823529411765
81.0,threeshift,unbounded_reference,True,,,,False,False,False,e2-threeshift-75c-01,6,5,,75,09l_stage_a,all_cv,26,0.0,0.0,0.0,0,0.0
81.0,vanilla,unbounded_reference,True,,,,True,False,True,e2-vanilla-100c-01,7,7,,100,09l_stage_a,balanced_mixed,18,0.36,0.41532301007476197,0.298487988769793,14,0.4375
81.0,vanilla,unbounded_reference,True,,,,False,True,True,e2-vanilla-10c-01,1,1,,10,09l_stage_a,balanced_mixed,3,0.2,0.2616822429906542,0.13513895558375247,1,0.25
81.0,vanilla,unbounded_reference,True,,,,True,False,True,e2-vanilla-150c-01,10,10,,150,09l_stage_a,balanced_mixed,13,0.68,0.7303636389372514,0.570930779087938,40,0.7547169811320755
81.0,vanilla,unbounded_reference,True,,,,True,True,True,e2-vanilla-15c-01,2,0,,15,09l_stage_a,balanced_mixed,4,0.2,0.21263332871588864,0.11534773171498758,1,0.2
81.0,vanilla,unbounded_reference,True,,,,False,False,False,e2-vanilla-200c-01,14,14,,200,09l_stage_a,all_cv,67,0.0,0.0,0.0,0,0.0
81.0,vanilla,unbounded_reference,True,,,,True,False,True,e2-vanilla-20c-01,2,1,,20,09l_stage_a,balanced_mixed,4,0.25,0.33433027130954923,0.21465832831541967,2,0.3333333333333333
81.0,vanilla,unbounded_reference,True,,,,True,False,True,e2-vanilla-25c-01,2,1,,25,09l_stage_a,balanced_mixed,4,0.28,0.42155369383092156,0.25274096979116406,3,0.42857142857142855
81.0,vanilla,unbounded_reference,True,,,,True,False,True,e2-vanilla-50c-01,4,3,,50,09l_stage_a,balanced_mixed,9,0.44,0.4309002853930641,0.33609282335990526,7,0.4375
81.0,vanilla,unbounded_reference,True,,,,False,False,False,e2-vanilla-75c-01,6,5,,75,09l_stage_a,all_cv,25,0.0,0.0,0.0,0,0.0
82.6,multidepot,unbounded_reference,True,,,,True,False,True,e2-multidepot-100c-01,7,7,,100,09l_stage_a,balanced_mixed,10,0.67,0.688427868538201,0.5126119139017435,24,0.7058823529411765
82.6,multidepot,unbounded_reference,False,,,,True,False,True,e2-multidepot-10c-01,1,1,,10,09l_stage_a,balanced_mixed,1,0.7,0.7268559336977606,0.6814339662848842,3,0.75
82.6,multidepot,unbounded_reference,True,,,,False,False,False,e2-multidepot-150c-01,10,10,,150,09l_stage_a,all_cv,48,0.0,0.0,0.0,0,0.0
82.6,multidepot,unbounded_reference,True,,,,True,False,True,e2-multidepot-15c-01,2,0,,15,09l_stage_a,balanced_mixed,3,0.4,0.41072170660756335,0.2775924241640454,2,0.4
82.6,multidepot,unbounded_reference,True,,,,False,False,False,e2-multidepot-200c-01,14,14,,200,09l_stage_a,all_cv,66,0.0,0.0,0.0,0,0.0
82.6,multidepot,unbounded_reference,True,,,,True,True,True,e2-multidepot-20c-01,2,1,,20,09l_stage_a,balanced_mixed,4,0.3,0.3742790002136296,0.1962872520144767,3,0.42857142857142855
82.6,multidepot,unbounded_reference,False,,,,True,False,True,e2-multidepot-25c-01,2,1,,25,09l_stage_a,balanced_mixed,2,0.64,0.7038271134805788,0.45590232053719665,6,0.75
82.6,multidepot,unbounded_reference,True,,,,True,False,True,e2-multidepot-50c-01,4,3,,50,09l_stage_a,balanced_mixed,5,0.62,0.6726195623973017,0.5550526542922062,12,0.7058823529411765
82.6,multidepot,unbounded_reference,True,,,,True,False,True,e2-multidepot-75c-01,6,5,,75,09l_stage_a,balanced_mixed,8,0.68,0.7039570904712386,0.5432580291818909,19,0.7037037037037037
82.6,threeshift,unbounded_reference,True,,,,True,False,True,e2-threeshift-100c-01,7,7,,100,09l_stage_a,balanced_mixed,18,0.4,0.409254753536992,0.3385478464638113,14,0.4375
82.6,threeshift,unbounded_reference,True,,,,True,False,True,e2-threeshift-150c-01,10,10,,150,09l_stage_a,balanced_mixed,14,0.6533333333333333,0.7145836562715782,0.5309447472715825,40,0.7407407407407407
82.6,threeshift,unbounded_reference,True,,,,False,False,False,e2-threeshift-200c-01,14,14,,200,09l_stage_a,all_cv,64,0.0,0.0,0.0,0,0.0
82.6,threeshift,unbounded_reference,True,,,,False,False,False,e2-threeshift-50c-01,4,3,,50,09l_stage_a,all_cv,15,0.0,0.0,0.0,0,0.0
82.6,threeshift,unbounded_reference,True,,,,False,False,False,e2-threeshift-75c-01,6,5,,75,09l_stage_a,all_cv,26,0.0,0.0,0.0,0,0.0
82.6,vanilla,unbounded_reference,True,,,,True,False,True,e2-vanilla-100c-01,7,7,,100,09l_stage_a,balanced_mixed,19,0.37,0.405461245180941,0.2846189304277708,14,0.42424242424242425
82.6,vanilla,unbounded_reference,True,,,,False,True,True,e2-vanilla-10c-01,1,1,,10,09l_stage_a,balanced_mixed,3,0.2,0.2616822429906542,0.13513895558375247,1,0.25
82.6,vanilla,unbounded_reference,True,,,,True,False,True,e2-vanilla-150c-01,10,10,,150,09l_stage_a,balanced_mixed,12,0.6933333333333334,0.7449148583803983,0.605138011117393,42,0.7777777777777778
82.6,vanilla,unbounded_reference,True,,,,True,True,True,e2-vanilla-15c-01,2,0,,15,09l_stage_a,balanced_mixed,4,0.2,0.21263332871588864,0.11534773171498758,1,0.2
82.6,vanilla,unbounded_reference,True,,,,False,False,False,e2-vanilla-200c-01,14,14,,200,09l_stage_a,all_cv,67,0.0,0.0,0.0,0,0.0
82.6,vanilla,unbounded_reference,True,,,,True,False,True,e2-vanilla-20c-01,2,1,,20,09l_stage_a,balanced_mixed,4,0.25,0.37128818628498184,0.2570933487465691,3,0.42857142857142855
82.6,vanilla,unbounded_reference,True,,,,True,False,True,e2-vanilla-25c-01,2,1,,25,09l_stage_a,balanced_mixed,3,0.48,0.557025894897182,0.4293866569615795,4,0.5714285714285714
82.6,vanilla,unbounded_reference,True,,,,True,False,True,e2-vanilla-50c-01,4,3,,50,09l_stage_a,balanced_mixed,10,0.28,0.3610654674392459,0.26268750443122874,6,0.375
82.6,vanilla,unbounded_reference,True,,,,False,False,False,e2-vanilla-75c-01,6,5,,75,09l_stage_a,all_cv,25,0.0,0.0,0.0,0,0.0
89.0,multidepot,unbounded_reference,False,,,,True,False,True,e2-multidepot-100c-01,7,7,,100,09l_stage_a,balanced_mixed,7,0.74,0.7717523269931202,0.6053890923732432,27,0.7941176470588235
89.0,multidepot,unbounded_reference,False,,,,True,False,True,e2-multidepot-10c-01,1,1,,10,09l_stage_a,balanced_mixed,1,0.7,0.7268559336977606,0.6814339662848842,3,0.75
89.0,multidepot,unbounded_reference,True,,,,False,False,False,e2-multidepot-150c-01,10,10,,150,09l_stage_a,all_cv,48,0.0,0.0,0.0,0,0.0
89.0,multidepot,unbounded_reference,False,,,,True,False,True,e2-multidepot-15c-01,2,0,,15,09l_stage_a,balanced_mixed,2,0.6,0.62418617537055,0.43387378048217173,3,0.6
89.0,multidepot,unbounded_reference,True,,,,False,False,False,e2-multidepot-200c-01,14,14,,200,09l_stage_a,all_cv,66,0.0,0.0,0.0,0,0.0
89.0,multidepot,unbounded_reference,True,,,,True,True,True,e2-multidepot-20c-01,2,1,,20,09l_stage_a,balanced_mixed,4,0.3,0.3742790002136296,0.1962872520144767,3,0.42857142857142855
89.0,multidepot,unbounded_reference,False,,,,True,False,False,e2-multidepot-25c-01,2,1,,25,09l_stage_a,ev_heavy_mixed,1,0.8,0.8526275704493527,0.6305979091513028,6,0.8571428571428571
89.0,multidepot,unbounded_reference,False,,,,True,False,True,e2-multidepot-50c-01,4,3,,50,09l_stage_a,balanced_mixed,4,0.74,0.7640750670241286,0.616513364441651,13,0.7647058823529411
89.0,multidepot,unbounded_reference,False,,,,True,False,False,e2-multidepot-75c-01,6,5,,75,09l_stage_a,ev_heavy_mixed,5,0.76,0.7961523726123365,0.691954311109949,22,0.8148148148148148
89.0,threeshift,unbounded_reference,True,,,,True,False,True,e2-threeshift-100c-01,7,7,,100,09l_stage_a,balanced_mixed,22,0.26,0.2597098314859872,0.20771024065424548,8,0.26666666666666666
89.0,threeshift,unbounded_reference,True,,,,True,False,True,e2-threeshift-150c-01,10,10,,150,09l_stage_a,balanced_mixed,11,0.7466666666666667,0.7747981342389696,0.5947629837593792,41,0.7884615384615384
89.0,threeshift,unbounded_reference,True,,,,False,False,False,e2-threeshift-200c-01,14,14,,200,09l_stage_a,all_cv,64,0.0,0.0,0.0,0,0.0
89.0,threeshift,unbounded_reference,False,,,,True,False,False,e2-threeshift-50c-01,4,3,,50,09l_stage_a,ev_heavy_mixed,3,0.72,0.7940979806535016,0.7177652935295629,13,0.8125
89.0,threeshift,unbounded_reference,True,,,,False,False,False,e2-threeshift-75c-01,6,5,,75,09l_stage_a,all_cv,26,0.0,0.0,0.0,0,0.0
89.0,vanilla,unbounded_reference,True,,,,True,False,True,e2-vanilla-100c-01,7,7,,100,09l_stage_a,balanced_mixed,18,0.35,0.4186457645530256,0.3221231809427173,14,0.4375
89.0,vanilla,unbounded_reference,True,,,,True,False,True,e2-vanilla-10c-01,1,1,,10,09l_stage_a,balanced_mixed,2,0.4,0.4831599365191324,0.3841683245373059,2,0.5
