all_cv_winner_count,all_ev_winner_count,balanced_winner_count,battery_kwh,constraint_mechanism,constraint_scenario,constraint_source_class,cv_heavy_winner_count,ev_heavy_winner_count,expected_winner_rows,fake_balance_bucket_count,instance_majority_fail_count,instance_majority_pass_count,max_ev_route_share,mean_ev_customer_share,mean_ev_demand_share,mean_ev_distance_share,mean_ev_route_share,min_ev_route_share,phase,promotable,raw_cap_violation_rows,raw_init_infeasible_rows,raw_ok_rows,raw_rows,raw_timeout_error_rows,scale_bucket_count,scale_bucket_fail_count,scale_bucket_pass_count,scenario_stage_status,total_instances,winner_count
12,0,10,60.0,depot_charging_capacity,depot_chargers_manifest_ev_diagnostic,diagnostic_only,1,0,23,2,13,10,0.52,0.1572463768115942,0.17111340139205403,0.10958404421022046,0.17960327234901904,0.0,stage_a,False,0,23,46,69,0,23,13,10,fail_fake_balance,23,23
10,0,13,60.0,depot_charging_capacity,depot_chargers_manifest_total_diagnostic,diagnostic_only,0,0,23,3,10,13,0.6857142857142857,0.23043478260869565,0.24999682162043407,0.15670355428419222,0.26452289303951704,0.0,stage_a,False,0,23,46,69,0,23,10,13,fail_fake_balance,23,23
10,0,12,60.0,charging_capacity_combo,depot_manifest_ev_no_public_diagnostic,diagnostic_only,1,0,23,5,11,12,0.5769230769230769,0.1829710144927536,0.19878902236518114,0.11481256285437899,0.20836203210381143,0.0,stage_a,False,0,23,46,69,0,23,11,12,fail_fake_balance,23,23
8,0,8,60.0,ev_fleet_capital,goeke_ev_cap_only,source_backed_diagnostic,7,0,23,9,14,9,0.25,0.11717391304347827,0.1273953682846188,0.07813950587013939,0.13078239549137163,0.0,stage_a,False,0,23,46,69,0,23,14,9,fail_fake_balance,23,23
0,0,0,60.0,fleet_capital,goeke_total_cap,source_backed_diagnostic,0,0,23,0,23,0,,,,,,,stage_a,False,0,69,0,69,0,23,23,0,incomplete,23,0
9,0,14,60.0,public_charging_availability,public_charging_disabled_diagnostic,diagnostic_only,0,0,23,6,9,14,0.75,0.22536231884057972,0.24583069592755605,0.14018611980767176,0.2574557637993882,0.0,stage_a,False,0,23,46,69,0,23,9,14,fail_fake_balance,23,23
9,0,14,60.0,none,unbounded_reference,reference_only,0,0,23,3,9,14,0.75,0.26565217391304347,0.28786534618901227,0.18112541205967347,0.30396388682833697,0.0,stage_a,False,0,23,46,69,0,23,9,14,fail_fake_balance,23,23
7,0,12,81.0,depot_charging_capacity,depot_chargers_manifest_ev_diagnostic,diagnostic_only,4,0,23,4,9,14,0.7450980392156863,0.24231884057971015,0.2736884018111492,0.20904907071945672,0.27655057455568965,0.0,stage_a,False,0,23,46,69,0,23,9,14,fail_fake_balance,23,23
8,0,14,81.0,depot_charging_capacity,depot_chargers_manifest_total_diagnostic,diagnostic_only,1,0,23,2,8,15,0.75,0.31478260869565217,0.3419854959149356,0.2634715741332245,0.35325630252100837,0.0,stage_a,False,0,23,46,69,0,23,8,15,fail_fake_balance,23,23
8,0,11,81.0,charging_capacity_combo,depot_manifest_ev_no_public_diagnostic,diagnostic_only,4,0,23,4,10,13,0.64,0.20260869565217393,0.22864735524140495,0.16264681324995572,0.2321751104850684,0.0,stage_a,False,0,23,46,69,0,23,10,13,fail_fake_balance,23,23
7,0,8,81.0,ev_fleet_capital,goeke_ev_cap_only,source_backed_diagnostic,8,0,23,8,13,10,0.25,0.12608695652173912,0.13432853953004975,0.10886728419384775,0.1385809485391158,0.0,stage_a,False,0,23,46,69,0,23,13,10,fail_fake_balance,23,23
0,0,0,81.0,fleet_capital,goeke_total_cap,source_backed_diagnostic,0,0,23,0,23,0,,,,,,,stage_a,False,0,69,0,69,0,23,23,0,incomplete,23,0
7,0,14,81.0,public_charging_availability,public_charging_disabled_diagnostic,diagnostic_only,2,0,23,3,8,15,0.75,0.303768115942029,0.3271010351655189,0.22679714788588742,0.3391075867464672,0.0,stage_a,False,0,22,47,69,0,23,8,15,fail_fake_balance,23,23
5,0,17,81.0,none,unbounded_reference,reference_only,1,0,23,2,5,18,0.7692307692307693,0.3960869565217391,0.43194613018482775,0.32165533490895787,0.4479543155054664,0.0,stage_a,False,0,22,47,69,0,23,5,18,fail_fake_balance,23,23
9,0,11,82.6,depot_charging_capacity,depot_chargers_manifest_ev_diagnostic,diagnostic_only,3,0,23,4,10,13,0.7346938775510204,0.22086956521739132,0.24229802968219102,0.18524067233146593,0.2449199753362246,0.0,stage_a,False,0,23,46,69,0,23,10,13,fail_fake_balance,23,23
7,0,15,82.6,depot_charging_capacity,depot_chargers_manifest_total_diagnostic,diagnostic_only,1,0,23,1,7,16,0.75,0.3417391304347826,0.37649608152977954,0.2896889093313668,0.3890376744073398,0.0,stage_a,False,0,23,46,69,0,23,7,16,fail_fake_balance,23,23
8,0,11,82.6,charging_capacity_combo,depot_manifest_ev_no_public_diagnostic,diagnostic_only,4,0,23,2,11,12,0.64,0.2063768115942029,0.23505556019146964,0.16995675293416887,0.2355136198018386,0.0,stage_a,False,0,23,46,69,0,23,11,12,fail_fake_balance,23,23
9,0,9,82.6,ev_fleet_capital,goeke_ev_cap_only,source_backed_diagnostic,5,0,23,7,12,11,0.25,0.11072463768115944,0.12383526983656978,0.10296088860181393,0.12709023153221963,0.0,stage_a,False,0,23,46,69,0,23,12,11,fail_fake_balance,23,23
0,0,0,82.6,fleet_capital,goeke_total_cap,source_backed_diagnostic,0,0,23,0,23,0,,,,,,,stage_a,False,0,69,0,69,0,23,23,0,incomplete,23,0
6,0,14,82.6,public_charging_availability,public_charging_disabled_diagnostic,diagnostic_only,3,0,23,2,8,15,0.75,0.32855072463768115,0.35820407509271446,0.2544212831116911,0.36786032249353184,0.0,stage_a,False,0,22,47,69,0,23,8,15,fail_fake_balance,23,23
6,0,16,82.6,none,unbounded_reference,reference_only,1,0,23,1,6,17,0.75,0.3753623188405797,0.4141040023112105,0.30971408499081315,0.4269676791851707,0.0,stage_a,False,0,22,47,69,0,23,6,17,fail_fake_balance,23,23
10,0,10,89.0,depot_charging_capacity,depot_chargers_manifest_ev_diagnostic,diagnostic_only,3,0,23,3,11,12,0.7843137254901961,0.2289855072463768,0.2420645812634689,0.1908471003399893,0.24188067497530416,0.0,stage_a,False,0,23,46,69,0,23,11,12,fail_fake_balance,23,23
4,0,17,89.0,depot_charging_capacity,depot_chargers_manifest_total_diagnostic,diagnostic_only,1,1,23,1,5,18,0.803921568627451,0.4305797101449276,0.46906780347637594,0.38863764962400854,0.48173280683510866,0.0,stage_a,False,0,23,46,69,0,23,5,18,fail_fake_balance,23,23
9,0,10,89.0,charging_capacity_combo,depot_manifest_ev_no_public_diagnostic,diagnostic_only,4,0,23,2,12,11,0.7254901960784313,0.2082608695652174,0.22661283418912626,0.17522912960874654,0.22915583776836976,0.0,stage_a,False,0,23,46,69,0,23,12,11,fail_fake_balance,23,23
