battery_kwh,category,constraint_mechanism,constraint_promotable,constraint_scenario,constraint_source_class,cv_shell_composition,cv_shell_cost,cv_shell_ev_route_share,ev_shell_composition,ev_shell_cost,ev_shell_ev_route_share,free_mixed_composition,free_mixed_cost,free_mixed_ev_route_share,instance,phase,seed,size,winner_composition,winner_cv_route_count,winner_depot_charging_energy_share,winner_depot_peak_capacity,winner_depot_peak_concurrent_at_one_depot,winner_ev_customer_share,winner_ev_demand_share,winner_ev_distance_share,winner_ev_route_count,winner_ev_route_share,winner_ev_routes_drive_kwh_over_battery,winner_ev_routes_with_public_charge,winner_max_ev_drive_kwh,winner_max_ev_route_distance_m,winner_public_charging_energy_share,winner_public_peak_concurrent_at_one_station,winner_route_count,winner_station_capacity_violation_count,winner_status,winner_total_cost,winner_variant
81.0,multidepot,none,False,unbounded_reference,reference_only,all_cv,5149.407881512074,0.0,,,,balanced_mixed,5247.682749490047,0.4117647058823529,e2-multidepot-100c-01,stage_a,1,100,all_cv,33,0.0,,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,33,0,OK,5149.407881512074,cv_shell
81.0,threeshift,none,False,unbounded_reference,reference_only,all_cv,9375.00793484645,0.0,,,,balanced_mixed,10914.27394817502,0.45161290322580644,e2-threeshift-200c-01,stage_a,1,200,all_cv,63,0.0,,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,63,0,OK,9375.00793484645,cv_shell
280.0,multidepot,none,False,unbounded_reference,reference_only,all_cv,5149.407881512074,0.0,all_ev,5621.253437007174,1.0,balanced_mixed,5009.5327153974595,0.47058823529411764,e2-multidepot-100c-01,stage_a,1,100,balanced_mixed,18,1.0,100,9,0.43,0.46942426888751626,0.433858656199143,16,0.47058823529411764,0,0,116.9798512052975,186539.81864580972,0.0,0,34,0,OK,5009.5327153974595,free_mixed
280.0,threeshift,none,False,unbounded_reference,reference_only,all_cv,9375.00793484645,0.0,all_ev,10345.868211206001,1.0,balanced_mixed,9155.011512587353,0.6470588235294118,e2-threeshift-200c-01,stage_a,1,200,balanced_mixed,24,1.0,91,16,0.545,0.6154300270030939,0.6541046321479058,44,0.6470588235294118,0,0,138.96637798412556,221807.43945001095,0.0,0,68,0,OK,9155.011512587353,free_mixed
