battery_kwh,category,ev_over_manifest_rows,fake_balance_rows,in_band_rows,mean_ev_customer_share,mean_ev_demand_share,mean_ev_distance_share,mean_ev_route_share,rows,source_artifact
60.0,multidepot,8,0,8,0.4159259259259259,0.4599024810098886,0.29068356823008556,0.4845086049689631,9,09l_stage_a
81.0,multidepot,7,0,7,0.5007407407407407,0.5322624309793706,0.4177847657880151,0.5408903853348298,9,09l_stage_a
82.6,multidepot,7,1,7,0.44555555555555554,0.47563203060069703,0.3580153955973826,0.49378220423972063,9,09l_stage_a
89.0,multidepot,7,1,5,0.5155555555555555,0.5455476051512087,0.4284499639841865,0.5565947366600961,9,09l_stage_a
100.0,multidepot,8,0,5,0.6662962962962963,0.697570979207947,0.5866204927904768,0.7054246951305775,9,09l_stage_a
113.0,multidepot,9,0,1,0.8794444444444445,0.8966860794760672,0.8175560055433745,0.8992741242741243,9,09l_stage_a
123.9,multidepot,9,0,1,0.8546296296296296,0.8774745570598229,0.8059634156289239,0.8821204321204321,9,09l_stage_a
140.0,multidepot,8,0,1,0.7751851851851852,0.7913265407234658,0.734934027350667,0.8039986414986414,9,09l_stage_a
141.0,multidepot,8,0,1,0.7751851851851852,0.7913265407234658,0.734934027350667,0.8039986414986414,9,09l_stage_a
150.0,multidepot,8,0,1,0.7751851851851852,0.7913265407234658,0.734934027350667,0.8039986414986414,9,09l_stage_a
176.0,multidepot,8,0,1,0.7751851851851852,0.7913265407234658,0.734934027350667,0.8039986414986414,9,09l_stage_a
180.0,multidepot,8,0,1,0.7751851851851852,0.7913265407234658,0.734934027350667,0.8039986414986414,9,09l_stage_a
194.0,multidepot,8,0,1,0.7751851851851852,0.7913265407234658,0.734934027350667,0.8039986414986414,9,09l_stage_a
200.0,multidepot,8,0,1,0.7751851851851852,0.7913265407234658,0.734934027350667,0.8039986414986414,9,09l_stage_a
210.0,multidepot,8,0,1,0.7751851851851852,0.7913265407234658,0.734934027350667,0.8039986414986414,9,09l_stage_a
240.0,multidepot,8,0,1,0.7751851851851852,0.7913265407234658,0.734934027350667,0.8039986414986414,9,09l_stage_a
280.0,multidepot,8,0,1,0.7751851851851852,0.7913265407234658,0.734934027350667,0.8039986414986414,9,09l_stage_a
282.0,multidepot,8,0,1,0.7751851851851852,0.7913265407234658,0.734934027350667,0.8039986414986414,9,09l_stage_a
291.0,multidepot,8,0,1,0.7751851851851852,0.7913265407234658,0.734934027350667,0.8039986414986414,9,09l_stage_a
60.0,threeshift,3,2,3,0.19,0.21256388572629223,0.1454131181111673,0.22990891840607208,5,09l_stage_a
81.0,threeshift,3,0,3,0.39866666666666667,0.4231847463792878,0.33418598515369347,0.4344165638283286,5,09l_stage_a
82.6,threeshift,2,0,2,0.21066666666666664,0.224767681961714,0.17389851874707876,0.23564814814814813,5,09l_stage_a
89.0,threeshift,3,0,2,0.3453333333333333,0.36572118927569164,0.3040477035886375,0.373525641025641,5,09l_stage_a
100.0,threeshift,3,0,0,0.522,0.5325455020701181,0.48571647880927593,0.537589552238806,5,09l_stage_a
113.0,threeshift,4,0,0,0.7063333333333334,0.7267263601972376,0.6816719812064272,0.7347268907563025,5,09l_stage_a
123.9,threeshift,5,0,1,0.8763333333333334,0.882849854459358,0.8615878076967942,0.8949345841951477,5,09l_stage_a
140.0,threeshift,5,0,0,0.9386666666666666,0.9489278485480247,0.9167738538370657,0.955428612268235,5,09l_stage_a
141.0,threeshift,5,0,0,0.9400000000000001,0.9498071800306283,0.9163005467743428,0.9550657675657674,5,09l_stage_a
150.0,threeshift,4,0,0,0.7233333333333334,0.7447073352133261,0.7206163323666184,0.7497028301886792,5,09l_stage_a
176.0,threeshift,5,0,0,0.9560000000000001,0.9658120430502602,0.9493869182866801,0.967652329749104,5,09l_stage_a
180.0,threeshift,5,0,0,0.9400000000000001,0.9524834646167026,0.9232584637042957,0.9558876238667511,5,09l_stage_a
194.0,threeshift,4,0,0,0.7293333333333333,0.7445029015182318,0.7095495873531679,0.7475542905334176,5,09l_stage_a
200.0,threeshift,4,0,0,0.7293333333333333,0.7445029015182318,0.7095495873531679,0.7475542905334176,5,09l_stage_a
210.0,threeshift,4,0,0,0.7293333333333333,0.7445029015182318,0.7095495873531679,0.7475542905334176,5,09l_stage_a
240.0,threeshift,5,0,0,0.9226666666666666,0.940342987196684,0.9052760573129754,0.9429791271347249,5,09l_stage_a
280.0,threeshift,5,0,0,0.9226666666666666,0.940342987196684,0.9052760573129754,0.9429791271347249,5,09l_stage_a
282.0,threeshift,5,0,0,0.9226666666666666,0.940342987196684,0.9052760573129754,0.9429791271347249,5,09l_stage_a
291.0,threeshift,5,0,0,0.9226666666666666,0.940342987196684,0.9052760573129754,0.9429791271347249,5,09l_stage_a
60.0,vanilla,0,1,1,0.031111111111111114,0.04216076711912744,0.020738160700523065,0.04365079365079365,9,09l_stage_a
81.0,vanilla,6,2,7,0.2677777777777778,0.3118651634724545,0.21371084184699557,0.31573574922631525,9,09l_stage_a
82.6,vanilla,6,2,7,0.27481481481481485,0.32378569154325465,0.23215679322036456,0.3363355780022447,9,09l_stage_a
89.0,vanilla,9,1,8,0.46796296296296297,0.5273194305250182,0.4241594148687331,0.5452578720184353,9,09l_stage_a
100.0,vanilla,8,1,6,0.5140740740740741,0.5552668281588455,0.4617835026369227,0.5655790711346267,9,09l_stage_a
