battery_kwh,category,ev_over_manifest_rows,fake_balance_rows,in_band_rows,mean_ev_customer_share,mean_ev_demand_share,mean_ev_distance_share,mean_ev_route_share,rows,source_artifact
113.0,vanilla,8,0,5,0.5514814814814815,0.6001376192600321,0.5448564581913654,0.609707949848795,9,09l_stage_a
123.9,vanilla,9,0,3,0.7581481481481481,0.8021065988797904,0.7547916606617059,0.8073503387199948,9,09l_stage_a
140.0,vanilla,9,0,2,0.825,0.8428834391127142,0.8100569292950874,0.8554074526296749,9,09l_stage_a
141.0,vanilla,9,0,2,0.825,0.8428834391127142,0.8100569292950874,0.8554074526296749,9,09l_stage_a
150.0,vanilla,9,0,2,0.825,0.8428834391127142,0.8100569292950874,0.8554074526296749,9,09l_stage_a
176.0,vanilla,9,0,2,0.825,0.8428834391127142,0.8100569292950874,0.8554074526296749,9,09l_stage_a
180.0,vanilla,9,0,2,0.825,0.8428834391127142,0.8100569292950874,0.8554074526296749,9,09l_stage_a
194.0,vanilla,9,0,2,0.825,0.8428834391127142,0.8100569292950874,0.8554074526296749,9,09l_stage_a
200.0,vanilla,9,0,2,0.825,0.8428834391127142,0.8100569292950874,0.8554074526296749,9,09l_stage_a
210.0,vanilla,9,0,2,0.825,0.8428834391127142,0.8100569292950874,0.8554074526296749,9,09l_stage_a
240.0,vanilla,9,0,2,0.825,0.8428834391127142,0.8100569292950874,0.8554074526296749,9,09l_stage_a
280.0,vanilla,9,0,2,0.825,0.8428834391127142,0.8100569292950874,0.8554074526296749,9,09l_stage_a
282.0,vanilla,9,0,2,0.825,0.8428834391127142,0.8100569292950874,0.8554074526296749,9,09l_stage_a
291.0,vanilla,9,0,2,0.825,0.8428834391127142,0.8100569292950874,0.8554074526296749,9,09l_stage_a
