start_id,start_signature,seed,profile_id,run_order,eval_budget,evaluations,candidate_scores,candidate_channel_scores,actual_moves,selector_selection_count,exact_budget,feasible,raw_cost,final_cost,elapsed_seconds,raw_search_elapsed_seconds,route_count,raw_signature,final_signature,selector_kind,selector_rng_contract,completed_segments,distinct_destroy_families_used,dominant_destroy_count,dominant_destroy_share,destroy_selection_counts,pair_selection_counts,final_destroy_weights,responsibility_updates,fleet_charge_updates,carbon_time_updates,score_counts
CV_ONLY,f0de40306fb761ed4344ab8bd346ad711cd58ac7d2b139fe08515f96742b9b56,1,control_alpha,1,400,400,400,400,400,400,True,True,1240.325412424116,1239.598092517544,4.329761750006583,4.102227541967295,8,b7f5151c9738961e314707e9e9945b287c34808cf64ff72c3de4fb9f9652c637,780234ed061fcf225508e76e43c3700ee50e5bf10da7f4a93af1d0ae68623345,alpha_ucb,independent_seeded_stream,0,6,364,0.91,"{""random_customer_removal"": 364, ""route_segment_removal"": 3, ""shaw_related_removal"": 16, ""vehicle_type_swap"": 11, ""whole_route_removal"": 3, ""worst_customer_removal"": 3}","{""random_customer_removal+greedy_insert_repair"": 1, ""random_customer_removal+regret2_insert_repair"": 1, ""random_customer_removal+regret3_insert_repair"": 362, ""route_segment_removal+greedy_insert_repair"": 1, ""route_segment_removal+regret2_insert_repair"": 1, ""route_segment_removal+regret3_insert_repair"": 1, ""shaw_related_removal+greedy_insert_repair"": 1, ""shaw_related_removal+regret2_insert_repair"": 1, ""shaw_related_removal+regret3_insert_repair"": 14, ""vehicle_type_swap+greedy_insert_repair"": 11, ""whole_route_removal+greedy_insert_repair"": 1, ""whole_route_removal+regret2_insert_repair"": 1, ""whole_route_removal+regret3_insert_repair"": 1, ""worst_customer_removal+greedy_insert_repair"": 1, ""worst_customer_removal+regret2_insert_repair"": 1, ""worst_customer_removal+regret3_insert_repair"": 1}",[],0,0,1,"{""candidate"": 400, ""candidate_channel:destroy_repair"": 400, ""reference"": 2, ""reference_cache_hit"": 36, ""reference_cache_hit:history"": 36, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 59831}"
CV_ONLY,f0de40306fb761ed4344ab8bd346ad711cd58ac7d2b139fe08515f96742b9b56,1,averaged_segmented_roulette,2,400,400,400,400,400,400,True,True,1262.707591448937,1249.9030709633919,4.803665291983634,4.119955041969661,8,bc53a2ace7a84b86d2be3b6fa5a61d427500a9e6bd3d23e42b278439f6473c60,f32d8a231dfec953166f62f3839724eff7956cceca4348adb371051685e55419,averaged_segmented_roulette,independent_seeded_stream,3,6,93,0.2325,"{""random_customer_removal"": 79, ""route_segment_removal"": 93, ""shaw_related_removal"": 42, ""vehicle_type_swap"": 70, ""whole_route_removal"": 53, ""worst_customer_removal"": 63}","{""random_customer_removal+greedy_insert_repair"": 21, ""random_customer_removal+regret2_insert_repair"": 25, ""random_customer_removal+regret3_insert_repair"": 33, ""route_segment_removal+greedy_insert_repair"": 29, ""route_segment_removal+regret2_insert_repair"": 36, ""route_segment_removal+regret3_insert_repair"": 28, ""shaw_related_removal+greedy_insert_repair"": 18, ""shaw_related_removal+regret2_insert_repair"": 10, ""shaw_related_removal+regret3_insert_repair"": 14, ""vehicle_type_swap+greedy_insert_repair"": 70, ""whole_route_removal+greedy_insert_repair"": 17, ""whole_route_removal+regret2_insert_repair"": 19, ""whole_route_removal+regret3_insert_repair"": 17, ""worst_customer_removal+greedy_insert_repair"": 19, ""worst_customer_removal+regret2_insert_repair"": 16, ""worst_customer_removal+regret3_insert_repair"": 28}","[1.6066569377990432, 1.4187860389610392, 0.8866250000000001, 0.74255, 1.7703214763497372, 1.302258333333333]",3,0,1,"{""candidate"": 400, ""candidate_channel:destroy_repair"": 400, ""reference"": 2, ""reference_cache_hit"": 31, ""reference_cache_hit:history"": 31, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 18881}"
CV_ONLY,f0de40306fb761ed4344ab8bd346ad711cd58ac7d2b139fe08515f96742b9b56,2,averaged_segmented_roulette,1,400,400,400,400,400,400,True,True,1404.3942662046707,1355.1740147246255,4.841716750001069,4.206665583013091,7,d39c1e660660e33f7ce3c945671bf154307e1f840e1862b44efa9549673636e4,351a1e8e8ee7f12d419bd05f68769e8fa88ca01b6600ac44aee726a5c59d194d,averaged_segmented_roulette,independent_seeded_stream,3,6,74,0.185,"{""random_customer_removal"": 74, ""route_segment_removal"": 73, ""shaw_related_removal"": 69, ""vehicle_type_swap"": 74, ""whole_route_removal"": 49, ""worst_customer_removal"": 61}","{""random_customer_removal+greedy_insert_repair"": 23, ""random_customer_removal+regret2_insert_repair"": 21, ""random_customer_removal+regret3_insert_repair"": 30, ""route_segment_removal+greedy_insert_repair"": 27, ""route_segment_removal+regret2_insert_repair"": 15, ""route_segment_removal+regret3_insert_repair"": 31, ""shaw_related_removal+greedy_insert_repair"": 26, ""shaw_related_removal+regret2_insert_repair"": 23, ""shaw_related_removal+regret3_insert_repair"": 20, ""vehicle_type_swap+greedy_insert_repair"": 74, ""whole_route_removal+greedy_insert_repair"": 17, ""whole_route_removal+regret2_insert_repair"": 16, ""whole_route_removal+regret3_insert_repair"": 16, ""worst_customer_removal+greedy_insert_repair"": 24, ""worst_customer_removal+regret2_insert_repair"": 19, ""worst_customer_removal+regret3_insert_repair"": 18}","[1.33109, 0.74255, 1.0167877005347594, 0.8579750000000002, 1.1295817647058823, 1.0118749999999996]",2,1,1,"{""candidate"": 400, ""candidate_channel:destroy_repair"": 400, ""reference"": 2, ""reference_cache_hit"": 16, ""reference_cache_hit:history"": 16, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 18475}"
CV_ONLY,f0de40306fb761ed4344ab8bd346ad711cd58ac7d2b139fe08515f96742b9b56,2,control_alpha,2,400,400,400,400,400,400,True,True,1368.8564116645769,1208.3518909007062,3.656913832994178,3.4356099580181763,8,6b1d6aa4be20a0dbaeccff8eea064bb59faa66f071d133eb9d3743d206bbb73a,863fca771d0f0525429f4d24664f52f8c863dbe35544563b018fc102a281ee1b,alpha_ucb,independent_seeded_stream,0,1,400,1.0,"{""random_customer_removal"": 400, ""route_segment_removal"": 0, ""shaw_related_removal"": 0, ""vehicle_type_swap"": 0, ""whole_route_removal"": 0, ""worst_customer_removal"": 0}","{""random_customer_removal+greedy_insert_repair"": 1, ""random_customer_removal+regret2_insert_repair"": 1, ""random_customer_removal+regret3_insert_repair"": 398}",[],0,1,1,"{""candidate"": 400, ""candidate_channel:destroy_repair"": 400, ""reference"": 2, ""reference_cache_hit"": 48, ""reference_cache_hit:history"": 48, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 64811}"
CV_ONLY,f0de40306fb761ed4344ab8bd346ad711cd58ac7d2b139fe08515f96742b9b56,3,control_alpha,1,400,400,400,400,400,400,True,True,1393.7673930343637,1194.8571355639378,4.851884166011587,4.213701082975604,8,d040978ef546a15b95fbc7a074221f06c07594851f3693dc7ded542a510550dd,2ea669e00e62328e43552ea394864c9595f463dd5807af0343c23fc11d980dd3,alpha_ucb,independent_seeded_stream,0,4,388,0.97,"{""random_customer_removal"": 388, ""route_segment_removal"": 0, ""shaw_related_removal"": 3, ""vehicle_type_swap"": 0, ""whole_route_removal"": 6, ""worst_customer_removal"": 3}","{""random_customer_removal+greedy_insert_repair"": 1, ""random_customer_removal+regret2_insert_repair"": 1, ""random_customer_removal+regret3_insert_repair"": 386, ""shaw_related_removal+greedy_insert_repair"": 1, ""shaw_related_removal+regret2_insert_repair"": 1, ""shaw_related_removal+regret3_insert_repair"": 1, ""whole_route_removal+greedy_insert_repair"": 6, ""worst_customer_removal+greedy_insert_repair"": 1, ""worst_customer_removal+regret2_insert_repair"": 1, ""worst_customer_removal+regret3_insert_repair"": 1}",[],3,1,1,"{""candidate"": 400, ""candidate_channel:destroy_repair"": 400, ""reference"": 2, ""reference_cache_hit"": 33, ""reference_cache_hit:history"": 33, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 83031}"
CV_ONLY,f0de40306fb761ed4344ab8bd346ad711cd58ac7d2b139fe08515f96742b9b56,3,averaged_segmented_roulette,2,400,400,400,400,400,400,True,True,1268.7622681782245,1255.8085306259559,4.715739959036,4.06410495901946,8,02d096dcfc5733162d4e555c55f370c9cf165397211f6dcb97d57892479e6fd4,173aceebf28cde76ccff902763543432077ec95d30532dfc62eef5320ee78818,averaged_segmented_roulette,independent_seeded_stream,3,6,83,0.2075,"{""random_customer_removal"": 83, ""route_segment_removal"": 69, ""shaw_related_removal"": 68, ""vehicle_type_swap"": 81, ""whole_route_removal"": 51, ""worst_customer_removal"": 48}","{""random_customer_removal+greedy_insert_repair"": 29, ""random_customer_removal+regret2_insert_repair"": 25, ""random_customer_removal+regret3_insert_repair"": 29, ""route_segment_removal+greedy_insert_repair"": 23, ""route_segment_removal+regret2_insert_repair"": 30, ""route_segment_removal+regret3_insert_repair"": 16, ""shaw_related_removal+greedy_insert_repair"": 27, ""shaw_related_removal+regret2_insert_repair"": 22, ""shaw_related_removal+regret3_insert_repair"": 19, ""vehicle_type_swap+greedy_insert_repair"": 81, ""whole_route_removal+greedy_insert_repair"": 18, ""whole_route_removal+regret2_insert_repair"": 17, ""whole_route_removal+regret3_insert_repair"": 16, ""worst_customer_removal+greedy_insert_repair"": 12, ""worst_customer_removal+regret2_insert_repair"": 16, ""worst_customer_removal+regret3_insert_repair"": 20}","[1.4336192028985506, 0.8772125000000001, 0.9370999999999997, 0.7642166666666667, 1.5788765789473684, 1.370975]",3,0,1,"{""candidate"": 400, ""candidate_channel:destroy_repair"": 400, ""reference"": 2, ""reference_cache_hit"": 27, ""reference_cache_hit:history"": 27, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 23047}"
SHARED_ONE_EV,f0d267a94a976b061f0b16f722783e2aaf9707467baf56c05ab734da466fccb3,1,averaged_segmented_roulette,1,400,400,400,400,400,400,True,True,1286.3422030089062,1271.3895227889197,5.319759249978233,4.601809040992521,8,1dc8d109d48a44c48a878e544bdfe142c047583d69e5296ae4431d3f236c6033,086098478d713c3a6b6951028f368da8e990334cbcf533cf5dc8bea35a4e237f,averaged_segmented_roulette,independent_seeded_stream,3,6,88,0.22,"{""random_customer_removal"": 88, ""route_segment_removal"": 65, ""shaw_related_removal"": 50, ""vehicle_type_swap"": 82, ""whole_route_removal"": 62, ""worst_customer_removal"": 53}","{""random_customer_removal+greedy_insert_repair"": 23, ""random_customer_removal+regret2_insert_repair"": 28, ""random_customer_removal+regret3_insert_repair"": 37, ""route_segment_removal+greedy_insert_repair"": 22, ""route_segment_removal+regret2_insert_repair"": 24, ""route_segment_removal+regret3_insert_repair"": 19, ""shaw_related_removal+greedy_insert_repair"": 20, ""shaw_related_removal+regret2_insert_repair"": 14, ""shaw_related_removal+regret3_insert_repair"": 16, ""vehicle_type_swap+greedy_insert_repair"": 82, ""whole_route_removal+greedy_insert_repair"": 23, ""whole_route_removal+regret2_insert_repair"": 23, ""whole_route_removal+regret3_insert_repair"": 16, ""worst_customer_removal+greedy_insert_repair"": 19, ""worst_customer_removal+regret2_insert_repair"": 15, ""worst_customer_removal+regret3_insert_repair"": 19}","[1.456475, 0.832325, 1.070818181818182, 0.74255, 1.1293935064935068, 1.3709749999999998]",2,0,1,"{""candidate"": 400, ""candidate_channel:destroy_repair"": 400, ""reference"": 2, ""reference_cache_hit"": 21, ""reference_cache_hit:history"": 21, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 22365}"
SHARED_ONE_EV,f0d267a94a976b061f0b16f722783e2aaf9707467baf56c05ab734da466fccb3,1,control_alpha,2,400,400,400,400,400,400,True,True,1377.7129730449424,1227.5368880411454,4.3721067500300705,4.153212125005666,8,52efed9e77489cc64e6b0805e1c555bb04271c103392ae9d277029e892f98d69,ec5b0ad42261e48432fb19664983ed3a76f1c96a9177d5a60ee68ebe78633150,alpha_ucb,independent_seeded_stream,0,1,400,1.0,"{""random_customer_removal"": 400, ""route_segment_removal"": 0, ""shaw_related_removal"": 0, ""vehicle_type_swap"": 0, ""whole_route_removal"": 0, ""worst_customer_removal"": 0}","{""random_customer_removal+greedy_insert_repair"": 400}",[],0,1,1,"{""candidate"": 400, ""candidate_channel:destroy_repair"": 400, ""reference"": 2, ""reference_cache_hit"": 48, ""reference_cache_hit:history"": 48, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 70031}"
SHARED_ONE_EV,f0d267a94a976b061f0b16f722783e2aaf9707467baf56c05ab734da466fccb3,2,control_alpha,1,400,400,400,400,400,400,True,True,1367.6824258692884,1211.7983068301342,4.206097332993522,3.9927636670181528,7,6990560e7d9858a26461327a70fab11bf30892054ad40662287374abb6af25f4,86518ca56380193b783a27f85f48c1180200983d7fd507f68a41244ac09bea9e,alpha_ucb,independent_seeded_stream,0,1,400,1.0,"{""random_customer_removal"": 400, ""route_segment_removal"": 0, ""shaw_related_removal"": 0, ""vehicle_type_swap"": 0, ""whole_route_removal"": 0, ""worst_customer_removal"": 0}","{""random_customer_removal+greedy_insert_repair"": 398, ""random_customer_removal+regret2_insert_repair"": 1, ""random_customer_removal+regret3_insert_repair"": 1}",[],0,1,1,"{""candidate"": 400, ""candidate_channel:destroy_repair"": 400, ""reference"": 2, ""reference_cache_hit"": 33, ""reference_cache_hit:history"": 33, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 69965}"
SHARED_ONE_EV,f0d267a94a976b061f0b16f722783e2aaf9707467baf56c05ab734da466fccb3,2,averaged_segmented_roulette,2,400,400,400,400,400,400,True,True,1212.654389632422,1212.2112852804942,4.8344512499752454,4.581606207997538,7,43ea71524bf3cf3ecd1beb0a3298a4d3c4b0f04ce60065077c72e38512c6a5d5,77c6645df68add91a96e4f99a623653bf30c0f5c2cc8977b13cf566d1bac4ae9,averaged_segmented_roulette,independent_seeded_stream,3,6,78,0.195,"{""random_customer_removal"": 73, ""route_segment_removal"": 78, ""shaw_related_removal"": 71, ""vehicle_type_swap"": 76, ""whole_route_removal"": 47, ""worst_customer_removal"": 55}","{""random_customer_removal+greedy_insert_repair"": 23, ""random_customer_removal+regret2_insert_repair"": 21, ""random_customer_removal+regret3_insert_repair"": 29, ""route_segment_removal+greedy_insert_repair"": 28, ""route_segment_removal+regret2_insert_repair"": 18, ""route_segment_removal+regret3_insert_repair"": 32, ""shaw_related_removal+greedy_insert_repair"": 30, ""shaw_related_removal+regret2_insert_repair"": 23, ""shaw_related_removal+regret3_insert_repair"": 18, ""vehicle_type_swap+greedy_insert_repair"": 76, ""whole_route_removal+greedy_insert_repair"": 17, ""whole_route_removal+regret2_insert_repair"": 15, ""whole_route_removal+regret3_insert_repair"": 15, ""worst_customer_removal+greedy_insert_repair"": 19, ""worst_customer_removal+regret2_insert_repair"": 19, ""worst_customer_removal+regret3_insert_repair"": 17}","[1.6818429411764706, 0.74255, 1.3114762371615314, 0.8579750000000002, 1.5963800000000001, 1.3453249999999997]",0,0,1,"{""candidate"": 400, ""candidate_channel:destroy_repair"": 400, ""reference"": 2, ""reference_cache_hit"": 35, ""reference_cache_hit:history"": 35, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 20572}"
