route_index,path,distance_km,cost_cny,time_h,fuel_l,electricity_kwh,emissions_kg,on_time_customer_count,load_rate_pct,vehicle_id,vehicle_type,home_depot_id,home_city
1,"[D_guangzhou, C022, C015, C014, C017, C018, C010, D_guangzhou]",72.232627618371,300.24101645728757,11.215860911111111,9.66902965456007,0,26.152843042272433,6,92.10374639769452,CH81-0001,cv,D_guangzhou,guangzhou
2,"[D_guangzhou, C002, C008, C019, D_guangzhou]",58.884817727626,274.52076071657257,12.000986022222223,7.666002663648345,0,20.73504494109027,3,48.01152737752162,CH81-0002,cv,D_guangzhou,guangzhou
3,"[D_guangzhou, C016, C021, C003, C023, C005, C004, C012, C006, D_guangzhou]",90.034460746964,332.6777634109393,11.795757527777779,12.096286576194519,0,32.71810052546125,8,92.10374639769452,CH81-0003,cv,D_guangzhou,guangzhou
4,"[D_guangzhou, C009, C020, C011, C007, C013, C001, D_guangzhou]",67.11239182669499,292.3887260672315,10.645875333333333,9.164182128886212,0,24.787328758943996,6,75.96541786743516,CH81-0004,cv,D_guangzhou,guangzhou
5,"[D_shenzhen, C043, C028, C040, C038, C049, C025, D_shenzhen]",59.98908749087,275.9025274246073,12.093921227777777,7.734096620860017,0,20.91922584017813,6,84.0922190201729,CH81-0005,cv,D_shenzhen,shenzhen
6,"[D_shenzhen, C032, C037, C030, C045, C044, C042, D_shenzhen]",63.22336830405101,284.12460553763646,11.49641723888889,8.47979894178462,0,22.93620545986539,6,96.0806916426513,CH81-0006,cv,D_shenzhen,shenzhen
7,"[D_shenzhen, C046, C041, C036, C047, C035, C027, C031, D_shenzhen]",61.419003623498995,279.2215673932284,11.688259983333335,8.02242974118327,0,21.699110803727326,7,88.06916426512969,CH81-0007,cv,D_shenzhen,shenzhen
8,"[D_shenzhen, C034, C026, C048, C033, C029, C024, D_shenzhen]",64.04741758089,284.89326583823294,12.368760916666668,8.496271959338067,0,22.980761765709868,6,84.03458213256484,CH81-0008,cv,D_shenzhen,shenzhen
9,"[D_shenzhen, C039, C050, D_shenzhen]",46.98171781849,250.69027284191685,8.25027566111111,5.762792840747986,0,15.587232848968922,2,44.03458213256484,CH81-0009,cv,D_shenzhen,shenzhen
mean,mean,64.88054363749511,286.0733895208503,11.284012758024693,8.565654569689235,0.0,23.168428220690842,5.555555555555555,78.27729747038104,,,,
total,total,583.9248927374559,2574.660505687653,101.55611482222223,77.09089112720311,0.0,208.5158539862176,50.0,,,,,
