cap_scenario,category,in_band_count,instance,mean_ev_customer_share,mean_ev_demand_share,mean_ev_distance_share,mean_ev_route_share,phase,reason,required_majority,size,winner_count
depot_scaled_cap,multidepot,0,e2-multidepot-100c-01,,,,,stage_a,missing_or_infeasible,1,100,0
depot_scaled_cap,multidepot,0,e2-multidepot-150c-01,,,,,stage_a,missing_or_infeasible,1,150,0
depot_scaled_cap,multidepot,0,e2-multidepot-200c-01,,,,,stage_a,missing_or_infeasible,1,200,0
depot_scaled_cap,multidepot,0,e2-multidepot-75c-01,,,,,stage_a,missing_or_infeasible,1,75,0
depot_scaled_cap,threeshift,0,e2-threeshift-100c-01,,,,,stage_a,missing_or_infeasible,1,100,0
depot_scaled_cap,threeshift,0,e2-threeshift-150c-01,,,,,stage_a,missing_or_infeasible,1,150,0
depot_scaled_cap,threeshift,0,e2-threeshift-200c-01,,,,,stage_a,missing_or_infeasible,1,200,0
depot_scaled_cap,threeshift,0,e2-threeshift-75c-01,,,,,stage_a,missing_or_infeasible,1,75,0
depot_scaled_cap,vanilla,0,e2-vanilla-100c-01,,,,,stage_a,missing_or_infeasible,1,100,0
depot_scaled_cap,vanilla,0,e2-vanilla-150c-01,,,,,stage_a,missing_or_infeasible,1,150,0
depot_scaled_cap,vanilla,0,e2-vanilla-200c-01,,,,,stage_a,missing_or_infeasible,1,200,0
depot_scaled_cap,vanilla,0,e2-vanilla-75c-01,,,,,stage_a,missing_or_infeasible,1,75,0
goeke_ev_cap_only,multidepot,1,e2-multidepot-100c-01,0.2,0.2017721357217406,0.1919773366735521,0.21212121212121213,stage_a,fake_balance,1,100,1
goeke_ev_cap_only,multidepot,0,e2-multidepot-200c-01,0.0,0.0,0.0,0.0,stage_a,route_share_outside_practical_band,1,200,1
goeke_ev_cap_only,multidepot,0,e2-multidepot-75c-01,0.2,0.2001532483170051,0.18673705113614425,0.19230769230769232,stage_a,route_share_outside_practical_band,1,75,1
goeke_ev_cap_only,threeshift,1,e2-threeshift-150c-01,0.2,0.20754477685554443,0.19622347166616433,0.2,stage_a,fake_balance,1,150,1
goeke_ev_cap_only,threeshift,1,e2-threeshift-200c-01,0.195,0.21145499666560988,0.12007374305390583,0.21875,stage_a,fake_balance,1,200,1
goeke_ev_cap_only,vanilla,1,e2-vanilla-100c-01,0.18,0.19957826577775883,0.18371931918062995,0.21875,stage_a,fake_balance,1,100,1
goeke_ev_cap_only,vanilla,1,e2-vanilla-150c-01,0.20666666666666667,0.20548643254490637,0.17234944522865303,0.20833333333333334,stage_a,fake_balance,1,150,1
goeke_ev_cap_only,vanilla,1,e2-vanilla-200c-01,0.225,0.21675312911725955,0.15196236044006203,0.208955223880597,stage_a,fake_balance,1,200,1
goeke_total_cap,multidepot,0,e2-multidepot-100c-01,,,,,stage_a,missing_or_infeasible,1,100,0
goeke_total_cap,multidepot,0,e2-multidepot-150c-01,,,,,stage_a,missing_or_infeasible,1,150,0
goeke_total_cap,multidepot,0,e2-multidepot-200c-01,,,,,stage_a,missing_or_infeasible,1,200,0
goeke_total_cap,multidepot,0,e2-multidepot-75c-01,,,,,stage_a,missing_or_infeasible,1,75,0
goeke_total_cap,threeshift,0,e2-threeshift-100c-01,,,,,stage_a,missing_or_infeasible,1,100,0
goeke_total_cap,threeshift,0,e2-threeshift-150c-01,,,,,stage_a,missing_or_infeasible,1,150,0
goeke_total_cap,threeshift,0,e2-threeshift-200c-01,,,,,stage_a,missing_or_infeasible,1,200,0
goeke_total_cap,threeshift,0,e2-threeshift-75c-01,,,,,stage_a,missing_or_infeasible,1,75,0
goeke_total_cap,vanilla,0,e2-vanilla-100c-01,,,,,stage_a,missing_or_infeasible,1,100,0
goeke_total_cap,vanilla,0,e2-vanilla-150c-01,,,,,stage_a,missing_or_infeasible,1,150,0
goeke_total_cap,vanilla,0,e2-vanilla-200c-01,,,,,stage_a,missing_or_infeasible,1,200,0
goeke_total_cap,vanilla,0,e2-vanilla-75c-01,,,,,stage_a,missing_or_infeasible,1,75,0
