battery_kwh,category,instance,manifest_num_cv,manifest_num_ev,raw_num_cv,raw_num_ev,size,winner_composition,winner_cv_over_manifest,winner_cv_route_count,winner_ev_over_manifest,winner_ev_route_count,winner_ev_route_share,winner_route_count,winner_total_over_manifest_sum
60.0,multidepot,e2-multidepot-100c-01,7,7,7,7,100,balanced_mixed,True,16,True,17,0.5151515151515151,33,True
60.0,multidepot,e2-multidepot-150c-01,10,10,10,10,150,all_cv,True,48,False,0,0.0,48,True
60.0,multidepot,e2-multidepot-200c-01,14,14,14,14,200,balanced_mixed,True,21,True,48,0.6956521739130435,69,True
60.0,multidepot,e2-multidepot-75c-01,6,5,6,5,75,balanced_mixed,True,14,True,12,0.46153846153846156,26,True
60.0,threeshift,e2-threeshift-100c-01,7,7,7,7,100,balanced_mixed,True,20,True,11,0.3548387096774194,31,True
60.0,threeshift,e2-threeshift-150c-01,10,10,10,10,150,balanced_mixed,True,36,True,14,0.28,50,True
60.0,threeshift,e2-threeshift-200c-01,14,14,14,14,200,balanced_mixed,True,33,True,35,0.5147058823529411,68,True
60.0,threeshift,e2-threeshift-75c-01,6,5,6,5,75,all_cv,True,26,False,0,0.0,26,True
60.0,vanilla,e2-vanilla-100c-01,7,7,7,7,100,all_cv,True,32,False,0,0.0,32,True
60.0,vanilla,e2-vanilla-150c-01,10,10,10,10,150,all_cv,True,50,False,0,0.0,50,True
60.0,vanilla,e2-vanilla-200c-01,14,14,14,14,200,all_cv,True,67,False,0,0.0,67,True
60.0,vanilla,e2-vanilla-75c-01,6,5,6,5,75,all_cv,True,25,False,0,0.0,25,True
81.0,multidepot,e2-multidepot-100c-01,7,7,7,7,100,balanced_mixed,True,9,True,24,0.7272727272727273,33,True
81.0,multidepot,e2-multidepot-150c-01,10,10,10,10,150,balanced_mixed,True,13,True,39,0.75,52,True
81.0,multidepot,e2-multidepot-200c-01,14,14,14,14,200,all_cv,True,66,False,0,0.0,66,True
81.0,multidepot,e2-multidepot-75c-01,6,5,6,5,75,balanced_mixed,True,7,True,20,0.7407407407407407,27,True
81.0,threeshift,e2-threeshift-100c-01,7,7,7,7,100,balanced_mixed,True,10,True,23,0.696969696969697,33,True
81.0,threeshift,e2-threeshift-150c-01,10,10,10,10,150,balanced_mixed,True,12,True,40,0.7692307692307693,52,True
81.0,threeshift,e2-threeshift-200c-01,14,14,14,14,200,all_cv,True,64,False,0,0.0,64,True
81.0,threeshift,e2-threeshift-75c-01,6,5,6,5,75,all_cv,True,26,False,0,0.0,26,True
81.0,vanilla,e2-vanilla-100c-01,7,7,7,7,100,balanced_mixed,True,18,True,14,0.4375,32,True
81.0,vanilla,e2-vanilla-150c-01,10,10,10,10,150,balanced_mixed,True,13,True,40,0.7547169811320755,53,True
81.0,vanilla,e2-vanilla-200c-01,14,14,14,14,200,all_cv,True,67,False,0,0.0,67,True
81.0,vanilla,e2-vanilla-75c-01,6,5,6,5,75,all_cv,True,25,False,0,0.0,25,True
82.6,multidepot,e2-multidepot-100c-01,7,7,7,7,100,balanced_mixed,True,10,True,24,0.7058823529411765,34,True
82.6,multidepot,e2-multidepot-150c-01,10,10,10,10,150,all_cv,True,48,False,0,0.0,48,True
82.6,multidepot,e2-multidepot-200c-01,14,14,14,14,200,all_cv,True,66,False,0,0.0,66,True
82.6,multidepot,e2-multidepot-75c-01,6,5,6,5,75,balanced_mixed,True,8,True,19,0.7037037037037037,27,True
82.6,threeshift,e2-threeshift-100c-01,7,7,7,7,100,balanced_mixed,True,18,True,14,0.4375,32,True
82.6,threeshift,e2-threeshift-150c-01,10,10,10,10,150,balanced_mixed,True,14,True,40,0.7407407407407407,54,True
82.6,threeshift,e2-threeshift-200c-01,14,14,14,14,200,all_cv,True,64,False,0,0.0,64,True
82.6,threeshift,e2-threeshift-75c-01,6,5,6,5,75,all_cv,True,26,False,0,0.0,26,True
82.6,vanilla,e2-vanilla-100c-01,7,7,7,7,100,balanced_mixed,True,19,True,14,0.42424242424242425,33,True
82.6,vanilla,e2-vanilla-150c-01,10,10,10,10,150,balanced_mixed,True,12,True,42,0.7777777777777778,54,True
82.6,vanilla,e2-vanilla-200c-01,14,14,14,14,200,all_cv,True,67,False,0,0.0,67,True
82.6,vanilla,e2-vanilla-75c-01,6,5,6,5,75,all_cv,True,25,False,0,0.0,25,True
89.0,multidepot,e2-multidepot-100c-01,7,7,7,7,100,balanced_mixed,False,7,True,27,0.7941176470588235,34,True
89.0,multidepot,e2-multidepot-150c-01,10,10,10,10,150,all_cv,True,48,False,0,0.0,48,True
89.0,multidepot,e2-multidepot-200c-01,14,14,14,14,200,all_cv,True,66,False,0,0.0,66,True
89.0,multidepot,e2-multidepot-75c-01,6,5,6,5,75,ev_heavy_mixed,False,5,True,22,0.8148148148148148,27,True
89.0,threeshift,e2-threeshift-100c-01,7,7,7,7,100,balanced_mixed,True,22,True,8,0.26666666666666666,30,True
89.0,threeshift,e2-threeshift-150c-01,10,10,10,10,150,balanced_mixed,True,11,True,41,0.7884615384615384,52,True
89.0,threeshift,e2-threeshift-200c-01,14,14,14,14,200,all_cv,True,64,False,0,0.0,64,True
89.0,threeshift,e2-threeshift-75c-01,6,5,6,5,75,all_cv,True,26,False,0,0.0,26,True
89.0,vanilla,e2-vanilla-100c-01,7,7,7,7,100,balanced_mixed,True,18,True,14,0.4375,32,True
89.0,vanilla,e2-vanilla-150c-01,10,10,10,10,150,ev_heavy_mixed,False,8,True,44,0.8461538461538461,52,True
89.0,vanilla,e2-vanilla-200c-01,14,14,14,14,200,balanced_mixed,True,20,True,51,0.7183098591549296,71,True
89.0,vanilla,e2-vanilla-75c-01,6,5,6,5,75,balanced_mixed,True,13,True,13,0.5,26,True
100.0,multidepot,e2-multidepot-100c-01,7,7,7,7,100,balanced_mixed,True,8,True,25,0.7575757575757576,33,True
100.0,multidepot,e2-multidepot-150c-01,10,10,10,10,150,ev_heavy_mixed,False,5,True,46,0.9019607843137255,51,True
100.0,multidepot,e2-multidepot-200c-01,14,14,14,14,200,all_cv,True,66,False,0,0.0,66,True
100.0,multidepot,e2-multidepot-75c-01,6,5,6,5,75,balanced_mixed,False,6,True,22,0.7857142857142857,28,True
100.0,threeshift,e2-threeshift-100c-01,7,7,7,7,100,all_cv,True,31,False,0,0.0,31,True
100.0,threeshift,e2-threeshift-150c-01,10,10,10,10,150,ev_heavy_mixed,False,8,True,42,0.84,50,True
100.0,threeshift,e2-threeshift-200c-01,14,14,14,14,200,ev_heavy_mixed,False,6,True,61,0.9104477611940298,67,True
100.0,threeshift,e2-threeshift-75c-01,6,5,6,5,75,all_cv,True,26,False,0,0.0,26,True
100.0,vanilla,e2-vanilla-100c-01,7,7,7,7,100,balanced_mixed,True,12,True,22,0.6470588235294118,34,True
100.0,vanilla,e2-vanilla-150c-01,10,10,10,10,150,ev_heavy_mixed,False,7,True,44,0.8627450980392157,51,True
100.0,vanilla,e2-vanilla-200c-01,14,14,14,14,200,all_cv,True,67,False,0,0.0,67,True
100.0,vanilla,e2-vanilla-75c-01,6,5,6,5,75,balanced_mixed,True,11,True,16,0.5925925925925926,27,True
113.0,multidepot,e2-multidepot-100c-01,7,7,7,7,100,ev_heavy_mixed,False,4,True,29,0.8787878787878788,33,True
113.0,multidepot,e2-multidepot-150c-01,10,10,10,10,150,all_ev,False,0,True,53,1.0,53,True
113.0,multidepot,e2-multidepot-200c-01,14,14,14,14,200,ev_heavy_mixed,False,3,True,71,0.9594594594594594,74,True
113.0,multidepot,e2-multidepot-75c-01,6,5,6,5,75,ev_heavy_mixed,False,2,True,24,0.9230769230769231,26,True
113.0,threeshift,e2-threeshift-100c-01,7,7,7,7,100,ev_heavy_mixed,False,4,True,30,0.8823529411764706,34,True
113.0,threeshift,e2-threeshift-150c-01,10,10,10,10,150,ev_heavy_mixed,False,6,True,45,0.8823529411764706,51,True
113.0,threeshift,e2-threeshift-200c-01,14,14,14,14,200,ev_heavy_mixed,False,2,True,68,0.9714285714285714,70,True
113.0,threeshift,e2-threeshift-75c-01,6,5,6,5,75,all_cv,True,26,False,0,0.0,26,True
113.0,vanilla,e2-vanilla-100c-01,7,7,7,7,100,balanced_mixed,True,13,True,20,0.6060606060606061,33,True
113.0,vanilla,e2-vanilla-150c-01,10,10,10,10,150,all_ev,False,0,True,57,1.0,57,True
