cap_scenario,category,cv_shell_composition,cv_shell_cost,cv_shell_ev_customer_share,cv_shell_ev_demand_share,cv_shell_ev_distance_share,cv_shell_ev_route_share,free_mixed_composition,free_mixed_cost,free_mixed_ev_customer_share,free_mixed_ev_demand_share,free_mixed_ev_distance_share,free_mixed_ev_route_share,instance,max_cv,max_ev,no_feasible_statuses,phase,seed,size,source_class,winner_composition,winner_cv_route_count,winner_ev_customer_share,winner_ev_demand_share,winner_ev_distance_share,winner_ev_route_count,winner_ev_route_share,winner_route_count,winner_status,winner_total_cost,winner_variant
depot_scaled_cap,multidepot,,,,,,,,,,,,,e2-multidepot-100c-01,,,INIT_INFEASIBLE,stage_a,1,100,,,,,,,,,,NO_FEASIBLE_ROW,,
depot_scaled_cap,multidepot,,,,,,,,,,,,,e2-multidepot-150c-01,,,INIT_INFEASIBLE,stage_a,1,150,,,,,,,,,,NO_FEASIBLE_ROW,,
depot_scaled_cap,multidepot,,,,,,,,,,,,,e2-multidepot-200c-01,,,INIT_INFEASIBLE,stage_a,1,200,,,,,,,,,,NO_FEASIBLE_ROW,,
depot_scaled_cap,multidepot,,,,,,,,,,,,,e2-multidepot-75c-01,,,INIT_INFEASIBLE,stage_a,1,75,,,,,,,,,,NO_FEASIBLE_ROW,,
depot_scaled_cap,threeshift,,,,,,,,,,,,,e2-threeshift-100c-01,,,INIT_INFEASIBLE,stage_a,1,100,,,,,,,,,,NO_FEASIBLE_ROW,,
depot_scaled_cap,threeshift,,,,,,,,,,,,,e2-threeshift-150c-01,,,INIT_INFEASIBLE,stage_a,1,150,,,,,,,,,,NO_FEASIBLE_ROW,,
depot_scaled_cap,threeshift,,,,,,,,,,,,,e2-threeshift-200c-01,,,INIT_INFEASIBLE,stage_a,1,200,,,,,,,,,,NO_FEASIBLE_ROW,,
depot_scaled_cap,threeshift,,,,,,,,,,,,,e2-threeshift-75c-01,,,INIT_INFEASIBLE,stage_a,1,75,,,,,,,,,,NO_FEASIBLE_ROW,,
depot_scaled_cap,vanilla,,,,,,,,,,,,,e2-vanilla-100c-01,,,INIT_INFEASIBLE,stage_a,1,100,,,,,,,,,,NO_FEASIBLE_ROW,,
depot_scaled_cap,vanilla,,,,,,,,,,,,,e2-vanilla-150c-01,,,INIT_INFEASIBLE,stage_a,1,150,,,,,,,,,,NO_FEASIBLE_ROW,,
depot_scaled_cap,vanilla,,,,,,,,,,,,,e2-vanilla-200c-01,,,TIMEOUT,stage_a,1,200,,,,,,,,,,NO_FEASIBLE_ROW,,
depot_scaled_cap,vanilla,,,,,,,,,,,,,e2-vanilla-75c-01,,,INIT_INFEASIBLE,stage_a,1,75,,,,,,,,,,NO_FEASIBLE_ROW,,
goeke_ev_cap_only,multidepot,all_cv,5059.385878752753,0.0,0.0,0.0,0.0,balanced_mixed,5012.069792318614,0.2,0.2017721357217406,0.1919773366735521,0.21212121212121213,e2-multidepot-100c-01,1000000,7,,stage_a,1,100,source_backed_diagnostic,balanced_mixed,26,0.2,0.2017721357217406,0.1919773366735521,7,0.21212121212121213,33,OK,5012.069792318614,free_mixed
goeke_ev_cap_only,multidepot,all_cv,7270.566593981815,0.0,0.0,0.0,0.0,balanced_mixed,6870.75037105597,0.21333333333333335,0.21046895126473877,0.2846978561777409,0.2127659574468085,e2-multidepot-150c-01,1000000,10,,stage_a,1,150,source_backed_diagnostic,balanced_mixed,37,0.21333333333333335,0.21046895126473877,0.2846978561777409,10,0.2127659574468085,47,OK,6870.75037105597,free_mixed
goeke_ev_cap_only,multidepot,all_cv,9549.623080396133,0.0,0.0,0.0,0.0,cv_heavy_mixed,9762.203374578532,0.195,0.20348526021080368,0.2584279691025869,0.19718309859154928,e2-multidepot-200c-01,1000000,14,,stage_a,1,200,source_backed_diagnostic,all_cv,66,0.0,0.0,0.0,0,0.0,66,OK,9549.623080396133,cv_shell
goeke_ev_cap_only,multidepot,all_cv,4257.4366557039775,0.0,0.0,0.0,0.0,cv_heavy_mixed,4081.4659762465394,0.2,0.2001532483170051,0.18673705113614425,0.19230769230769232,e2-multidepot-75c-01,1000000,5,,stage_a,1,75,source_backed_diagnostic,cv_heavy_mixed,21,0.2,0.2001532483170051,0.18673705113614425,5,0.19230769230769232,26,OK,4081.4659762465394,free_mixed
goeke_ev_cap_only,threeshift,all_cv,5107.53757812103,0.0,0.0,0.0,0.0,balanced_mixed,4862.806657048771,0.21,0.23522123096332342,0.25797571007032594,0.23333333333333334,e2-threeshift-100c-01,1000000,7,,stage_a,1,100,source_backed_diagnostic,balanced_mixed,23,0.21,0.23522123096332342,0.25797571007032594,7,0.23333333333333334,30,OK,4862.806657048771,free_mixed
goeke_ev_cap_only,threeshift,all_cv,8525.481461998606,0.0,0.0,0.0,0.0,balanced_mixed,7456.549464239839,0.2,0.20754477685554443,0.19622347166616433,0.2,e2-threeshift-150c-01,1000000,10,,stage_a,1,150,source_backed_diagnostic,balanced_mixed,40,0.2,0.20754477685554443,0.19622347166616433,10,0.2,50,OK,7456.549464239839,free_mixed
goeke_ev_cap_only,threeshift,all_cv,9537.791917774082,0.0,0.0,0.0,0.0,balanced_mixed,9309.568308266409,0.195,0.21145499666560988,0.12007374305390583,0.21875,e2-threeshift-200c-01,1000000,14,,stage_a,1,200,source_backed_diagnostic,balanced_mixed,50,0.195,0.21145499666560988,0.12007374305390583,14,0.21875,64,OK,9309.568308266409,free_mixed
goeke_ev_cap_only,threeshift,all_cv,3960.5538278976487,0.0,0.0,0.0,0.0,balanced_mixed,3629.547182039939,0.21333333333333335,0.20640274403315706,0.30566402501444867,0.20833333333333334,e2-threeshift-75c-01,1000000,5,,stage_a,1,75,source_backed_diagnostic,balanced_mixed,19,0.21333333333333335,0.20640274403315706,0.30566402501444867,5,0.20833333333333334,24,OK,3629.547182039939,free_mixed
goeke_ev_cap_only,vanilla,all_cv,5826.874187184658,0.0,0.0,0.0,0.0,balanced_mixed,5689.131661330765,0.18,0.19957826577775883,0.18371931918062995,0.21875,e2-vanilla-100c-01,1000000,7,,stage_a,1,100,source_backed_diagnostic,balanced_mixed,25,0.18,0.19957826577775883,0.18371931918062995,7,0.21875,32,OK,5689.131661330765,free_mixed
goeke_ev_cap_only,vanilla,all_cv,7592.641707650496,0.0,0.0,0.0,0.0,balanced_mixed,7289.825768515231,0.20666666666666667,0.20548643254490637,0.17234944522865303,0.20833333333333334,e2-vanilla-150c-01,1000000,10,,stage_a,1,150,source_backed_diagnostic,balanced_mixed,38,0.20666666666666667,0.20548643254490637,0.17234944522865303,10,0.20833333333333334,48,OK,7289.825768515231,free_mixed
goeke_ev_cap_only,vanilla,all_cv,11164.214856565932,0.0,0.0,0.0,0.0,balanced_mixed,11107.26718705865,0.225,0.21675312911725955,0.15196236044006203,0.208955223880597,e2-vanilla-200c-01,1000000,14,,stage_a,1,200,source_backed_diagnostic,balanced_mixed,53,0.225,0.21675312911725955,0.15196236044006203,14,0.208955223880597,67,OK,11107.26718705865,free_mixed
goeke_ev_cap_only,vanilla,all_cv,4668.631771653173,0.0,0.0,0.0,0.0,balanced_mixed,4477.702857135915,0.22666666666666666,0.20045427179683653,0.22408560115505316,0.2,e2-vanilla-75c-01,1000000,5,,stage_a,1,75,source_backed_diagnostic,balanced_mixed,20,0.22666666666666666,0.20045427179683653,0.22408560115505316,5,0.2,25,OK,4477.702857135915,free_mixed
goeke_total_cap,multidepot,,,,,,,,,,,,,e2-multidepot-100c-01,,,INIT_INFEASIBLE,stage_a,1,100,,,,,,,,,,NO_FEASIBLE_ROW,,
goeke_total_cap,multidepot,,,,,,,,,,,,,e2-multidepot-150c-01,,,INIT_INFEASIBLE,stage_a,1,150,,,,,,,,,,NO_FEASIBLE_ROW,,
goeke_total_cap,multidepot,,,,,,,,,,,,,e2-multidepot-200c-01,,,INIT_INFEASIBLE,stage_a,1,200,,,,,,,,,,NO_FEASIBLE_ROW,,
goeke_total_cap,multidepot,,,,,,,,,,,,,e2-multidepot-75c-01,,,INIT_INFEASIBLE,stage_a,1,75,,,,,,,,,,NO_FEASIBLE_ROW,,
goeke_total_cap,threeshift,,,,,,,,,,,,,e2-threeshift-100c-01,,,INIT_INFEASIBLE,stage_a,1,100,,,,,,,,,,NO_FEASIBLE_ROW,,
goeke_total_cap,threeshift,,,,,,,,,,,,,e2-threeshift-150c-01,,,INIT_INFEASIBLE,stage_a,1,150,,,,,,,,,,NO_FEASIBLE_ROW,,
goeke_total_cap,threeshift,,,,,,,,,,,,,e2-threeshift-200c-01,,,INIT_INFEASIBLE,stage_a,1,200,,,,,,,,,,NO_FEASIBLE_ROW,,
goeke_total_cap,threeshift,,,,,,,,,,,,,e2-threeshift-75c-01,,,INIT_INFEASIBLE,stage_a,1,75,,,,,,,,,,NO_FEASIBLE_ROW,,
goeke_total_cap,vanilla,,,,,,,,,,,,,e2-vanilla-100c-01,,,INIT_INFEASIBLE,stage_a,1,100,,,,,,,,,,NO_FEASIBLE_ROW,,
goeke_total_cap,vanilla,,,,,,,,,,,,,e2-vanilla-150c-01,,,INIT_INFEASIBLE,stage_a,1,150,,,,,,,,,,NO_FEASIBLE_ROW,,
goeke_total_cap,vanilla,,,,,,,,,,,,,e2-vanilla-200c-01,,,TIMEOUT,stage_a,1,200,,,,,,,,,,NO_FEASIBLE_ROW,,
goeke_total_cap,vanilla,,,,,,,,,,,,,e2-vanilla-75c-01,,,INIT_INFEASIBLE,stage_a,1,75,,,,,,,,,,NO_FEASIBLE_ROW,,
