all_cv_count,all_ev_count,balanced_count,cap_scenario,category,cv_heavy_count,ev_heavy_count,expected_winner_rows,fake_balance_flag,mean_ev_customer_share,mean_ev_demand_share,mean_ev_distance_share,mean_ev_route_share,missing_or_infeasible_winner_rows,phase,route_share_in_practical_band,size,winner_count
0,0,0,depot_scaled_cap,multidepot,0,0,1,False,,,,,1,stage_a,False,75,0
0,0,0,depot_scaled_cap,multidepot,0,0,1,False,,,,,1,stage_a,False,100,0
0,0,0,depot_scaled_cap,multidepot,0,0,1,False,,,,,1,stage_a,False,150,0
0,0,0,depot_scaled_cap,multidepot,0,0,1,False,,,,,1,stage_a,False,200,0
0,0,0,depot_scaled_cap,threeshift,0,0,1,False,,,,,1,stage_a,False,75,0
0,0,0,depot_scaled_cap,threeshift,0,0,1,False,,,,,1,stage_a,False,100,0
0,0,0,depot_scaled_cap,threeshift,0,0,1,False,,,,,1,stage_a,False,150,0
0,0,0,depot_scaled_cap,threeshift,0,0,1,False,,,,,1,stage_a,False,200,0
0,0,0,depot_scaled_cap,vanilla,0,0,1,False,,,,,1,stage_a,False,75,0
0,0,0,depot_scaled_cap,vanilla,0,0,1,False,,,,,1,stage_a,False,100,0
0,0,0,depot_scaled_cap,vanilla,0,0,1,False,,,,,1,stage_a,False,150,0
0,0,0,depot_scaled_cap,vanilla,0,0,1,False,,,,,1,stage_a,False,200,0
0,0,0,goeke_ev_cap_only,multidepot,1,0,1,False,0.2,0.2001532483170051,0.18673705113614425,0.19230769230769232,0,stage_a,False,75,1
0,0,1,goeke_ev_cap_only,multidepot,0,0,1,True,0.2,0.2017721357217406,0.1919773366735521,0.21212121212121213,0,stage_a,True,100,1
0,0,1,goeke_ev_cap_only,multidepot,0,0,1,False,0.21333333333333335,0.21046895126473877,0.2846978561777409,0.2127659574468085,0,stage_a,True,150,1
1,0,0,goeke_ev_cap_only,multidepot,0,0,1,False,0.0,0.0,0.0,0.0,0,stage_a,False,200,1
0,0,1,goeke_ev_cap_only,threeshift,0,0,1,False,0.21333333333333335,0.20640274403315706,0.30566402501444867,0.20833333333333334,0,stage_a,True,75,1
0,0,1,goeke_ev_cap_only,threeshift,0,0,1,False,0.21,0.23522123096332342,0.25797571007032594,0.23333333333333334,0,stage_a,True,100,1
0,0,1,goeke_ev_cap_only,threeshift,0,0,1,True,0.2,0.20754477685554443,0.19622347166616433,0.2,0,stage_a,True,150,1
0,0,1,goeke_ev_cap_only,threeshift,0,0,1,True,0.195,0.21145499666560988,0.12007374305390583,0.21875,0,stage_a,True,200,1
0,0,1,goeke_ev_cap_only,vanilla,0,0,1,False,0.22666666666666666,0.20045427179683653,0.22408560115505316,0.2,0,stage_a,True,75,1
0,0,1,goeke_ev_cap_only,vanilla,0,0,1,True,0.18,0.19957826577775883,0.18371931918062995,0.21875,0,stage_a,True,100,1
0,0,1,goeke_ev_cap_only,vanilla,0,0,1,True,0.20666666666666667,0.20548643254490637,0.17234944522865303,0.20833333333333334,0,stage_a,True,150,1
0,0,1,goeke_ev_cap_only,vanilla,0,0,1,True,0.225,0.21675312911725955,0.15196236044006203,0.208955223880597,0,stage_a,True,200,1
0,0,0,goeke_total_cap,multidepot,0,0,1,False,,,,,1,stage_a,False,75,0
0,0,0,goeke_total_cap,multidepot,0,0,1,False,,,,,1,stage_a,False,100,0
0,0,0,goeke_total_cap,multidepot,0,0,1,False,,,,,1,stage_a,False,150,0
0,0,0,goeke_total_cap,multidepot,0,0,1,False,,,,,1,stage_a,False,200,0
0,0,0,goeke_total_cap,threeshift,0,0,1,False,,,,,1,stage_a,False,75,0
0,0,0,goeke_total_cap,threeshift,0,0,1,False,,,,,1,stage_a,False,100,0
0,0,0,goeke_total_cap,threeshift,0,0,1,False,,,,,1,stage_a,False,150,0
0,0,0,goeke_total_cap,threeshift,0,0,1,False,,,,,1,stage_a,False,200,0
0,0,0,goeke_total_cap,vanilla,0,0,1,False,,,,,1,stage_a,False,75,0
0,0,0,goeke_total_cap,vanilla,0,0,1,False,,,,,1,stage_a,False,100,0
0,0,0,goeke_total_cap,vanilla,0,0,1,False,,,,,1,stage_a,False,150,0
0,0,0,goeke_total_cap,vanilla,0,0,1,False,,,,,1,stage_a,False,200,0
