all_cv_winner_count,all_ev_winner_count,balanced_winner_count,cap_scenario,cv_heavy_winner_count,ev_heavy_winner_count,expected_winner_rows,fake_balance_bucket_count,instance_majority_fail_count,instance_majority_pass_count,max_ev_route_share,mean_ev_customer_share,mean_ev_demand_share,mean_ev_distance_share,mean_ev_route_share,min_ev_route_share,phase,raw_cap_violation_rows,raw_init_infeasible_rows,raw_ok_rows,raw_rows,raw_timeout_error_rows,scale_bucket_count,scale_bucket_fail_count,scale_bucket_pass_count,scenario_stage_status,source_class,total_instances,winner_count
0,0,0,depot_scaled_cap,0,0,12,0,12,0,,,,,,,stage_a,0,33,0,36,3,12,12,0,incomplete,diagnostic_only,12,0
1,0,10,goeke_ev_cap_only,1,0,12,6,8,4,0.23333333333333334,0.18916666666666668,0.19127418192149004,0.18962215998305668,0.19280417381302584,0.0,stage_a,0,11,24,36,1,12,2,10,fail,source_backed,12,12
0,0,0,goeke_total_cap,0,0,12,0,12,0,,,,,,,stage_a,0,33,0,36,3,12,12,0,incomplete,source_backed,12,0
