cap_scenario,category,composition,eval_budget,instance,phase,queue_status,run_status,runtime_cap_seconds,seed,total_cost,variant
goeke_total_cap,vanilla,infeasible,1000,e2-vanilla-75c-01,stage_a,terminal,INIT_INFEASIBLE,240.0,1,inf,free_mixed
goeke_total_cap,vanilla,infeasible,1000,e2-vanilla-75c-01,stage_a,terminal,INIT_INFEASIBLE,240.0,1,inf,cv_shell
goeke_total_cap,vanilla,infeasible,1000,e2-vanilla-75c-01,stage_a,terminal,INIT_INFEASIBLE,240.0,1,inf,ev_shell
goeke_total_cap,vanilla,infeasible,1000,e2-vanilla-100c-01,stage_a,terminal,INIT_INFEASIBLE,360.0,1,inf,free_mixed
goeke_total_cap,vanilla,infeasible,1000,e2-vanilla-100c-01,stage_a,terminal,INIT_INFEASIBLE,360.0,1,inf,cv_shell
goeke_total_cap,vanilla,infeasible,1000,e2-vanilla-100c-01,stage_a,terminal,INIT_INFEASIBLE,360.0,1,inf,ev_shell
goeke_total_cap,vanilla,infeasible,1000,e2-vanilla-150c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,free_mixed
goeke_total_cap,vanilla,infeasible,1000,e2-vanilla-150c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,cv_shell
goeke_total_cap,vanilla,infeasible,1000,e2-vanilla-150c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,ev_shell
goeke_total_cap,vanilla,timeout,1000,e2-vanilla-200c-01,stage_a,terminal,TIMEOUT,900.0,1,inf,free_mixed
goeke_total_cap,vanilla,timeout,1000,e2-vanilla-200c-01,stage_a,terminal,TIMEOUT,900.0,1,inf,cv_shell
goeke_total_cap,vanilla,timeout,1000,e2-vanilla-200c-01,stage_a,terminal,TIMEOUT,900.0,1,inf,ev_shell
goeke_total_cap,multidepot,infeasible,1000,e2-multidepot-75c-01,stage_a,terminal,INIT_INFEASIBLE,240.0,1,inf,free_mixed
goeke_total_cap,multidepot,infeasible,1000,e2-multidepot-75c-01,stage_a,terminal,INIT_INFEASIBLE,240.0,1,inf,cv_shell
goeke_total_cap,multidepot,infeasible,1000,e2-multidepot-75c-01,stage_a,terminal,INIT_INFEASIBLE,240.0,1,inf,ev_shell
goeke_total_cap,multidepot,infeasible,1000,e2-multidepot-100c-01,stage_a,terminal,INIT_INFEASIBLE,360.0,1,inf,free_mixed
goeke_total_cap,multidepot,infeasible,1000,e2-multidepot-100c-01,stage_a,terminal,INIT_INFEASIBLE,360.0,1,inf,cv_shell
goeke_total_cap,multidepot,infeasible,1000,e2-multidepot-100c-01,stage_a,terminal,INIT_INFEASIBLE,360.0,1,inf,ev_shell
goeke_total_cap,multidepot,infeasible,1000,e2-multidepot-150c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,free_mixed
goeke_total_cap,multidepot,infeasible,1000,e2-multidepot-150c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,cv_shell
goeke_total_cap,multidepot,infeasible,1000,e2-multidepot-150c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,ev_shell
goeke_total_cap,multidepot,infeasible,1000,e2-multidepot-200c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,free_mixed
goeke_total_cap,multidepot,infeasible,1000,e2-multidepot-200c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,cv_shell
goeke_total_cap,multidepot,infeasible,1000,e2-multidepot-200c-01,stage_a,terminal,INIT_INFEASIBLE,900.0,1,inf,ev_shell
goeke_total_cap,threeshift,infeasible,1000,e2-threeshift-75c-01,stage_a,terminal,INIT_INFEASIBLE,240.0,1,inf,free_mixed
goeke_total_cap,threeshift,infeasible,1000,e2-threeshift-75c-01,stage_a,terminal,INIT_INFEASIBLE,240.0,1,inf,cv_shell
