instance_id,routes,all_cv_feasible,all_cv_cost,sealed_cost,sealed_violations,sealed_ev_routes,sealed_station_charging_kwh,forced_maxev_cost,forced_maxev_violations,forced_maxev_ev_routes,forced_maxev_station_charging_kwh,forced_vs_sealed_pct,ev_feasible_routes,ev_route_feasible_rate,per_route_delta_min,per_route_delta_median,per_route_delta_max,per_route_negative_deltas,per_route_feasible_variants,forced_rejected_infeasible,all_cv_cost_fix,all_cv_cost_fuel,all_cv_cost_elec,all_cv_cost_carbon,all_cv_E_total,forced_cost_fix,forced_cost_fuel,forced_cost_elec,forced_cost_carbon,forced_E_total
cn-cy-100c-01-V2-LOCATIONS,18,True,5462.20106812375,5175.207397764388,0,4,0,5175.207397764388,0,4,0,0.0,4,0.2222222222222222,-92.86775800427677,-57.97436779360032,-35.66788473193992,12,12,0,3060.0,1317.1317323433875,0,35.66886606627785,475.45809205915555,3060.0,1021.8257137810111,48.204490406721334,29.614236857194264,394.75122443607387
cn-cy-100c-02-V2-LOCATIONS,16,True,4908.635560767924,4908.635560767924,0,0,0,4908.635560767924,0,0,0,0.0,0,0.0,,,,0,0,0,2720.0,1205.826148075108,0,32.65464387266606,435.2791771882972,2720.0,1205.826148075108,0,32.65464387266606,435.2791771882972
cn-cy-100c-03-V2-LOCATIONS,16,True,4858.987276371512,4793.265372366562,0,1,0,4793.265372366562,0,1,0,0.0,1,0.0625,-65.72190400495037,-45.307602875455814,-45.307602875455814,3,3,0,2720.0,1177.962246692767,0,31.900337517418517,425.2244403814785,2720.0,1111.6583817602282,9.582568139990771,30.172041113247566,402.1866317415031
cn-cy-10c-01-V2-LOCATIONS,2,True,645.1681691591924,560.9997483144829,0,1,0,560.9997483144829,0,1,0,0.0,1,0.5,-84.16842084470954,-67.80385931938758,-61.110788367714235,3,3,0,340.0,167.50950957647171,0,4.532014375008228,60.41074880042959,340.0,78.99606356313637,15.841939694049561,3.066607160773902,40.87719489168091
cn-cy-10c-02-V2-LOCATIONS,2,True,647.2193703672735,647.2193703672735,0,0,0,647.2193703672735,0,0,0,0.0,0,0.0,,,,0,0,0,340.0,167.29646859372247,0,4.526250494505403,60.333917548725715,340.0,167.29646859372247,0,4.526250494505403,60.333917548725715
cn-cy-10c-03-V2-LOCATIONS,2,True,672.3824651586395,672.3824651586395,0,0,0,672.3824651586395,0,0,0,0.0,0,0.0,,,,0,0,0,340.0,181.24372986301427,0,4.903597361105651,65.36386778333312,340.0,181.24372986301427,0,4.903597361105651,65.36386778333312
cn-cy-150c-01-V2-LOCATIONS,25,True,7468.066193650216,7355.363828810334,0,2,0,7355.363828810334,0,2,0,0.0,2,0.08,-57.05174468495807,-38.48017447637267,-38.13068326106895,6,6,0,4250.0,1770.594749357871,0,47.94983021974146,639.1606267627493,4250.0,1656.8831545072428,16.94206730296864,44.99068168996028,599.7158316443653
cn-cy-150c-02-V2-LOCATIONS,26,True,7822.984731933656,7662.37514566992,0,2,0,7662.37514566992,0,2,0,0.0,2,0.07692307692307693,-96.97596368543691,-67.50307927577069,-43.68690613809122,6,6,0,4420.0,1874.7662684071904,0,50.76739269539778,676.718111109008,4420.0,1709.2476179079677,27.1377754866052,47.39774263032848,631.801421358684
cn-cy-150c-03-V2-LOCATIONS,24,True,7343.359280630915,7343.359280630915,0,0,0,7343.359280630915,0,0,0,0.0,0,0.0,,,,0,0,0,4080.0,1797.3747506831219,0,48.67342760291988,648.8060197669938,4080.0,1797.3747506831219,0,48.67342760291988,648.8060197669938
cn-cy-15c-01-V2-LOCATIONS,3,True,974.1468077704376,891.0364458644272,0,1,0,891.0364458644272,0,1,0,0.0,1,0.3333333333333333,-83.11036190601044,-74.10401033070059,-67.45673311022733,3,3,0,510.0,254.45643436893744,0,6.884386571777891,91.76734966379486,510.0,167.5471137391102,15.157590359412183,5.421748079421308,72.27070220502942
cn-cy-15c-02-V2-LOCATIONS,3,True,1002.9856907890223,910.2743411972338,0,1,0,910.2743411972338,0,1,0,0.0,1,0.3333333333333333,-92.71134959178858,-83.72928650383506,-75.09404330130724,3,3,0,510.0,270.093041281169,0,7.307439134475743,97.4065467138862,510.0,172.9633095296732,17.047841477561075,5.680513043324005,75.71998191580919
cn-cy-15c-03-V2-LOCATIONS,3,True,1044.5649486817847,943.6940413805244,0,1,0,943.6940413805244,0,1,0,0.0,1,0.3333333333333333,-100.87090730126033,-91.89478540743755,-82.77326689052768,3,3,0,510.0,291.7440336933713,0,7.8932124979903655,105.21477603292942,510.0,187.14899366305718,17.51021481042325,6.091762620469468,81.20184778018485
cn-cy-200c-01-V2-LOCATIONS,32,True,9567.764571462794,9567.764571462794,0,0,0,9567.764571462794,0,0,0,0.0,0,0.0,,,,0,0,0,5440.0,2275.0008530450204,0,61.60489185360624,821.1795768275958,5440.0,2275.0008530450204,0,61.60489185360624,821.1795768275958
cn-cy-200c-02-V2-LOCATIONS,32,True,9563.702106004608,9563.702106004608,0,0,0,9563.702106004608,0,0,0,0.0,0,0.0,,,,0,0,0,5440.0,2269.303116517814,0,61.45040056465812,819.1202421308733,5440.0,2269.303116517814,0,61.45040056465812,819.1202421308733
cn-cy-200c-03-V2-LOCATIONS,33,True,9839.869279263292,9839.869279263292,0,0,0,9839.869279263292,0,0,0,0.0,0,0.0,,,,0,0,0,5610.0,2328.3271180031556,0,63.047637165837976,840.4110525971471,5610.0,2328.3271180031556,0,63.047637165837976,840.4110525971471
cn-cy-20c-01-V2-LOCATIONS,4,True,1289.7014778623466,1207.8935410579593,0,1,0,1207.8935410579593,0,1,0,0.0,1,0.25,-81.80793680438728,-72.78718168796195,-67.31880660901766,3,3,0,680.0,334.07997330722134,0,9.038622614673068,120.48283943845732,680.0,249.39532954440983,14.036635015442915,7.569619775673697,100.90135664721004
cn-cy-20c-02-V2-LOCATIONS,4,True,1307.2477045269466,1219.9636463183404,0,1,0,1219.9636463183404,0,1,0,0.0,1,0.25,-87.28405820860621,-70.6062518449944,-60.839365226393284,3,3,0,680.0,343.6789950208435,0,9.298326702531384,123.94463746376144,680.0,252.08496782860772,16.143471593982518,7.767476153084728,103.53873837756235
cn-cy-20c-03-V2-LOCATIONS,4,True,1312.2698168761735,1226.8506051718323,0,1,0,1226.8506051718323,0,1,0,0.0,1,0.25,-85.41921170434125,-54.54039551126925,-54.523952604758506,3,3,0,680.0,346.7396307650014,0,9.381133017374394,125.0484273177072,680.0,257.7265554968086,15.18164936609603,7.863005319097435,104.81212102235983
