instance_id,route_index,depot_id,customers,distance_m,load_kg,ev_feasible,best_delta
cn-cy-100c-01-V2-LOCATIONS,6,D_chengdu,4,55705.797,972.0,True,-53.48839635940476
cn-cy-100c-01-V2-LOCATIONS,7,D_chengdu,4,61737.884,973.0,True,-58.627749193789896
cn-cy-100c-01-V2-LOCATIONS,16,D_chongqing,3,90340.823,972.0,True,-82.00976680189433
cn-cy-100c-01-V2-LOCATIONS,17,D_chongqing,5,99829.25,973.0,True,-92.86775800427677
cn-cy-100c-03-V2-LOCATIONS,6,D_chengdu,5,66111.916,903.0,True,-65.72190400495037
cn-cy-10c-01-V2-LOCATIONS,1,D_chongqing,4,91195.521,972.0,True,-84.16842084470954
cn-cy-150c-01-V2-LOCATIONS,9,D_chengdu,4,60316.477,972.0,True,-57.05174468495807
cn-cy-150c-01-V2-LOCATIONS,10,D_chengdu,4,57626.149,973.0,True,-55.65062015492549
cn-cy-150c-02-V2-LOCATIONS,18,D_chongqing,4,104244.843,972.0,True,-96.97596368543691
cn-cy-150c-02-V2-LOCATIONS,24,D_chengdu,5,67201.167,903.0,True,-63.633622578298855
cn-cy-15c-01-V2-LOCATIONS,2,D_chongqing,4,89963.574,972.0,True,-83.11036190601044
cn-cy-15c-02-V2-LOCATIONS,2,D_chongqing,4,100023.029,973.0,True,-92.71134959178858
cn-cy-15c-03-V2-LOCATIONS,1,D_chongqing,5,108951.202,971.0,True,-100.87090730126033
cn-cy-20c-01-V2-LOCATIONS,3,D_chongqing,5,88099.32,973.0,True,-81.80793680438728
cn-cy-20c-02-V2-LOCATIONS,3,D_chongqing,4,93660.473,971.0,True,-87.28405820860621
cn-cy-20c-03-V2-LOCATIONS,3,D_chongqing,4,91542.346,972.0,True,-85.41921170434125
cn-cy-25c-01-V2-LOCATIONS,3,D_chongqing,5,100115.235,973.0,True,-92.1382434579541
cn-cy-25c-03-V2-LOCATIONS,3,D_chongqing,4,90701.887,972.0,True,-83.75274392151914
cn-cy-25c-03-V2-LOCATIONS,4,D_chongqing,3,105179.922,973.0,True,-97.55224602907288
cn-cy-50c-01-V2-LOCATIONS,3,D_chengdu,5,67160.498,972.0,True,-63.626402418582074
cn-cy-50c-01-V2-LOCATIONS,8,D_chongqing,6,103326.898,973.0,True,-95.49182600993572
cn-cy-50c-02-V2-LOCATIONS,3,D_chengdu,5,64842.493,903.0,True,-61.27431590859669
cn-cy-50c-02-V2-LOCATIONS,7,D_chongqing,4,97638.834,972.0,True,-90.30567046043507
cn-cy-50c-02-V2-LOCATIONS,8,D_chongqing,4,102568.708,973.0,True,-93.49614517430109
cn-cy-50c-03-V2-LOCATIONS,3,D_chengdu,5,65445.73,972.0,True,-61.406737529129714
cn-cy-75c-01-V2-LOCATIONS,4,D_chengdu,5,71387.462,972.0,True,-69.16245065891326
cn-cy-75c-01-V2-LOCATIONS,11,D_chongqing,5,109947.736,972.0,True,-107.0832564794182
cn-cy-75c-02-V2-LOCATIONS,5,D_chengdu,4,68415.097,973.0,True,-66.26041441304324
cn-cy-75c-02-V2-LOCATIONS,12,D_chongqing,5,144368.049,972.0,True,-132.46391979243344
