instance_id,sealed_cost,probe_cost,gain_cny,gain_pct,split_attempts,complete_evaluations,accepted_splits,best_split_delta_cny,final_violations,probe_n_veh_cv,probe_n_veh_ev
cn-prd-150c-03-V2-LOCATIONS,6802.399778859607,6802.399778859607,0.0,0.0,11,11,0,162.9322,0,22,1
cn-prd-15c-01-V2-LOCATIONS,787.2819935020146,787.2819935020146,0.0,0.0,0,0,0,,0,2,1
cn-prd-15c-02-V2-LOCATIONS,766.6803387806436,766.6803387806436,0.0,0.0,0,0,0,,0,2,1
cn-prd-15c-03-V2-LOCATIONS,774.2448575122603,774.2448575122603,0.0,0.0,0,0,0,,0,2,1
cn-prd-200c-01-V2-LOCATIONS,9619.350720807923,9619.350720807923,0.0,0.0,33,33,0,164.8509,0,32,1
cn-prd-200c-02-V2-LOCATIONS,9934.809498400024,9934.809498400024,0.0,0.0,32,32,0,166.1409,0,33,1
cn-prd-200c-03-V2-LOCATIONS,10001.533906631263,10001.533906631263,0.0,0.0,31,31,0,160.7836,0,32,3
cn-prd-20c-01-V2-LOCATIONS,1031.6270367212462,1031.6270367212462,0.0,0.0,0,0,0,,0,3,1
cn-prd-20c-02-V2-LOCATIONS,1033.3991542735002,1033.3991542735002,0.0,0.0,0,0,0,,0,3,1
cn-prd-20c-03-V2-LOCATIONS,1046.9299381401734,1046.9299381401734,0.0,0.0,0,0,0,,0,3,1
cn-prd-25c-01-V2-LOCATIONS,1125.4666756178794,1125.4666756178794,0.0,0.0,6,6,0,160.1251,0,4,0
cn-prd-25c-02-V2-LOCATIONS,1272.9961360850173,1272.9961360850173,0.0,0.0,0,0,0,,0,3,2
cn-prd-25c-03-V2-LOCATIONS,1140.5569045915854,1140.5569045915854,0.0,0.0,6,6,0,166.346,0,4,0
cn-prd-50c-01-V2-LOCATIONS,2393.8185755222853,2393.8185755222853,0.0,0.0,0,0,0,,0,6,3
cn-prd-50c-02-V2-LOCATIONS,2466.646903780146,2466.646903780146,0.0,0.0,0,0,0,,0,7,2
cn-prd-50c-03-V2-LOCATIONS,2512.9322491171747,2512.9322491171747,0.0,0.0,0,0,0,,0,8,1
cn-prd-75c-01-V2-LOCATIONS,3597.6729563569675,3597.6729563569675,0.0,0.0,8,8,0,180.8189,0,12,1
cn-prd-75c-02-V2-LOCATIONS,3653.520165611266,3653.520165611266,0.0,0.0,11,11,0,169.7387,0,12,1
cn-prd-75c-03-V2-LOCATIONS,3935.78265565653,3935.78265565653,0.0,0.0,9,9,0,177.4629,0,13,1
