instance_id,route_index,depot_id,label,status,reason,delta_vs_all_cv,station_charging_kwh
cn-cy-100c-01-V2-LOCATIONS,0,D_chengdu,ev_integrated,INFEASIBLE,CAPACITY,,
cn-cy-100c-01-V2-LOCATIONS,0,D_chengdu,ev_low_carbon,INFEASIBLE,CAPACITY,,
cn-cy-100c-01-V2-LOCATIONS,0,D_chengdu,ev_immediate,INFEASIBLE,CAPACITY,,
cn-cy-100c-01-V2-LOCATIONS,1,D_chengdu,ev_integrated,INFEASIBLE,CAPACITY,,
cn-cy-100c-01-V2-LOCATIONS,1,D_chengdu,ev_low_carbon,INFEASIBLE,CAPACITY,,
cn-cy-100c-01-V2-LOCATIONS,1,D_chengdu,ev_immediate,INFEASIBLE,CAPACITY,,
cn-cy-100c-01-V2-LOCATIONS,2,D_chengdu,ev_integrated,INFEASIBLE,CAPACITY,,
cn-cy-100c-01-V2-LOCATIONS,2,D_chengdu,ev_low_carbon,INFEASIBLE,CAPACITY,,
cn-cy-100c-01-V2-LOCATIONS,2,D_chengdu,ev_immediate,INFEASIBLE,CAPACITY,,
cn-cy-100c-01-V2-LOCATIONS,3,D_chengdu,ev_integrated,INFEASIBLE,CAPACITY,,
cn-cy-100c-01-V2-LOCATIONS,3,D_chengdu,ev_low_carbon,INFEASIBLE,CAPACITY,,
cn-cy-100c-01-V2-LOCATIONS,3,D_chengdu,ev_immediate,INFEASIBLE,CAPACITY,,
cn-cy-100c-01-V2-LOCATIONS,4,D_chengdu,ev_integrated,INFEASIBLE,CAPACITY,,
cn-cy-100c-01-V2-LOCATIONS,4,D_chengdu,ev_low_carbon,INFEASIBLE,CAPACITY,,
cn-cy-100c-01-V2-LOCATIONS,4,D_chengdu,ev_immediate,INFEASIBLE,CAPACITY,,
cn-cy-100c-01-V2-LOCATIONS,5,D_chengdu,ev_integrated,INFEASIBLE,CAPACITY,,
cn-cy-100c-01-V2-LOCATIONS,5,D_chengdu,ev_low_carbon,INFEASIBLE,CAPACITY,,
cn-cy-100c-01-V2-LOCATIONS,5,D_chengdu,ev_immediate,INFEASIBLE,CAPACITY,,
cn-cy-100c-01-V2-LOCATIONS,6,D_chengdu,ev_integrated,FEASIBLE,,-35.66788473193992,0
cn-cy-100c-01-V2-LOCATIONS,6,D_chengdu,ev_low_carbon,FEASIBLE,,-35.66788473193992,0
cn-cy-100c-01-V2-LOCATIONS,6,D_chengdu,ev_immediate,FEASIBLE,,-53.48839635940476,0
cn-cy-100c-01-V2-LOCATIONS,7,D_chengdu,ev_integrated,FEASIBLE,,-39.701529897155524,0
cn-cy-100c-01-V2-LOCATIONS,7,D_chengdu,ev_low_carbon,FEASIBLE,,-39.701529897155524,0
cn-cy-100c-01-V2-LOCATIONS,7,D_chengdu,ev_immediate,FEASIBLE,,-58.627749193789896,0
cn-cy-100c-01-V2-LOCATIONS,8,D_chongqing,ev_integrated,INFEASIBLE,CAPACITY,,
cn-cy-100c-01-V2-LOCATIONS,8,D_chongqing,ev_low_carbon,INFEASIBLE,CAPACITY,,
cn-cy-100c-01-V2-LOCATIONS,8,D_chongqing,ev_immediate,INFEASIBLE,CAPACITY,,
cn-cy-100c-01-V2-LOCATIONS,9,D_chongqing,ev_integrated,INFEASIBLE,CAPACITY,,
cn-cy-100c-01-V2-LOCATIONS,9,D_chongqing,ev_low_carbon,INFEASIBLE,CAPACITY,,
