instance_id,route_index,split_position,delta_vs_current
cn-cy-100c-02-V2-LOCATIONS,0,2,181.31377
cn-cy-100c-02-V2-LOCATIONS,1,3,184.986042
cn-cy-100c-02-V2-LOCATIONS,1,4,189.122836
cn-cy-100c-02-V2-LOCATIONS,1,5,190.139794
cn-cy-100c-02-V2-LOCATIONS,3,4,194.231284
cn-cy-100c-02-V2-LOCATIONS,4,2,186.600242
cn-cy-100c-02-V2-LOCATIONS,4,3,188.983551
cn-cy-100c-02-V2-LOCATIONS,5,3,177.449771
cn-cy-100c-02-V2-LOCATIONS,6,3,189.941889
cn-cy-100c-02-V2-LOCATIONS,7,2,186.608565
cn-cy-100c-02-V2-LOCATIONS,8,3,153.164305
cn-cy-100c-02-V2-LOCATIONS,8,4,144.448944
cn-cy-100c-02-V2-LOCATIONS,9,3,180.425427
cn-cy-100c-02-V2-LOCATIONS,10,3,174.179334
cn-cy-100c-02-V2-LOCATIONS,11,2,204.048984
cn-cy-100c-02-V2-LOCATIONS,11,3,203.983129
cn-cy-100c-02-V2-LOCATIONS,11,4,203.876843
cn-cy-100c-02-V2-LOCATIONS,14,4,200.136857
cn-cy-100c-02-V2-LOCATIONS,15,4,190.995256
cn-cy-100c-03-V2-LOCATIONS,7,2,185.263648
cn-cy-100c-03-V2-LOCATIONS,7,3,195.083307
cn-cy-100c-03-V2-LOCATIONS,8,3,185.629805
cn-cy-100c-03-V2-LOCATIONS,8,4,186.926171
cn-cy-100c-03-V2-LOCATIONS,9,4,194.277485
cn-cy-100c-03-V2-LOCATIONS,10,2,199.889889
cn-cy-100c-03-V2-LOCATIONS,11,4,197.081971
cn-cy-100c-03-V2-LOCATIONS,11,5,197.320143
cn-cy-100c-03-V2-LOCATIONS,12,4,197.492721
cn-cy-100c-03-V2-LOCATIONS,13,3,192.736152
cn-cy-100c-03-V2-LOCATIONS,14,3,207.797208
cn-cy-150c-01-V2-LOCATIONS,11,4,168.200965
cn-cy-150c-01-V2-LOCATIONS,12,5,205.05518
cn-cy-150c-01-V2-LOCATIONS,13,3,190.785316
cn-cy-150c-01-V2-LOCATIONS,14,3,205.779691
cn-cy-150c-01-V2-LOCATIONS,15,2,200.868531
cn-cy-150c-01-V2-LOCATIONS,15,3,202.174662
cn-cy-150c-01-V2-LOCATIONS,16,3,171.669525
cn-cy-150c-01-V2-LOCATIONS,17,3,207.432914
cn-cy-150c-01-V2-LOCATIONS,18,3,198.522747
cn-cy-150c-01-V2-LOCATIONS,19,2,187.255161
cn-cy-150c-01-V2-LOCATIONS,20,4,192.326269
cn-cy-150c-01-V2-LOCATIONS,22,3,208.674185
cn-cy-150c-01-V2-LOCATIONS,23,2,167.630567
cn-cy-150c-01-V2-LOCATIONS,23,3,182.175386
cn-cy-150c-01-V2-LOCATIONS,24,3,209.814115
cn-cy-150c-01-V2-LOCATIONS,24,4,203.884157
cn-cy-150c-02-V2-LOCATIONS,0,3,204.509386
cn-cy-150c-02-V2-LOCATIONS,1,2,199.648264
cn-cy-150c-02-V2-LOCATIONS,1,3,200.023761
cn-cy-150c-02-V2-LOCATIONS,2,3,206.807765
cn-cy-150c-02-V2-LOCATIONS,3,2,193.109237
cn-cy-150c-02-V2-LOCATIONS,4,2,187.914688
cn-cy-150c-02-V2-LOCATIONS,4,3,188.026934
cn-cy-150c-02-V2-LOCATIONS,6,3,204.646351
cn-cy-150c-02-V2-LOCATIONS,7,3,204.355257
cn-cy-150c-02-V2-LOCATIONS,8,3,205.027312
cn-cy-150c-02-V2-LOCATIONS,9,2,199.42749
cn-cy-150c-02-V2-LOCATIONS,9,3,203.37694
