instance_id,depot_id,routes,total_load_kg,mean_route_load_kg,capacity_utilisation_vs_cv,routes_already_under_ev_payload,ev_routes_in_sealed_solution,num_ev_slots,k_bound_by_capacity_slack,k_bound_final,additional_ev_routes_available
cn-cy-100c-01-V2-LOCATIONS,D_chengdu,8,12013.0,1501.625,0.86549,2,2,2,2,2,0
cn-cy-100c-01-V2-LOCATIONS,D_chongqing,10,15280.0,1528.0,0.880692,2,2,3,2,2,0
cn-cy-100c-02-V2-LOCATIONS,D_chengdu,7,11877.0,1696.714,0.977933,0,0,2,0,0,0
cn-cy-100c-02-V2-LOCATIONS,D_chongqing,9,15064.0,1673.778,0.964713,0,0,3,0,0,0
cn-cy-100c-03-V2-LOCATIONS,D_chengdu,7,10975.0,1567.857,0.903664,1,1,2,1,1,0
cn-cy-100c-03-V2-LOCATIONS,D_chongqing,9,14862.0,1651.333,0.951777,0,0,3,1,1,1
cn-cy-10c-01-V2-LOCATIONS,D_chongqing,2,2360.0,1180.0,0.680115,1,1,1,1,1,0
cn-cy-10c-02-V2-LOCATIONS,D_chongqing,2,2779.0,1389.5,0.800865,0,0,1,0,0,0
cn-cy-10c-03-V2-LOCATIONS,D_chongqing,2,2709.0,1354.5,0.780692,0,0,1,1,1,1
cn-cy-150c-01-V2-LOCATIONS,D_chengdu,11,17017.0,1547.0,0.891643,2,2,3,2,2,0
cn-cy-150c-01-V2-LOCATIONS,D_chongqing,14,23405.0,1671.786,0.963565,0,0,4,1,1,1
cn-cy-150c-02-V2-LOCATIONS,D_chengdu,11,17291.0,1571.909,0.905999,1,1,3,2,2,1
cn-cy-150c-02-V2-LOCATIONS,D_chongqing,15,24373.0,1624.867,0.936523,1,1,4,2,2,1
cn-cy-150c-03-V2-LOCATIONS,D_chengdu,10,17015.0,1701.5,0.980692,0,0,3,0,0,0
cn-cy-150c-03-V2-LOCATIONS,D_chongqing,14,23752.0,1696.571,0.977851,0,0,4,0,0,0
cn-cy-15c-01-V2-LOCATIONS,D_chongqing,3,3749.0,1249.667,0.720269,1,1,1,1,1,0
cn-cy-15c-02-V2-LOCATIONS,D_chongqing,3,3751.0,1250.333,0.720653,1,1,1,1,1,0
cn-cy-15c-03-V2-LOCATIONS,D_chongqing,3,3610.0,1203.333,0.693564,1,1,1,2,1,0
cn-cy-200c-01-V2-LOCATIONS,D_chengdu,13,21463.0,1651.0,0.951585,0,0,4,1,1,1
cn-cy-200c-01-V2-LOCATIONS,D_chongqing,19,31742.0,1670.632,0.9629,0,0,5,1,1,1
cn-cy-200c-02-V2-LOCATIONS,D_chengdu,13,21601.0,1661.615,0.957703,0,0,4,1,1,1
cn-cy-200c-02-V2-LOCATIONS,D_chongqing,19,31668.0,1666.737,0.960655,0,0,5,1,1,1
cn-cy-200c-03-V2-LOCATIONS,D_chengdu,13,21806.0,1677.385,0.966792,0,0,4,1,1,1
cn-cy-200c-03-V2-LOCATIONS,D_chongqing,20,33205.0,1660.25,0.956916,0,0,6,2,2,2
cn-cy-20c-01-V2-LOCATIONS,D_chongqing,4,5487.0,1371.75,0.790634,1,1,1,1,1,0
cn-cy-20c-02-V2-LOCATIONS,D_chongqing,4,5139.0,1284.75,0.74049,1,1,1,2,1,0
cn-cy-20c-03-V2-LOCATIONS,D_chongqing,4,5417.0,1354.25,0.780548,1,1,1,2,1,0
cn-cy-25c-01-V2-LOCATIONS,D_chongqing,4,5971.0,1492.75,0.860375,1,1,1,1,1,0
cn-cy-25c-02-V2-LOCATIONS,D_chongqing,4,6806.0,1701.5,0.980692,0,0,2,0,0,0
cn-cy-25c-03-V2-LOCATIONS,D_chongqing,5,7083.0,1416.6,0.816484,2,2,2,2,2,0
cn-cy-50c-01-V2-LOCATIONS,D_chengdu,4,5834.0,1458.5,0.840634,1,1,1,1,1,0
cn-cy-50c-01-V2-LOCATIONS,D_chongqing,5,7432.0,1486.4,0.856715,1,1,2,1,1,0
cn-cy-50c-02-V2-LOCATIONS,D_chengdu,4,5417.0,1354.25,0.780548,1,1,1,2,1,0
cn-cy-50c-02-V2-LOCATIONS,D_chongqing,5,7150.0,1430.0,0.824207,2,2,2,2,2,0
cn-cy-50c-03-V2-LOCATIONS,D_chengdu,4,5833.0,1458.25,0.84049,1,1,1,1,1,0
cn-cy-50c-03-V2-LOCATIONS,D_chongqing,5,7987.0,1597.4,0.920692,0,0,2,0,0,0
