instance_id,seed,depot_id,base_all_cv_routes_Rd,num_cv,num_ev,total_fleet_cap,routes_used,cv_used,ev_used,cv_idle,ev_idle,total_idle,required_ev_by_completer
cn-cy-100c-03-V2-LOCATIONS,4,D_chongqing,10,10,3,13,9,9,0,1,3,4,0
cn-cy-100c-03-V2-LOCATIONS,5,D_chengdu,7,7,2,9,7,6,1,1,1,2,0
cn-cy-100c-03-V2-LOCATIONS,5,D_chongqing,10,10,3,13,9,9,0,1,3,4,0
cn-cy-10c-01-V2-LOCATIONS,1,D_chongqing,2,2,1,3,2,1,1,1,0,1,0
cn-cy-10c-01-V2-LOCATIONS,2,D_chongqing,2,2,1,3,2,1,1,1,0,1,0
cn-cy-10c-01-V2-LOCATIONS,3,D_chongqing,2,2,1,3,2,1,1,1,0,1,0
cn-cy-10c-01-V2-LOCATIONS,4,D_chongqing,2,2,1,3,2,1,1,1,0,1,0
cn-cy-10c-01-V2-LOCATIONS,5,D_chongqing,2,2,1,3,2,1,1,1,0,1,0
cn-cy-10c-02-V2-LOCATIONS,1,D_chongqing,2,2,1,3,2,2,0,0,1,1,0
cn-cy-10c-02-V2-LOCATIONS,2,D_chongqing,2,2,1,3,2,2,0,0,1,1,0
cn-cy-10c-02-V2-LOCATIONS,3,D_chongqing,2,2,1,3,2,2,0,0,1,1,0
cn-cy-10c-02-V2-LOCATIONS,4,D_chongqing,2,2,1,3,2,2,0,0,1,1,0
cn-cy-10c-02-V2-LOCATIONS,5,D_chongqing,2,2,1,3,2,2,0,0,1,1,0
cn-cy-10c-03-V2-LOCATIONS,1,D_chongqing,2,2,1,3,2,2,0,0,1,1,0
cn-cy-10c-03-V2-LOCATIONS,2,D_chongqing,2,2,1,3,2,2,0,0,1,1,0
cn-cy-10c-03-V2-LOCATIONS,3,D_chongqing,2,2,1,3,2,2,0,0,1,1,0
cn-cy-10c-03-V2-LOCATIONS,4,D_chongqing,2,2,1,3,2,2,0,0,1,1,0
cn-cy-10c-03-V2-LOCATIONS,5,D_chongqing,2,2,1,3,2,2,0,0,1,1,0
cn-cy-150c-01-V2-LOCATIONS,1,D_chengdu,11,11,3,14,11,9,2,2,1,3,0
cn-cy-150c-01-V2-LOCATIONS,1,D_chongqing,16,16,4,20,14,14,0,2,4,6,0
cn-cy-150c-01-V2-LOCATIONS,2,D_chengdu,11,11,3,14,11,9,2,2,1,3,0
cn-cy-150c-01-V2-LOCATIONS,2,D_chongqing,16,16,4,20,14,14,0,2,4,6,0
cn-cy-150c-01-V2-LOCATIONS,3,D_chengdu,11,11,3,14,11,9,2,2,1,3,0
cn-cy-150c-01-V2-LOCATIONS,3,D_chongqing,16,16,4,20,14,14,0,2,4,6,0
cn-cy-150c-01-V2-LOCATIONS,4,D_chengdu,11,11,3,14,11,9,2,2,1,3,0
cn-cy-150c-01-V2-LOCATIONS,4,D_chongqing,16,16,4,20,14,14,0,2,4,6,0
cn-cy-150c-01-V2-LOCATIONS,5,D_chengdu,11,11,3,14,11,9,2,2,1,3,0
cn-cy-150c-01-V2-LOCATIONS,5,D_chongqing,16,16,4,20,14,14,0,2,4,6,0
cn-cy-150c-02-V2-LOCATIONS,1,D_chengdu,11,11,3,14,11,10,1,1,2,3,0
cn-cy-150c-02-V2-LOCATIONS,1,D_chongqing,15,15,4,19,15,14,1,1,3,4,0
cn-cy-150c-02-V2-LOCATIONS,2,D_chengdu,11,11,3,14,11,9,2,2,1,3,0
cn-cy-150c-02-V2-LOCATIONS,2,D_chongqing,15,15,4,19,15,14,1,1,3,4,0
cn-cy-150c-02-V2-LOCATIONS,3,D_chengdu,11,11,3,14,11,9,2,2,1,3,0
cn-cy-150c-02-V2-LOCATIONS,3,D_chongqing,15,15,4,19,15,14,1,1,3,4,0
cn-cy-150c-02-V2-LOCATIONS,4,D_chengdu,11,11,3,14,11,10,1,1,2,3,0
cn-cy-150c-02-V2-LOCATIONS,4,D_chongqing,15,15,4,19,15,14,1,1,3,4,0
cn-cy-150c-02-V2-LOCATIONS,5,D_chengdu,11,11,3,14,11,10,1,1,2,3,0
cn-cy-150c-02-V2-LOCATIONS,5,D_chongqing,15,15,4,19,15,14,1,1,3,4,0
cn-cy-150c-03-V2-LOCATIONS,1,D_chengdu,11,11,3,14,10,10,0,1,3,4,0
cn-cy-150c-03-V2-LOCATIONS,1,D_chongqing,15,15,4,19,14,14,0,1,4,5,0
cn-cy-150c-03-V2-LOCATIONS,2,D_chengdu,11,11,3,14,11,9,2,2,1,3,0
