arm,stream_seed,target_stage,status,completed_stage_count,evaluations_per_stage,initial_continuation_feasible_at_target,executable_candidates_at_target,accepted_candidates_at_target,error
independent,2,11,HALT,10,800,,0,0,"stage search found no executable continuation (initial_feasible=False, changed=800, executable=0, accepted=0, top_rejections=[('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S11_OPEN_014', 189), ('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S11_OPEN_004', 106), ('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S11_OPEN_003', 72)])"
cooperative,3,24,HALT,23,800,,0,0,"stage search found no executable continuation (initial_feasible=False, changed=800, executable=0, accepted=0, top_rejections=[('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S24_OPEN_006', 109), ('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S24_OPEN_004', 88), ('E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S24_ADD_24', 76)])"
independent,3,24,PASS,24,800,True,205,205,
independent,5,20,PASS,20,800,True,84,50,
