instance,arm,seed,requested_iterations,iterations,runtime_seconds,cost,route_sha256,complete,feasible,completed_clients,total_clients,completed_delivery,total_delivery,no_duplicate_clients,compound_calls,compound_accepted_calls,compound_customer_calls,compound_customer_candidate_evaluations,compound_customer_joint_evaluations,compound_customer_moves_accepted,compound_customer_joint_only_accepted_moves,compound_route_slot_evaluations,compound_rotations_evaluated,compound_assignments_changed,compound_rotations_changed,compound_cache_hits,compound_cache_misses,compound_runtime_seconds
PR17B,full_customer_compound,11,1000,1000,121.12453908403404,4917629,78732e5aeaafcbc800644bbd52c709241a431eda5afb033415dab0f22bbd0b7d,True,True,360,360,4691000,4691000,True,327,219,327,2863371,2862425,99,99,25469208,190421614,251,27,12100594,13021694,100.99892112991074
PR18A,copied_loop,11,1000,1000,25.96439624996856,8519924,28ccec4ef2eadd6ff1480083ec6ce565c92afc18b2b8d03a248f805bc033c314,True,True,520,520,6838000,6838000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PR18A,route_only_compound,11,1000,1000,34.13096608297201,8575589,94d18a8482b59910e25cee2f9ed1e5f15be2b3ae7f684c7360875cec41361603,True,True,520,520,6838000,6838000,True,239,174,0,0,0,0,0,642540,323682,494,10,36426,27828,0.4493304220959544
PR18A,full_customer_compound,11,1000,1000,170.1340439580381,8531487,0c44e6f6e8d531b824488cbca116f773e0a5016d8dec6b3e9059c436543d98d5,True,True,520,520,6838000,6838000,True,230,230,230,3333825,3332983,71,71,31050648,206941282,455,15,14663692,15658982,135.59079953521723
PR18B,copied_loop,11,1000,1000,30.26148575003026,6627337,ff2d14678ac7d341e149a5e996b55504347116d2ccaa4ceb0a3c5af2e3a4706c,True,True,520,520,6830000,6830000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PR18B,route_only_compound,11,1000,1000,33.22643733298173,6692048,ab9dc960b1a5f6c0f6a460547ce18d2f7b889e9908ab9bc2843194f1727889a8,True,True,520,520,6830000,6830000,True,287,170,0,0,0,0,0,617004,418572,396,45,36300,32256,0.47733828029595315
PR18B,full_customer_compound,11,1000,1000,192.56576525000855,6655989,b0b14cf9fce0f7ebea123875b6e4de4f1ae7ed3c22a0471315e9eab2e509c699,True,True,520,520,6830000,6830000,True,333,341,333,3876049,3875088,145,145,38724216,283190483,388,39,18268126,19551194,157.96092465909896
PR19A,copied_loop,11,1000,1000,45.87549750000471,11124574,b5732d6bff3c9f021a99527f5fd455bdecef998b47b561029fcd68005f9b11d4,True,True,700,700,9137000,9137000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PR19A,route_only_compound,11,1000,1000,46.423144957982004,11071627,e03bb02eb97eff49144162d05de9fc43adcbdf1ddb5d0f40d181d8c46f3c9129,True,True,700,700,9137000,9137000,True,286,190,0,0,0,0,0,1313676,445020,530,0,62934,38118,0.5754888078663498
PR19A,full_customer_compound,11,1000,1000,269.53044912498444,11217632,0b9b89166fab711638d91ec0ccb782b34ef9b9fe1e8642fd8d876487de9deddc,True,True,700,700,9137000,9137000,True,265,292,265,4724519,4723814,126,126,39733074,256368838,494,0,18411533,19632781,216.1625235620304
PR19B,copied_loop,11,1000,1000,39.86142954201205,8422272,dccab4708773b91b6a1082461ba3f79b065f01306874be71fb811092d409b50c,True,True,700,700,8905000,8905000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PR19B,route_only_compound,11,1000,1000,44.246143832977396,8431183,78654fa25c923d39ff6471cbd298ff9272fadf1beccc5835529584d4eb6ad73a,True,True,700,700,8905000,8905000,True,332,177,0,0,0,0,0,1253088,517698,403,69,65322,39102,0.797054877737537
PR19B,full_customer_compound,11,1000,1000,216.88685591699323,8454731,c6c75f6e19d16afbf858b01853e86953721e6d4868cc13e82939dc37320b1901,True,True,700,700,8905000,8905000,True,255,301,255,3440011,3439492,140,140,34049284,246318522,402,63,15795301,16874781,162.79410145885777
PR20A,copied_loop,11,1000,1000,62.760579042020254,12365910,678930d6c3313e7223c999e9149394482f1f9ffd8f263128587e1d5c5037dab9,True,True,880,880,11112000,11112000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PR20A,route_only_compound,11,1000,1000,68.87851145799505,12364627,fcba48915e8286f36b42599b806804294461fbd0ff42acb63b77ea97a030c1ea,True,True,880,880,11112000,11112000,True,282,193,0,0,0,0,0,1989120,610668,528,3,72612,51708,0.894425529288128
PR20A,full_customer_compound,11,1000,1000,392.6009825000074,12262374,1b99afbd3c4b6999022d0d4ef55cabf1315832587b6dee65a7a231e8748324d1,True,True,880,880,11112000,11112000,True,273,311,273,5797119,5796363,133,133,55919927,366960767,442,3,25796943,27445124,312.16543196194107
PR20B,copied_loop,11,1000,1000,65.58519150002394,10573092,4ddff034b1e52864c322d3acb456c5ebbb50bfab591d7deac700e554514675da,True,True,880,880,11112000,11112000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PR20B,route_only_compound,11,1000,1000,72.62578787503298,10499966,726187eed0156aac524eef088cb831c7b4cbe1414c07ea3682383748bb36f586,True,True,880,880,11112000,11112000,True,285,186,0,0,0,0,0,1762560,587688,419,128,71148,46356,1.0710944078164175
PR20B,full_customer_compound,11,1000,1000,373.3699967499706,10600869,d585bfac0070204ff1bca0488136a887ff5729873dadd089cfea4d7288734a91,True,True,880,880,11112000,11112000,True,303,335,303,5466871,5466255,170,170,53506036,371703402,372,110,24586566,26189806,296.77577670116443
PR21A,copied_loop,11,1000,1000,22.594177333987318,6540984,d54d5b3c7d43f59be77153f67ec0c7a21aa4f707923622a2f7f15388f365f7fe,True,True,420,420,5299000,5299000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PR21A,route_only_compound,11,1000,1000,22.358778042020276,6536699,7e9a092e9a8219b10efecd06ab4bfb235f1297f0c64c446140db3f316b3ba4c9,True,True,420,420,5299000,5299000,True,256,171,0,0,0,0,0,456240,484476,572,2,72852,41208,0.405829714552965
PR21A,full_customer_compound,11,1000,1000,152.58045333297923,6550676,c562b8f8613efc65438b83ee8a40388dca85a00fee48877bad1520ffc5c5d904,True,True,420,420,5299000,5299000,True,254,220,254,2704392,2703875,85,85,33853178,227102306,419,0,16102975,17298763,125.99117183580529
PR21B,copied_loop,11,1000,1000,22.617426957993302,5044144,d49016dab8d6b7feff08e2216ff124cb9984c65921d1bd866f507d0d1fdea21f,True,True,420,420,5299000,5299000,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
PR21B,route_only_compound,11,1000,1000,26.648117958044168,5058713,074aaba61dc1729c175baa717408cad41a48a67a15f07d58cf6fea9f0c47986f,True,True,420,420,5299000,5299000,True,275,196,0,0,0,0,0,404400,634008,556,45,54756,46344,0.6492030344088562
PR21B,full_customer_compound,11,1000,1000,195.40531324996846,4994618,0d55eab71412616813c27cc1f432a927c87c7effc77d2cb0464f0644c6aeeb16,True,True,420,420,5299000,5299000,True,347,354,347,3211907,3210754,139,139,52358558,406129104,672,64,24960095,26856051,167.7810211572214
