check_id,status,detail
budget_split_80_280,PASS,
duplicate_and_infeasible_budget,PASS,
charging_station_excluded_from_customers,PASS,
whole_route_reassignment_effect,PASS,
bidirectional_cross_depot_effect,PASS,
vehicle_type_flip_effect,PASS,
charge_schedule_effect,PASS,
time_window_structure_effect,FAIL,AssertionError:
time_window_result_blind_diversity,PASS,
single_depot_cross_depot_operator_disabled,PASS,
dynamic_frozen_prefix_effect,PASS,
bidirectional_lineage,PASS,
cache_city_date_dynamic_identity,PASS,
