instance_id,region,experiment,arm,full_model_feasible,physical_feasible,full_violation_count,physical_violation_count,total_cost_cny,total_emissions_kg,electricity_cost_cny,carbon_cost_cny,used_cv,used_ev,customers_served,demand_served,route_signature,customer_order_signature,decision_signature,source_best_solution_sha256
cn-cy-50c-01-V2-LOCATIONS,cy,CHARGING_TIMING_FIXED_ROUTE_TYPE_AMOUNT,ASAP,True,True,0,0,2229.059111680795,186.9067902933914,23.375275994374775,14.021747407810222,5,2,50,13266.0,e1758b29f3b3d853d54b3a74b66a289e6c58dc26a20cbd92f29fa4062c3d9a90,1be0e59fc1a9e40ab8c5ca0cf859899b664c18eec8757ccfb4085e8e45ec9286,7b5fae0e87186348a016715f789c07372a407e795c08e356cf9a610d7e88f8d0,7f8d7b444cafb23762dfb3cdfce3681478c395799604761e3d50398405d2f2c0
cn-cy-50c-01-V2-LOCATIONS,cy,CHARGING_TIMING_FIXED_ROUTE_TYPE_AMOUNT,ELECTRICITY_COST_MIN,True,True,0,0,2229.0570660188396,186.87952207217833,23.375275994374768,14.01970174585482,5,2,50,13266.0,e1758b29f3b3d853d54b3a74b66a289e6c58dc26a20cbd92f29fa4062c3d9a90,1be0e59fc1a9e40ab8c5ca0cf859899b664c18eec8757ccfb4085e8e45ec9286,24c31c46c5c6656301fed2512dc02d3b2b416da578181ee721bda34121d811d6,7f8d7b444cafb23762dfb3cdfce3681478c395799604761e3d50398405d2f2c0
cn-cy-50c-01-V2-LOCATIONS,cy,CHARGING_TIMING_FIXED_ROUTE_TYPE_AMOUNT,COST_PLUS_CARBON,True,True,0,0,2228.952361544908,185.48383460308395,23.375275994374782,13.914997271923358,5,2,50,13266.0,e1758b29f3b3d853d54b3a74b66a289e6c58dc26a20cbd92f29fa4062c3d9a90,1be0e59fc1a9e40ab8c5ca0cf859899b664c18eec8757ccfb4085e8e45ec9286,a0ce22e0dd78ca932ccc6076fc4caefc20ce438538210a590751b0d794e65f01,7f8d7b444cafb23762dfb3cdfce3681478c395799604761e3d50398405d2f2c0
cn-cy-50c-01-V2-LOCATIONS,cy,FLEET_TYPE_FIXED_CUSTOMER_ORDER,REGISTERED_MIXED_FLEET,True,True,0,0,2228.952361544908,185.48383460308395,23.375275994374782,13.914997271923358,5,2,50,13266.0,e1758b29f3b3d853d54b3a74b66a289e6c58dc26a20cbd92f29fa4062c3d9a90,1be0e59fc1a9e40ab8c5ca0cf859899b664c18eec8757ccfb4085e8e45ec9286,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,7f8d7b444cafb23762dfb3cdfce3681478c395799604761e3d50398405d2f2c0
cn-cy-50c-01-V2-LOCATIONS,cy,FLEET_TYPE_FIXED_CUSTOMER_ORDER,ALL_CV_SAME_TRIPS,True,True,0,0,2420.893223662473,243.1586910617618,0.0,18.24176500345337,7,0,50,13266.0,a704fd680197ea60a2fd177d2665e4c24326a9d181c4c36f353766ef8daa012f,1be0e59fc1a9e40ab8c5ca0cf859899b664c18eec8757ccfb4085e8e45ec9286,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,7f8d7b444cafb23762dfb3cdfce3681478c395799604761e3d50398405d2f2c0
cn-jjj-50c-01-V2-LOCATIONS,jjj,CHARGING_TIMING_FIXED_ROUTE_TYPE_AMOUNT,ASAP,True,True,0,0,2173.126265200088,205.3133284988663,32.549710556076775,15.40260590398495,5,2,50,13264.0,6c0c2fb62e1fda7c49736b47d2d50dfa234c99c9737d15ba101d071b3c36e862,7ce2da7baa085659735862dbbcdfaa1962ba787b959868efc50df6411bc212c3,75091e5d33ffa17ac0330ebbd16e0ee17c662f8e57b0c4d5113d7601732b275f,6754632ff15893bfd522a01d4fc7e41aee3189476b2332d81595c30e7f32230f
cn-jjj-50c-01-V2-LOCATIONS,jjj,CHARGING_TIMING_FIXED_ROUTE_TYPE_AMOUNT,ELECTRICITY_COST_MIN,True,True,0,0,2173.0316472640084,204.0520923474461,32.54971055607677,15.307987967905406,5,2,50,13264.0,6c0c2fb62e1fda7c49736b47d2d50dfa234c99c9737d15ba101d071b3c36e862,7ce2da7baa085659735862dbbcdfaa1962ba787b959868efc50df6411bc212c3,353cbed91540091f71075d50ae674030105ca1c67211efcdce4ea3ef4836375f,6754632ff15893bfd522a01d4fc7e41aee3189476b2332d81595c30e7f32230f
cn-jjj-50c-01-V2-LOCATIONS,jjj,CHARGING_TIMING_FIXED_ROUTE_TYPE_AMOUNT,COST_PLUS_CARBON,True,True,0,0,2172.946570767111,202.91804146903485,32.54971055607762,15.222911471006995,5,2,50,13264.0,6c0c2fb62e1fda7c49736b47d2d50dfa234c99c9737d15ba101d071b3c36e862,7ce2da7baa085659735862dbbcdfaa1962ba787b959868efc50df6411bc212c3,088853d58922c722369bd509b140be5452d07a3708678028ad087e95d780f9a7,6754632ff15893bfd522a01d4fc7e41aee3189476b2332d81595c30e7f32230f
cn-jjj-50c-01-V2-LOCATIONS,jjj,FLEET_TYPE_FIXED_CUSTOMER_ORDER,REGISTERED_MIXED_FLEET,True,True,0,0,2172.946570767111,202.91804146903485,32.54971055607762,15.222911471006995,5,2,50,13264.0,6c0c2fb62e1fda7c49736b47d2d50dfa234c99c9737d15ba101d071b3c36e862,7ce2da7baa085659735862dbbcdfaa1962ba787b959868efc50df6411bc212c3,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,6754632ff15893bfd522a01d4fc7e41aee3189476b2332d81595c30e7f32230f
cn-jjj-50c-01-V2-LOCATIONS,jjj,FLEET_TYPE_FIXED_CUSTOMER_ORDER,ALL_CV_SAME_TRIPS,True,True,0,0,2360.793564752581,233.4625202969817,0.0,17.514358272679566,7,0,50,13264.0,9b1793bae084cd5840fea841c28437ac5ede3a5b58fd4fd76d5e0409ad881ce7,7ce2da7baa085659735862dbbcdfaa1962ba787b959868efc50df6411bc212c3,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,6754632ff15893bfd522a01d4fc7e41aee3189476b2332d81595c30e7f32230f
