update_index,policy_version,entropy
0,1,7.2609453201293945
1,2,7.332848072052002
2,3,7.261357545852661
3,4,7.196295976638794
4,5,7.352860689163208
5,6,7.341256380081177
6,7,7.264206409454346
7,8,7.331040859222412
8,9,7.323677062988281
9,10,7.321397542953491
10,11,7.33000922203064
11,12,7.290210008621216
12,13,7.333845376968384
13,14,7.2937726974487305
14,15,7.26387357711792
15,16,7.332261562347412
16,17,7.332002639770508
17,18,7.291799783706665
18,19,7.315868139266968
19,20,7.286602258682251
20,21,7.232273101806641
21,22,7.298746347427368
22,23,7.25398325920105
23,24,7.2874791622161865
24,25,7.27865195274353
25,26,7.290433406829834
26,27,7.2617127895355225
27,28,7.301518678665161
28,29,7.254687547683716
29,30,7.305974721908569
30,31,7.312756538391113
31,32,7.303896188735962
32,33,7.24996018409729
33,34,7.294276237487793
34,35,7.311984539031982
35,36,7.329397916793823
36,37,7.31226372718811
37,38,7.290118217468262
38,39,7.260776519775391
39,40,7.297978401184082
40,41,7.297708034515381
41,42,7.29596471786499
42,43,7.341484785079956
43,44,7.267807245254517
44,45,7.227921962738037
45,46,7.291539669036865
46,47,7.2831339836120605
47,48,7.248593330383301
48,49,7.299601078033447
49,50,7.3220648765563965
50,51,7.276273965835571
51,52,7.2634406089782715
52,53,7.323048114776611
53,54,7.3148627281188965
54,55,7.2527618408203125
55,56,7.282869577407837
56,57,7.2666847705841064
57,58,7.294961452484131
58,59,7.309626579284668
59,60,7.251864194869995
60,61,7.257094860076904
61,62,7.303463459014893
62,63,7.291987180709839
63,64,7.249894618988037
64,65,7.288620233535767
65,66,7.317251682281494
66,67,7.309886932373047
67,68,7.278836488723755
68,69,7.2820563316345215
69,70,7.29201078414917
70,71,7.307347059249878
71,72,7.295791149139404
72,73,7.278160095214844
73,74,7.284966707229614
74,75,7.321455955505371
75,76,7.251280784606934
76,77,7.3029115200042725
77,78,7.326008558273315
78,79,7.340292453765869
79,80,7.316663980484009
80,81,7.3275816440582275
81,82,7.277977228164673
82,83,7.306003570556641
83,84,7.280383586883545
84,85,7.311805248260498
85,86,7.2861621379852295
86,87,7.328265428543091
87,88,7.273751258850098
88,89,7.2997658252716064
89,90,7.278482675552368
90,91,7.288224697113037
91,92,7.3225531578063965
92,93,7.307708978652954
93,94,7.269205093383789
94,95,7.322778940200806
95,96,7.316627502441406
96,97,7.29152250289917
97,98,7.285807132720947
98,99,7.296562910079956
99,100,7.2816712856292725
100,101,7.308878660202026
101,102,7.26532506942749
102,103,7.2485270500183105
103,104,7.309861183166504
104,105,7.282284259796143
105,106,7.316417932510376
106,107,7.259344816207886
107,108,7.270118951797485
108,109,7.276365280151367
109,110,7.3145599365234375
110,111,7.25903058052063
111,112,7.279516220092773
112,113,7.330775022506714
113,114,7.301417112350464
114,115,7.341689109802246
115,116,7.262964725494385
116,117,7.290506839752197
117,118,7.292184352874756
118,119,7.292324066162109
119,120,7.308502912521362
120,121,7.245562553405762
121,122,7.337101459503174
122,123,7.328164339065552
123,124,7.295390367507935
124,125,7.2917821407318115
125,126,7.25081205368042
126,127,7.2939324378967285
127,128,7.272462606430054
128,129,7.248379230499268
129,130,7.255980014801025
130,131,7.3104493618011475
131,132,7.308636903762817
132,133,7.238111257553101
133,134,7.211183071136475
134,135,7.322935104370117
135,136,7.274779319763184
136,137,7.278946399688721
137,138,7.245155096054077
138,139,7.303231954574585
139,140,7.2950403690338135
140,141,7.2387635707855225
141,142,7.250006914138794
142,143,7.289113283157349
143,144,7.292710781097412
144,145,7.259169340133667
145,146,7.252399921417236
146,147,7.317452907562256
147,148,7.230215072631836
