episode_index,bundle,seed,policy_version,curriculum_phase,meta_mode,candidate_generator_mode,search_control_mode,accepted_for_update,candidate_generator_unique_count,candidate_generator_nondefault_count,search_control_unique_count,search_control_noncontinue_count,block_steps,reward_sum,reward_finite,best_obj,actual_evals,candidate_scores,repair_delta_count,violation_count,feasible,wall_time_seconds,worker_python_executable,worker_python_version,worker_numpy_version,pid,mask_invalid_rate_head_0,mask_invalid_rate_head_1,mask_invalid_rate_head_2,mask_invalid_rate_head_3,mask_invalid_rate_head_4,mask_invalid_rate_head_5,mask_invalid_rate_head_6
1,models/data_bundle/generated_instances/E-UK25_15__curric_d2_s3_seed2315_24h,3202,0,route,0,0,0,1,0,0,0,0,4,36.134684167259856,1,484.9253404712741,120,120,14737,0,1,4.4060000001918525,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,100508,0.25,0.0,0.2,0.0,0.0,0.0,0.0
5,models/data_bundle/generated_instances/E-UK25_14__curric_d2_s3_seed2314_24h,3206,0,route,0,0,0,1,0,0,0,0,4,14.084792696316727,1,614.1547996352256,120,120,16086,0,1,3.155999999959022,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,237808,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0
4,models/data_bundle/generated_instances/E-UK50_14__curric_d2_s3_seed2354_24h,3205,0,route,0,0,0,1,0,0,0,0,4,26.066633994607056,1,1044.0456708725349,120,120,13079,0,1,3.827999999979511,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,237120,0.35714285714285715,0.0,0.1,0.0,0.0,0.0,0.0
2,models/data_bundle/generated_instances/E-UK25_16__curric_d2_s3_seed2316_24h,3203,0,route,0,0,0,1,0,0,0,0,4,28.58112974901456,1,577.0829231172652,120,120,22398,0,1,6.906999999890104,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,233528,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0
0,models/data_bundle/generated_instances/E-UK25_14__curric_d2_s3_seed2314_24h,3201,0,route,0,0,0,1,0,0,0,0,4,24.785433145001488,1,574.01072440261,120,120,7898,0,1,4.437000000150874,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,235544,0.25,0.0,0.0,0.0,0.0,0.0,0.0
3,models/data_bundle/generated_instances/E-UK50_13__curric_d2_s3_seed2353_24h,3204,0,route,0,0,0,1,0,0,0,0,4,31.588909080017782,1,1214.6671173172656,120,120,74595,0,1,11.859000000171363,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,229792,0.2857142857142857,0.0,0.1,0.0,0.0,0.0,0.0
11,models/data_bundle/generated_instances/E-UK25_15__curric_d2_s3_seed2315_24h,3212,0,route,0,0,0,1,0,0,0,0,4,11.35915121497598,1,590.2716652054878,120,120,11261,0,1,2.422000000020489,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,229792,0.32142857142857145,0.0,0.1,0.0,0.0,0.0,0.0
6,models/data_bundle/generated_instances/E-UK25_15__curric_d2_s3_seed2315_24h,3207,0,route,0,0,0,1,0,0,0,0,4,11.661444783386726,1,588.7565718304512,120,120,14982,0,1,3.4379999998491257,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,237808,0.25,0.0,0.1,0.0,0.0,0.0,0.0
10,models/data_bundle/generated_instances/E-UK25_14__curric_d2_s3_seed2314_24h,3211,0,route,0,0,0,1,0,0,0,0,4,26.870985258904344,1,561.6792280544712,120,120,27033,0,1,3.625,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,233528,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0
7,models/data_bundle/generated_instances/E-UK25_16__curric_d2_s3_seed2316_24h,3208,0,route,0,0,0,1,0,0,0,0,4,28.50557046304253,1,573.982758161822,120,120,21860,0,1,6.25,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,235544,0.25,0.0,0.1,0.0,0.0,0.0,0.0
12,models/data_bundle/generated_instances/E-UK25_16__curric_d2_s3_seed2316_24h,3213,0,route,0,0,0,1,0,0,0,0,4,25.947445638777324,1,592.4617132616221,120,120,36234,0,1,4.311999999918044,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,229792,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0
15,models/data_bundle/generated_instances/E-UK25_14__curric_d2_s3_seed2314_24h,3216,0,route,0,0,0,1,0,0,0,0,4,27.266083740847115,1,560.1176703852169,120,120,13390,0,1,3.969000000040978,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,235544,0.25,0.0,0.0,0.0,0.0,0.0,0.0
16,models/data_bundle/generated_instances/E-UK25_15__curric_d2_s3_seed2315_24h,3217,0,route,0,0,0,1,0,0,0,0,4,36.683016665268845,1,484.3565285871874,120,120,22015,0,1,4.202999999979511,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,229792,0.32142857142857145,0.0,0.0,0.0,0.0,0.0,0.0
17,models/data_bundle/generated_instances/E-UK25_16__curric_d2_s3_seed2316_24h,3218,0,route,0,0,0,1,0,0,0,0,4,28.224032093300682,1,579.6792406666118,120,120,12004,0,1,3.594000000040978,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,235544,0.25,0.0,0.0,0.0,0.0,0.0,0.0
9,models/data_bundle/generated_instances/E-UK50_14__curric_d2_s3_seed2354_24h,3210,0,route,0,0,0,1,0,0,0,0,4,35.269735033373884,1,950.2983582360342,120,120,57331,0,1,16.0,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,237120,0.25,0.0,0.0,0.0,0.0,0.0,0.0
8,models/data_bundle/generated_instances/E-UK50_13__curric_d2_s3_seed2353_24h,3209,0,route,0,0,0,1,0,0,0,0,4,39.87099304110776,1,1120.2851271298923,120,120,43810,0,1,16.219000000040978,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,100508,0.25,0.0,0.0,0.0,0.0,0.0,0.0
14,models/data_bundle/generated_instances/E-UK50_14__curric_d2_s3_seed2354_24h,3215,0,route,0,0,0,1,0,0,0,0,4,30.10808719048771,1,1001.2171408360938,120,120,109444,0,1,14.077999999979511,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,233528,0.32142857142857145,0.0,0.0,0.0,0.0,0.0,0.0
20,models/data_bundle/generated_instances/E-UK25_14__curric_d2_s3_seed2314_24h,3221,1,route,0,0,0,1,0,0,0,0,4,21.855086512020712,1,590.3041368458148,120,120,13021,0,1,3.9840000001713634,C:\Users\zlxshu\.venvs\resetp-solver-py313\Scripts\python.exe,"3.13.12 (main, Mar  3 2026, 15:00:12) [MSC v.1944 64 bit (AMD64)]",2.3.5,237120,0.25,0.0,0.0,0.0,0.0,0.0,0.0
