E_total,actual_evals,algorithm,best_cost,best_signature,budget,category,charging_action_count,checkpoint_path,common_flip_preprocess,cost_carbon,cost_elec,cost_fix,cost_fuel,cost_km,cost_occ,cost_transship,cv_route_count,elapsed_seconds,ev_route_count,eval_budget,evals_per_second,failure_reason,feasible,head,instance,phase,profile,route_count,run_id,runtime_cap_seconds,schema,seed,status,violation_count
119.16000823688682,4000,LNS,371.9993673208387,af2703e54ec342829fe77a826735a17f481316c42fe3c058bfcf010a64da731d,4000,multidepot,2,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/lns_policy_kernel_probe_20260708/checkpoints/LNS_POLICY_KERNEL__b4000__multidepot__e2-multidepot-10c-01__LNS_NO_COMMON_FLIP__seed3.json,False,5.998514814644883,16.08653090470623,160.0,63.829899841896854,125.31458584208694,0.7698359175037979,0.0,1,9.246208666998427,1,4000,432.60973030458604,,True,606d95950fb2b3973ecbfe1843e21e4985f2c1a6,e2-multidepot-10c-01,LNS_POLICY_KERNEL_4000,LNS_NO_COMMON_FLIP,2,LNS_POLICY_KERNEL__b4000__multidepot__e2-multidepot-10c-01__LNS_NO_COMMON_FLIP__seed3,900.0,setp-e2-lns-policy-kernel-row.v1,3,OK,0
119.16000823688682,4000,A13_LNS_POLICY_KERNEL,371.9993673208387,af2703e54ec342829fe77a826735a17f481316c42fe3c058bfcf010a64da731d,4000,multidepot,2,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/lns_policy_kernel_probe_20260708/checkpoints/LNS_POLICY_KERNEL__b4000__multidepot__e2-multidepot-10c-01__A13_NO_COMMON_FLIP__seed3.json,False,5.998514814644883,16.08653090470623,160.0,63.829899841896854,125.31458584208694,0.7698359175037979,0.0,1,6.310635166999418,1,4000,633.8505300221292,,True,606d95950fb2b3973ecbfe1843e21e4985f2c1a6,e2-multidepot-10c-01,LNS_POLICY_KERNEL_4000,A13_NO_COMMON_FLIP,2,LNS_POLICY_KERNEL__b4000__multidepot__e2-multidepot-10c-01__A13_NO_COMMON_FLIP__seed3,900.0,setp-e2-lns-policy-kernel-row.v1,3,OK,0
1181.2104749568966,4000,LNS,3685.5317025257395,add426c4b0a2bec84ad28362ebc647da934861c1a2f5dd27d48c569db3257ef3,4000,multidepot,11,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/lns_policy_kernel_probe_20260708/checkpoints/LNS_POLICY_KERNEL__b4000__multidepot__e2-multidepot-150c-01__LNS_NO_COMMON_FLIP__seed1.json,False,59.46213530933018,119.86006049323186,1760.0,641.0194961455924,1091.2453642077558,13.944646369829673,0.0,12,330.3750412079971,10,4000,12.107452029497585,,True,606d95950fb2b3973ecbfe1843e21e4985f2c1a6,e2-multidepot-150c-01,LNS_POLICY_KERNEL_4000,LNS_NO_COMMON_FLIP,22,LNS_POLICY_KERNEL__b4000__multidepot__e2-multidepot-150c-01__LNS_NO_COMMON_FLIP__seed1,900.0,setp-e2-lns-policy-kernel-row.v1,1,OK,0
1181.2104749568966,4000,A13_LNS_POLICY_KERNEL,3685.5317025257395,add426c4b0a2bec84ad28362ebc647da934861c1a2f5dd27d48c569db3257ef3,4000,multidepot,11,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/lns_policy_kernel_probe_20260708/checkpoints/LNS_POLICY_KERNEL__b4000__multidepot__e2-multidepot-150c-01__A13_NO_COMMON_FLIP__seed1.json,False,59.46213530933018,119.86006049323186,1760.0,641.0194961455924,1091.2453642077558,13.944646369829673,0.0,12,330.00094979200003,10,4000,12.121177205463335,,True,606d95950fb2b3973ecbfe1843e21e4985f2c1a6,e2-multidepot-150c-01,LNS_POLICY_KERNEL_4000,A13_NO_COMMON_FLIP,22,LNS_POLICY_KERNEL__b4000__multidepot__e2-multidepot-150c-01__A13_NO_COMMON_FLIP__seed1,900.0,setp-e2-lns-policy-kernel-row.v1,1,OK,0
1088.175255946853,4000,LNS,3581.7494699726385,1c52b024a60d3ec18eba45c68cbcaed901932527413e9eeb625fafd245d47f67,4000,multidepot,12,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/lns_policy_kernel_probe_20260708/checkpoints/LNS_POLICY_KERNEL__b4000__multidepot__e2-multidepot-150c-01__LNS_NO_COMMON_FLIP__seed2.json,False,54.778742384364584,123.64051048622329,1760.0,588.6849467869379,1042.0997782660463,12.545492049066665,0.0,11,804.4275448749977,11,4000,4.972480145056556,,True,606d95950fb2b3973ecbfe1843e21e4985f2c1a6,e2-multidepot-150c-01,LNS_POLICY_KERNEL_4000,LNS_NO_COMMON_FLIP,22,LNS_POLICY_KERNEL__b4000__multidepot__e2-multidepot-150c-01__LNS_NO_COMMON_FLIP__seed2,900.0,setp-e2-lns-policy-kernel-row.v1,2,OK,0
1088.175255946853,4000,A13_LNS_POLICY_KERNEL,3581.7494699726385,1c52b024a60d3ec18eba45c68cbcaed901932527413e9eeb625fafd245d47f67,4000,multidepot,12,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/lns_policy_kernel_probe_20260708/checkpoints/LNS_POLICY_KERNEL__b4000__multidepot__e2-multidepot-150c-01__A13_NO_COMMON_FLIP__seed2.json,False,54.778742384364584,123.64051048622329,1760.0,588.6849467869379,1042.0997782660463,12.545492049066665,0.0,11,802.0628274170012,11,4000,4.987140480603871,,True,606d95950fb2b3973ecbfe1843e21e4985f2c1a6,e2-multidepot-150c-01,LNS_POLICY_KERNEL_4000,A13_NO_COMMON_FLIP,22,LNS_POLICY_KERNEL__b4000__multidepot__e2-multidepot-150c-01__A13_NO_COMMON_FLIP__seed2,900.0,setp-e2-lns-policy-kernel-row.v1,2,OK,0
1170.7464553004036,4000,LNS,3600.3620326505716,6050cb892f29fe4428ec970d5dbe4c82d6eebb6c01432d54d172803a33a496d6,4000,multidepot,11,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/lns_policy_kernel_probe_20260708/checkpoints/LNS_POLICY_KERNEL__b4000__multidepot__e2-multidepot-150c-01__LNS_NO_COMMON_FLIP__seed3.json,False,58.935376559822316,120.76077472123177,1680.0,634.9297948738496,1093.2036464036237,12.532440092043888,0.0,12,836.904072917001,9,4000,4.779520281815682,,True,606d95950fb2b3973ecbfe1843e21e4985f2c1a6,e2-multidepot-150c-01,LNS_POLICY_KERNEL_4000,LNS_NO_COMMON_FLIP,21,LNS_POLICY_KERNEL__b4000__multidepot__e2-multidepot-150c-01__LNS_NO_COMMON_FLIP__seed3,900.0,setp-e2-lns-policy-kernel-row.v1,3,OK,0
1170.7464553004036,4000,A13_LNS_POLICY_KERNEL,3600.3620326505716,6050cb892f29fe4428ec970d5dbe4c82d6eebb6c01432d54d172803a33a496d6,4000,multidepot,11,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/lns_policy_kernel_probe_20260708/checkpoints/LNS_POLICY_KERNEL__b4000__multidepot__e2-multidepot-150c-01__A13_NO_COMMON_FLIP__seed3.json,False,58.935376559822316,120.76077472123177,1680.0,634.9297948738496,1093.2036464036237,12.532440092043888,0.0,12,832.1080087500013,9,4000,4.807068257159126,,True,606d95950fb2b3973ecbfe1843e21e4985f2c1a6,e2-multidepot-150c-01,LNS_POLICY_KERNEL_4000,A13_NO_COMMON_FLIP,21,LNS_POLICY_KERNEL__b4000__multidepot__e2-multidepot-150c-01__A13_NO_COMMON_FLIP__seed3,900.0,setp-e2-lns-policy-kernel-row.v1,3,OK,0
355.7956756315862,4000,LNS,621.371321439464,38dc01d650f6effda6eea13731fd4666a96256b68521f1f276a6448fd8e49b6e,4000,multidepot,0,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/lns_policy_kernel_probe_20260708/checkpoints/LNS_POLICY_KERNEL__b4000__multidepot__e2-multidepot-15c-01__LNS_NO_COMMON_FLIP__seed1.json,False,17.910754311294053,0.0,160.0,198.33779990338735,245.1227672247827,0.0,0.0,2,16.168340832999093,0,4000,247.39703465933286,,True,606d95950fb2b3973ecbfe1843e21e4985f2c1a6,e2-multidepot-15c-01,LNS_POLICY_KERNEL_4000,LNS_NO_COMMON_FLIP,2,LNS_POLICY_KERNEL__b4000__multidepot__e2-multidepot-15c-01__LNS_NO_COMMON_FLIP__seed1,900.0,setp-e2-lns-policy-kernel-row.v1,1,OK,0
355.7956756315862,4000,A13_LNS_POLICY_KERNEL,621.371321439464,38dc01d650f6effda6eea13731fd4666a96256b68521f1f276a6448fd8e49b6e,4000,multidepot,0,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/lns_policy_kernel_probe_20260708/checkpoints/LNS_POLICY_KERNEL__b4000__multidepot__e2-multidepot-15c-01__A13_NO_COMMON_FLIP__seed1.json,False,17.910754311294053,0.0,160.0,198.33779990338735,245.1227672247827,0.0,0.0,2,16.095053082997765,0,4000,248.52353977686857,,True,606d95950fb2b3973ecbfe1843e21e4985f2c1a6,e2-multidepot-15c-01,LNS_POLICY_KERNEL_4000,A13_NO_COMMON_FLIP,2,LNS_POLICY_KERNEL__b4000__multidepot__e2-multidepot-15c-01__A13_NO_COMMON_FLIP__seed1,900.0,setp-e2-lns-policy-kernel-row.v1,1,OK,0
