budget,category,instance,seed,lns_best_cost_naked,lns_best_cost_common,lns_cost_delta_common_minus_naked,lns_route_count_delta_common_minus_naked,lns_cost_fix_delta_common_minus_naked,a13_best_cost_naked,a13_best_cost_common,a13_cost_delta_common_minus_naked,a13_route_count_delta_common_minus_naked,a13_cost_fix_delta_common_minus_naked
4000,multidepot,e2-multidepot-100c-01,1,2524.1709481815974,2524.1709481815974,0.0,0,0.0,2524.1709481815974,2524.1709481815974,0.0,0,0.0
4000,multidepot,e2-multidepot-100c-01,2,2515.691011919639,2515.691011919639,0.0,0,0.0,2515.691011919639,2515.691011919639,0.0,0,0.0
4000,multidepot,e2-multidepot-100c-01,3,2551.814954251537,2551.814954251537,0.0,0,0.0,2551.814954251537,2551.814954251537,0.0,0,0.0
4000,multidepot,e2-multidepot-10c-01,1,373.5325844458525,373.5325844458525,0.0,0,0.0,373.5325844458525,373.5325844458525,0.0,0,0.0
4000,multidepot,e2-multidepot-10c-01,2,371.9993673208387,371.9993673208387,0.0,0,0.0,371.9993673208387,371.9993673208387,0.0,0,0.0
4000,multidepot,e2-multidepot-10c-01,3,371.9993673208387,371.9993673208387,0.0,0,0.0,371.9993673208387,371.9993673208387,0.0,0,0.0
4000,multidepot,e2-multidepot-150c-01,1,3685.5317025257395,3685.5317025257395,0.0,0,0.0,3685.5317025257395,3685.5317025257395,0.0,0,0.0
4000,multidepot,e2-multidepot-150c-01,2,3581.7494699726385,3581.7494699726385,0.0,0,0.0,3581.7494699726385,3581.7494699726385,0.0,0,0.0
4000,multidepot,e2-multidepot-150c-01,3,3600.3620326505716,3600.3620326505716,0.0,0,0.0,3600.3620326505716,3600.3620326505716,0.0,0,0.0
4000,multidepot,e2-multidepot-15c-01,1,621.371321439464,621.371321439464,0.0,0,0.0,621.371321439464,621.371321439464,0.0,0,0.0
4000,multidepot,e2-multidepot-15c-01,2,622.2834651918408,622.2834651918408,0.0,0,0.0,622.2834651918408,622.2834651918408,0.0,0,0.0
4000,multidepot,e2-multidepot-15c-01,3,649.8601526479185,649.8601526479185,0.0,0,0.0,649.8601526479185,649.8601526479185,0.0,0,0.0
4000,multidepot,e2-multidepot-20c-01,1,700.4933751651098,700.4933751651098,0.0,0,0.0,700.4933751651098,700.4933751651098,0.0,0,0.0
4000,multidepot,e2-multidepot-20c-01,2,705.750850756463,705.750850756463,0.0,0,0.0,705.750850756463,705.750850756463,0.0,0,0.0
4000,multidepot,e2-multidepot-20c-01,3,707.2366001999801,707.2366001999801,0.0,0,0.0,707.2366001999801,707.2366001999801,0.0,0,0.0
