group,budget,lns_profile,a13_profile,pairs,ok_rows,fail_rows,infeasible_rows,under_eval_rows,wins_vs_lns,losses_vs_lns,ties_vs_lns,mean_gap_vs_lns,mean_route_count_delta_vs_lns,mean_cost_fix_delta_vs_lns,max_path_share_delta,gap_gate,route_gate,fixed_gate,path_gate,clean_gate,protected_diff_empty,pass_gate
POLICY_PARITY_NO_COMMON_FLIP,4000,LNS_NO_COMMON_FLIP,A13_NO_COMMON_FLIP,48,96,0,0,0,0,0,48,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True
FORMAL_PARITY_COMMON_FLIP,4000,LNS_FORMAL_COMMON_FLIP,A13_COMMON_FLIP,48,96,0,0,0,0,0,48,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True
POLICY_PARITY_NO_COMMON_FLIP,8000,LNS_NO_COMMON_FLIP,A13_NO_COMMON_FLIP,48,96,0,0,0,0,0,48,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True
FORMAL_PARITY_COMMON_FLIP,8000,LNS_FORMAL_COMMON_FLIP,A13_COMMON_FLIP,48,96,0,0,0,0,0,48,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True
POLICY_PARITY_NO_COMMON_FLIP,16000,LNS_NO_COMMON_FLIP,A13_NO_COMMON_FLIP,48,96,0,0,0,0,0,48,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True
FORMAL_PARITY_COMMON_FLIP,16000,LNS_FORMAL_COMMON_FLIP,A13_COMMON_FLIP,48,96,0,0,0,0,0,48,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True
