bundle,algorithm,n,mean_best_obj,std_best_obj,min_best_obj,max_best_obj,feasibility_rate
models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,alpha_ucb_block,5,4944.1256046361505,52.41419991589216,4895.9270071659475,5023.151143452434,1.0
models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,alpha_ucb_env,3,4878.864623565395,157.5278965113362,4783.60899366275,5060.693079007641,1.0
models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,official_winner_kernel,3,4878.864623565395,157.5278965113362,4783.60899366275,5060.693079007641,1.0
models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,ppo_block,5,4863.016978222013,74.82992725369496,4755.902995764318,4960.1333381290115,1.0
models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,random_block,3,5015.876982341472,119.9804502349829,4888.578038066182,5126.87138586978,1.0
models/data_bundle/generated_instances/E-UK100_01__d2_s3_seed1_24h_20251113,scikit-opt-SA,3,6244.047930364963,97.62277598516921,6138.610884281676,6331.298733608956,1.0
models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,alpha_ucb_block,5,3664.648049067126,63.97688710282596,3568.1755203998996,3727.4709607786062,1.0
models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,alpha_ucb_env,3,3775.2233286076807,172.65264726214582,3575.875113354617,3876.935428675483,1.0
models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,official_winner_kernel,3,3775.2233286076807,172.65264726214582,3575.875113354617,3876.935428675483,1.0
models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,ppo_block,5,3835.947355113663,258.3304986090629,3585.5831249136427,4168.067652304747,1.0
models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,random_block,3,3701.3662146541737,119.933327981021,3592.3015275132843,3829.8084606379493,1.0
models/data_bundle/generated_instances/E-UK100_02__u0_seed2_24h_20251113,scikit-opt-SA,3,4582.842797943435,64.41546170746963,4510.7137285824065,4634.63627797386,1.0
models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,alpha_ucb_block,5,3604.45904238495,89.42910487007555,3459.738835243944,3696.180664474008,1.0
models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,alpha_ucb_env,3,4040.6497704389476,157.89039946536542,3942.559630430613,4222.7854921365815,1.0
models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,official_winner_kernel,3,4040.6497704389476,157.89039946536542,3942.559630430613,4222.7854921365815,1.0
models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,ppo_block,5,3820.679701210832,183.34214650859,3594.2421482427058,4027.740090833847,1.0
models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,random_block,3,3627.7072442732447,6.487021805230927,3621.1158735466133,3634.084621681464,1.0
models/data_bundle/generated_instances/E-UK100_03__u0_seed3_24h_20251113,scikit-opt-SA,3,4318.404938444714,74.90935335240519,4234.637126845722,4378.960387421258,1.0
