actual_evaluations,best_cost,best_ev_routes,best_routes,dominant_pair_share,elapsed_seconds,pair_count,seed,trace_rows,violation_count
400,5466.898941574302,31,33,0.5207253886010362,14.081810083000164,16,1,386,0
400,7076.975422558339,26,35,0.4817708333333333,15.342985208000755,16,2,384,0
400,6634.103096493237,24,34,0.5297157622739018,12.678527249998297,16,3,387,0
