instance_id,tier,seed,mother_cost,mother_cpu_seconds,ablation_cost,ablation_cpu_seconds,ablation_epochs,full_cost,full_cpu_seconds,full_epochs,full_vs_mother,full_vs_ablation,ablation_vs_mother,full_improvement_pct_vs_mother
cn-cy-100c-01-V2-LOCATIONS,100,2,5159.890355653001,153.07520508393645,5159.890355653001,209.6475699589355,2,5159.890355653001,208.09313483396545,2,tie,tie,tie,0.0
cn-cy-100c-01-V2-LOCATIONS,100,3,5160.6096667643305,151.47910170804244,5160.6096667643305,233.16696491709445,2,5160.6096667643305,231.80540245806333,2,tie,tie,tie,0.0
cn-cy-100c-01-V2-LOCATIONS,100,4,5162.989536883764,93.61531666701194,5162.989536883764,166.1387122090673,2,5159.213315059443,254.8358532920247,4,win,win,tie,0.07314021842083243
cn-cy-100c-01-V2-LOCATIONS,100,1,5170.10593372655,97.07833533303346,5162.876624005478,241.40280683303718,4,5158.93907799358,251.4490949169267,4,win,win,win,0.2159889154325416
cn-cy-100c-02-V2-LOCATIONS,100,2,4833.336512529548,61.92437729204539,4833.336512529548,83.38194291701075,2,4833.336512529548,83.98659429198597,2,tie,tie,tie,0.0
cn-cy-100c-01-V2-LOCATIONS,100,5,5164.12767404665,60.41549041692633,5164.12767404665,114.4292811669875,2,5164.12767404665,115.02563887496945,2,tie,tie,tie,0.0
cn-cy-100c-02-V2-LOCATIONS,100,1,4952.2000589368745,51.63518874999136,4839.006992578844,109.99734450003598,4,4813.21328471388,138.05610229203012,4,win,win,win,2.8065662244839062
cn-cy-100c-02-V2-LOCATIONS,100,3,4813.21328471388,111.60368083301,4813.21328471388,133.31671595806256,2,4813.21328471388,133.98232941608876,2,tie,tie,tie,0.0
cn-cy-100c-03-V2-LOCATIONS,100,1,4716.60665301109,53.31427670898847,4716.60665301109,96.30989366699941,2,4716.60665301109,94.39277412591036,2,tie,tie,tie,0.0
cn-cy-100c-02-V2-LOCATIONS,100,5,4954.096326189078,59.43681862507947,4848.970048504774,140.9588281661272,4,4948.924035833735,165.98323916702066,4,win,loss,win,0.10440431543490829
cn-cy-100c-02-V2-LOCATIONS,100,4,4949.3267361209755,86.37868241698015,4813.21328471388,192.27215529198293,4,4821.517752598652,152.1382277510129,4,win,loss,win,2.582350900164931
cn-cy-100c-03-V2-LOCATIONS,100,2,4716.700508869917,51.161989915999584,4716.559023956668,146.51770962402225,4,4716.559023956668,147.0361246659886,4,win,tie,win,0.0029996586169249583
cn-cy-10c-01-V2-LOCATIONS,10,1,575.8408678302291,2.243475208990276,575.8408678302291,4.192702208994888,2,575.8408678302291,4.188016334082931,2,tie,tie,tie,0.0
cn-cy-10c-01-V2-LOCATIONS,10,2,575.8408678302291,2.2800625000381842,575.8408678302291,4.173699999926612,2,575.8408678302291,4.423460625112057,2,tie,tie,tie,0.0
cn-cy-10c-01-V2-LOCATIONS,10,3,575.8408678302291,2.3680179589428008,575.8408678302291,4.529538167989813,2,575.8408678302291,4.500002541928552,2,tie,tie,tie,0.0
cn-cy-10c-01-V2-LOCATIONS,10,4,575.8408678302291,1.9928494578925893,575.8408678302291,3.879636749974452,2,575.8408678302291,3.901215707883239,2,tie,tie,tie,0.0
cn-cy-10c-01-V2-LOCATIONS,10,5,575.8408678302291,2.1865489589981735,575.8408678302291,4.189740333938971,2,575.8408678302291,4.258918709005229,2,tie,tie,tie,0.0
cn-cy-10c-02-V2-LOCATIONS,10,1,633.8356528797758,1.488330458989367,633.8356528797758,3.2503610010026023,2,633.8356528797758,3.36134875100106,2,tie,tie,tie,0.0
cn-cy-10c-02-V2-LOCATIONS,10,2,633.8356528797758,1.614501665928401,633.8356528797758,3.494148207944818,2,633.8356528797758,3.6858808738179505,2,tie,tie,tie,0.0
cn-cy-100c-03-V2-LOCATIONS,100,3,4717.609827264912,43.07144037494436,4717.56219821049,114.29682720790152,4,4717.56219821049,116.80095499998424,4,win,tie,win,0.0010096013906611136
cn-cy-10c-02-V2-LOCATIONS,10,3,633.8356528797758,1.6093898750841618,633.8356528797758,3.341521375114098,2,633.8356528797758,3.3493496670853347,2,tie,tie,tie,0.0
cn-cy-10c-02-V2-LOCATIONS,10,4,633.8356528797758,1.6902737920172513,633.8356528797758,3.4023049169918522,2,633.8356528797758,3.4305128749692813,2,tie,tie,tie,0.0
cn-cy-10c-02-V2-LOCATIONS,10,5,633.8356528797758,1.5991184159647673,633.8356528797758,3.494307415909134,2,633.8356528797758,3.951350290910341,2,tie,tie,tie,0.0
cn-cy-10c-03-V2-LOCATIONS,10,1,657.8829667695985,1.3421224580379203,657.8829667695985,3.238259041099809,2,657.8829667695985,3.6587312490446493,2,tie,tie,tie,0.0
cn-cy-10c-03-V2-LOCATIONS,10,2,657.8829667695985,1.4342028750106692,657.8829667695985,3.431112500024028,2,657.8829667695985,3.493164584040642,2,tie,tie,tie,0.0
cn-cy-10c-03-V2-LOCATIONS,10,3,657.8829667695985,1.8212219589622691,657.8829667695985,3.5382646250072867,2,657.8829667695985,3.6123342510545626,2,tie,tie,tie,0.0
cn-cy-10c-03-V2-LOCATIONS,10,4,657.8829667695985,1.4916359999915585,657.8829667695985,3.750383749953471,2,657.8829667695985,3.725924375001341,2,tie,tie,tie,0.0
