algorithm,bks_distance_double,bks_vehicle_count_hit,bks_vehicles,common_initial_sha256,complete_bks_hit,distance_double,distance_gap_pct_if_vehicle_hit,education,education_accepted,education_removed_customers,education_seconds,education_triggers,elapsed_seconds,evaluations,feasible,independent_recompute_pass,instance,lexicographic_score,outer_wall_seconds,route_count,search_elapsed_seconds,seed,solution_sha256,status,time_limit_seconds,vehicle_excess_vs_bks,violation_count
pyvrp_0_12_2_hgs,828.936866942834,True,10,2c4e1102759887e68c508f5ab4830d7d9562395f0e8f38e52a2c1f1622956864,True,828.9368669428342,2.7429552781480094e-14,{},0,0,0.0,0,5.018320165982004,,True,True,C106,121058.93686694284,5.233190833008848,10,5.018320165982004,1,700da1dbca84617fc16ac0d7209a9833b05e7eadd60a3ad4b792ed71f26b0786,OK,5.0,0,0
pyvrp_0_12_2_hgs,1297.64774637106,True,4,312335a2255d98a34e4bb64449564331b016c467f1b087d7f1f991bc0113e03a,False,1333.3811557884374,2.7537064289833384,{},0,0,0.0,0,5.041645959019661,,True,True,RC205,51941.38115578844,5.268179374979809,4,5.041645959019661,1,63787d5f7fedc223f7197d8f54315d746db7c34a9d9cb2460f08bf837a3534ea,OK,5.0,0,0
pyvrp_0_12_2_hgs,1629.436352411105,False,13,b1dae2f455c4940f8b58bd375d284e12fe8d1d832923edc81bc2a3b11e941382,False,1673.4672690519164,,{},0,0,0.0,0,5.019687208987307,,True,True,RC105,191453.4672690519,5.243889416044112,15,5.019687208987307,1,639d71dc4c3bd640e34b4a0f4c3867905a644c1e54c49180cf23f5d55a7263fe,OK,5.0,2,0
hgs_adaptive_elite_alns_03,1297.64774637106,True,4,312335a2255d98a34e4bb64449564331b016c467f1b087d7f1f991bc0113e03a,False,1335.3301921631291,2.9039040754665515,"{""archive_size"": 8, ""d_max"": 30, ""d_min"": 15, ""edge_distance_sum"": 1354, ""education_accepted"": 12, ""education_calls"": 927, ""education_seconds"": 0.5778564588399604, ""education_triggers"": 25, ""final_q"": 15, ""gamma"": 30, ""mode_calls"": {""cost_repair"": 12, ""elite_disagreement"": 22, ""elite_repair"": 13, ""weak_route_elimination"": 3}, ""removed_customers"": 533, ""route_reduction_accepts"": 3, ""route_reduction_attempts"": 3}",12,533,0.5778564588399604,25,5.003338916983921,,True,True,RC205,51943.33019216313,5.259359832969494,4,5.003338916983921,1,58e57da805137cd72546ec677a1d359f07e7d8ce01e081fb9882b9bbed78d691,OK,5.0,0,0
pyvrp_0_12_2_hgs,1194.734097544604,False,11,eba513fff0fad98cb47b1c79b881e4f215c56e7386f489560ee4af663e0618c6,False,1298.2690725776745,,{},0,0,0.0,0,5.02091925003333,,True,True,R109,139046.26907257768,5.218981457990594,12,5.02091925003333,1,828bd618d6b3623e9f9c200a806b9d57596ff48fe43f49f045f8e67c50b351a4,OK,5.0,1,0
hgs_adaptive_elite_alns_03,1629.436352411105,False,13,b1dae2f455c4940f8b58bd375d284e12fe8d1d832923edc81bc2a3b11e941382,False,2944.977688043856,,"{""archive_size"": 8, ""d_max"": 30, ""d_min"": 15, ""edge_distance_sum"": 1380, ""education_accepted"": 12, ""education_calls"": 1048, ""education_seconds"": 0.4348404568154365, ""education_triggers"": 32, ""final_q"": 15, ""gamma"": 30, ""mode_calls"": {""cost_repair"": 16, ""elite_disagreement"": 31, ""elite_repair"": 16, ""weak_route_elimination"": 1}, ""removed_customers"": 622, ""route_reduction_accepts"": 1, ""route_reduction_attempts"": 1}",12,622,0.4348404568154365,32,5.00501650001388,,True,True,RC105,293940.97768804384,5.237283208989538,23,5.00501650001388,1,b1dae2f455c4940f8b58bd375d284e12fe8d1d832923edc81bc2a3b11e941382,OK,5.0,10,0
hgs_adaptive_elite_alns_03,1194.734097544604,False,11,eba513fff0fad98cb47b1c79b881e4f215c56e7386f489560ee4af663e0618c6,False,1270.5296135201793,,"{""archive_size"": 8, ""d_max"": 30, ""d_min"": 15, ""edge_distance_sum"": 1532, ""education_accepted"": 18, ""education_calls"": 1023, ""education_seconds"": 0.4250004990026355, ""education_triggers"": 32, ""final_q"": 15, ""gamma"": 30, ""mode_calls"": {""cost_repair"": 16, ""elite_disagreement"": 32, ""elite_repair"": 16, ""weak_route_elimination"": 0}, ""removed_customers"": 625, ""route_reduction_accepts"": 0, ""route_reduction_attempts"": 0}",18,625,0.4250004990026355,32,5.006235334032681,,True,True,R109,139018.5296135202,5.242656333022751,12,5.006235334032681,1,f630b4d24dd38014d5101e9644b6130b07f7da1d7ec7b31b589696bbb1870ff0,OK,5.0,1,0
pyvrp_0_12_2_hgs,588.875962653424,True,3,6050b5971ff97dd7f86f50315bb6ecc40cf576389cf3aed2415aa01634d7189d,True,588.8759626534238,-3.861147166182603e-14,{},0,0,0.0,0,5.0192993330419995,,True,True,C205,36657.87596265342,5.2099231670144945,3,5.0192993330419995,1,da6ce7efac8e9a8809064c22f1bf8b4dac7d204efe6e32e2f115487f0cb47de4,OK,5.0,0,0
pyvrp_0_12_2_hgs,726.822785682217,True,2,a1a17826ca871f9c857437832d7e79bc9092011ac217daa15c782e26e757a76d,False,773.1152736921472,6.369157506045805,{},0,0,0.0,0,5.018356417014729,,True,True,R208,23731.115273692147,5.188053208985366,2,5.018356417014729,1,dba5c049b6f95c79fe92170e44b3060f95fecb034171627819074daf6f8d515d,OK,5.0,0,0
hgs_adaptive_elite_alns_03,588.875962653424,True,3,6050b5971ff97dd7f86f50315bb6ecc40cf576389cf3aed2415aa01634d7189d,True,588.8759626534238,-3.861147166182603e-14,"{""archive_size"": 8, ""d_max"": 30, ""d_min"": 15, ""edge_distance_sum"": 415, ""education_accepted"": 10, ""education_calls"": 1381, ""education_seconds"": 0.9637156239477918, ""education_triggers"": 40, ""final_q"": 29, ""gamma"": 30, ""mode_calls"": {""cost_repair"": 20, ""elite_disagreement"": 39, ""elite_repair"": 20, ""weak_route_elimination"": 1}, ""removed_customers"": 1176, ""route_reduction_accepts"": 2, ""route_reduction_attempts"": 1}",10,1176,0.9637156239477918,40,5.02075079100905,,True,True,C205,36657.87596265342,5.258331874967553,3,5.02075079100905,1,da6ce7efac8e9a8809064c22f1bf8b4dac7d204efe6e32e2f115487f0cb47de4,OK,5.0,0,0
hgs_adaptive_elite_alns_03,726.822785682217,True,2,a1a17826ca871f9c857437832d7e79bc9092011ac217daa15c782e26e757a76d,False,766.4731379341384,5.455298462431171,"{""archive_size"": 8, ""d_max"": 30, ""d_min"": 15, ""edge_distance_sum"": 1266, ""education_accepted"": 15, ""education_calls"": 789, ""education_seconds"": 0.387843958043959, ""education_triggers"": 24, ""final_q"": 15, ""gamma"": 30, ""mode_calls"": {""cost_repair"": 12, ""elite_disagreement"": 24, ""elite_repair"": 12, ""weak_route_elimination"": 0}, ""removed_customers"": 480, ""route_reduction_accepts"": 1, ""route_reduction_attempts"": 0}",15,480,0.387843958043959,24,5.00512120896019,,True,True,R208,23724.47313793414,5.194889166974463,2,5.00512120896019,1,2e117eae814b2d50e324af15ad49e0a5e19ef4efcbb66abe03d232240de5e1a4,OK,5.0,0,0
hgs_adaptive_elite_alns_03,828.936866942834,True,10,2c4e1102759887e68c508f5ab4830d7d9562395f0e8f38e52a2c1f1622956864,True,828.9368669428342,2.7429552781480094e-14,"{""archive_size"": 8, ""d_max"": 30, ""d_min"": 15, ""edge_distance_sum"": 957, ""education_accepted"": 18, ""education_calls"": 1260, ""education_seconds"": 0.48656679288251325, ""education_triggers"": 37, ""final_q"": 23, ""gamma"": 30, ""mode_calls"": {""cost_repair"": 18, ""elite_disagreement"": 37, ""elite_repair"": 19, ""weak_route_elimination"": 0}, ""removed_customers"": 909, ""route_reduction_accepts"": 3, ""route_reduction_attempts"": 0}",18,909,0.48656679288251325,37,5.016098958032671,,True,True,C106,121058.93686694284,5.248088874970563,10,5.016098958032671,1,700da1dbca84617fc16ac0d7209a9833b05e7eadd60a3ad4b792ed71f26b0786,OK,5.0,0,0
