category,instance,size,battery_kwh,num_cv,num_ev,total_demand,Q_capacity,demand_route_lower_bound,physical_ev_share_one_trip_lb,physical_ev_share_two_trip_lb,headroom_ge_20pct_two_trip
vanilla,e2-vanilla-150c-01,150,280.0,10,10,70647.0,3650.0,20,0.5,1.0,True
vanilla,e2-vanilla-200c-01,200,280.0,14,14,97152.0,3650.0,27,0.5185185185185185,1.0,True
multidepot,e2-multidepot-150c-01,150,280.0,10,10,70647.0,3650.0,20,0.5,1.0,True
multidepot,e2-multidepot-200c-01,200,280.0,14,14,97152.0,3650.0,27,0.5185185185185185,1.0,True
threeshift,e2-threeshift-150c-01,150,280.0,10,10,70963.0,3650.0,20,0.5,1.0,True
