instance_id,seed,customer_count,control_cost,candidate_cost,candidate_minus_control,strict_candidate_win,same_random_stream_endpoint,control_complete_attempts,candidate_complete_attempts,candidate_selected_source,HGS-F_cost,HGS-E_cost,HGS-M_cost,main_nonworse_than_own_views,HGS-F_curve_points,HGS-F_strict_decreases,HGS-E_curve_points,HGS-E_strict_decreases,HGS-M_curve_points,HGS-M_strict_decreases,MV-HGS-SP_curve_points,MV-HGS-SP_strict_decreases,main_curve_gate,all_independently_feasible,status
cn-cy-100c-02-V2-LOCATIONS,11,100,4921.967118844841,4921.967118844841,0.0,False,True,80,141,best_exact_hgs_parent,4921.967118844841,5026.638884552861,5106.021030458011,True,13,12,8,7,7,6,13,12,True,True,PASS
cn-cy-150c-02-V2-LOCATIONS,11,150,7664.936671473208,7664.936671473208,0.0,False,True,80,141,base_pool_time_limited_mip_recombination,7690.364098490427,7674.974935181741,7664.976960983822,True,8,7,10,9,13,12,19,18,True,True,PASS
cn-jjj-100c-02-V2-LOCATIONS,11,100,5025.420140132635,5025.420140132635,0.0,False,True,80,141,base_pool_time_limited_mip_recombination,5063.70763268197,5050.5483659681595,5027.136946391992,True,6,5,11,10,11,10,13,12,True,True,PASS
cn-jjj-150c-02-V2-LOCATIONS,11,150,7322.2938974298495,7322.2938974298495,0.0,False,True,80,141,base_pool_time_limited_mip_recombination,7329.734199057071,7466.796830854679,7329.990112836879,True,8,7,14,13,10,9,12,11,True,True,PASS
cn-prd-100c-02-V2-LOCATIONS,11,100,4984.24338552081,4984.24338552081,0.0,False,True,80,141,base_pool_time_limited_mip_recombination,5049.0114639795975,4987.089682847209,4985.493985202952,True,8,7,13,12,10,9,22,21,True,True,PASS
cn-prd-150c-02-V2-LOCATIONS,11,150,7363.0670702308935,7363.0670702308935,0.0,False,True,80,141,base_pool_time_limited_mip_recombination,7405.205688235195,7366.573822843579,7401.411731216954,True,6,5,9,8,13,12,12,11,True,True,PASS
