instance,seed,budget,algorithm,reported_algorithm,cost,recomputed_cost,cost_match,evaluations,budget_exact,elapsed_seconds,route_count,feasible,violation_count,route_vehicle_fingerprint,charging_quantity_fingerprint,charging_schedule_fingerprint,total_emissions_kg,charging_emissions_kg,carbon_activity,mechanism_activity,evidence_origin,joint_activity
L-main-threeshift-20c-01,1,100,official_vidal_hgs_neutral_resetp_adapter,official_vidal_hgs_neutral_resetp_adapter,857.6078956525948,857.6078956525948,True,100,True,1.107991166994907,4,True,0,,,,,,,"{""hgs_adapter_wall_milliseconds"": 1010.738748, ""hgs_candidate_decodes"": 100, ""hgs_improvements"": 0, ""hgs_native_calls"": 200, ""hgs_native_cpu_milliseconds"": 965.474, ""invalid_decodes"": 0, ""official_hgs_commit"": ""1a927955cd2861a29d978f0d359d6e647db9319c"", ""unique_hgs_orders"": 16}",baselines/algorithm_prototypes/mechanism_hgs_alns_20260718/mechanism_v4_b100_minimal_gate/raw_runs.csv,
L-main-threeshift-20c-01,1,100,original_n_wouda_alns_7_0_0_neutral_resetp_adapter,original_n_wouda_alns_7_0_0_neutral_resetp_adapter,657.0913319405705,657.0913319405705,True,100,True,0.9697193339816295,3,True,0,,,,,,,"{""candidate_scores"": 100, ""destroy_operators"": 5, ""iterations"": 100, ""repair_delta_scores"": 7337, ""repair_operators"": 3, ""upstream_alns_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}",baselines/algorithm_prototypes/mechanism_hgs_alns_20260718/mechanism_v4_b100_minimal_gate/raw_runs.csv,
L-main-threeshift-20c-01,2,100,official_vidal_hgs_neutral_resetp_adapter,official_vidal_hgs_neutral_resetp_adapter,857.6078956525948,857.6078956525948,True,100,True,1.0811842079856433,4,True,0,,,,,,,"{""hgs_adapter_wall_milliseconds"": 1008.482583, ""hgs_candidate_decodes"": 100, ""hgs_improvements"": 0, ""hgs_native_calls"": 200, ""hgs_native_cpu_milliseconds"": 962.742, ""invalid_decodes"": 0, ""official_hgs_commit"": ""1a927955cd2861a29d978f0d359d6e647db9319c"", ""unique_hgs_orders"": 16}",baselines/algorithm_prototypes/mechanism_hgs_alns_20260718/mechanism_v4_b100_minimal_gate/raw_runs.csv,
L-main-threeshift-20c-01,2,100,original_n_wouda_alns_7_0_0_neutral_resetp_adapter,original_n_wouda_alns_7_0_0_neutral_resetp_adapter,656.7302836842582,656.7302836842582,True,100,True,0.9440043329959735,3,True,0,,,,,,,"{""candidate_scores"": 100, ""destroy_operators"": 5, ""iterations"": 100, ""repair_delta_scores"": 7276, ""repair_operators"": 3, ""upstream_alns_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}",baselines/algorithm_prototypes/mechanism_hgs_alns_20260718/mechanism_v4_b100_minimal_gate/raw_runs.csv,
L-main-threeshift-20c-01,3,100,official_vidal_hgs_neutral_resetp_adapter,official_vidal_hgs_neutral_resetp_adapter,857.6078956525948,857.6078956525948,True,100,True,1.0893924999982119,4,True,0,,,,,,,"{""hgs_adapter_wall_milliseconds"": 1016.493833, ""hgs_candidate_decodes"": 100, ""hgs_improvements"": 0, ""hgs_native_calls"": 200, ""hgs_native_cpu_milliseconds"": 970.247, ""invalid_decodes"": 0, ""official_hgs_commit"": ""1a927955cd2861a29d978f0d359d6e647db9319c"", ""unique_hgs_orders"": 16}",baselines/algorithm_prototypes/mechanism_hgs_alns_20260718/mechanism_v4_b100_minimal_gate/raw_runs.csv,
L-main-threeshift-20c-01,3,100,original_n_wouda_alns_7_0_0_neutral_resetp_adapter,original_n_wouda_alns_7_0_0_neutral_resetp_adapter,656.7302836842582,656.7302836842582,True,100,True,0.7988545420230366,3,True,0,,,,,,,"{""candidate_scores"": 100, ""destroy_operators"": 5, ""iterations"": 100, ""repair_delta_scores"": 6497, ""repair_operators"": 3, ""upstream_alns_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}",baselines/algorithm_prototypes/mechanism_hgs_alns_20260718/mechanism_v4_b100_minimal_gate/raw_runs.csv,
L-main-threeshift-25c-01,1,100,official_vidal_hgs_neutral_resetp_adapter,official_vidal_hgs_neutral_resetp_adapter,863.1774454677152,863.1774454677152,True,100,True,1.3755100419512019,4,True,0,,,,,,,"{""hgs_adapter_wall_milliseconds"": 1271.865458, ""hgs_candidate_decodes"": 100, ""hgs_improvements"": 3, ""hgs_native_calls"": 200, ""hgs_native_cpu_milliseconds"": 1216.982, ""invalid_decodes"": 0, ""official_hgs_commit"": ""1a927955cd2861a29d978f0d359d6e647db9319c"", ""unique_hgs_orders"": 31}",baselines/algorithm_prototypes/mechanism_hgs_alns_20260718/mechanism_v4_b100_minimal_gate/raw_runs.csv,
L-main-threeshift-25c-01,1,100,original_n_wouda_alns_7_0_0_neutral_resetp_adapter,original_n_wouda_alns_7_0_0_neutral_resetp_adapter,877.751801067878,877.751801067878,True,100,True,1.120234125002753,5,True,0,,,,,,,"{""candidate_scores"": 100, ""destroy_operators"": 5, ""iterations"": 100, ""repair_delta_scores"": 11416, ""repair_operators"": 3, ""upstream_alns_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}",baselines/algorithm_prototypes/mechanism_hgs_alns_20260718/mechanism_v4_b100_minimal_gate/raw_runs.csv,
L-main-threeshift-25c-01,2,100,official_vidal_hgs_neutral_resetp_adapter,official_vidal_hgs_neutral_resetp_adapter,863.1774454677152,863.1774454677152,True,100,True,1.4168162920395844,4,True,0,,,,,,,"{""hgs_adapter_wall_milliseconds"": 1312.039461, ""hgs_candidate_decodes"": 100, ""hgs_improvements"": 7, ""hgs_native_calls"": 200, ""hgs_native_cpu_milliseconds"": 1251.787, ""invalid_decodes"": 0, ""official_hgs_commit"": ""1a927955cd2861a29d978f0d359d6e647db9319c"", ""unique_hgs_orders"": 30}",baselines/algorithm_prototypes/mechanism_hgs_alns_20260718/mechanism_v4_b100_minimal_gate/raw_runs.csv,
L-main-threeshift-25c-01,2,100,original_n_wouda_alns_7_0_0_neutral_resetp_adapter,original_n_wouda_alns_7_0_0_neutral_resetp_adapter,877.751801067878,877.751801067878,True,100,True,1.1881768750026822,5,True,0,,,,,,,"{""candidate_scores"": 100, ""destroy_operators"": 5, ""iterations"": 100, ""repair_delta_scores"": 12255, ""repair_operators"": 3, ""upstream_alns_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}",baselines/algorithm_prototypes/mechanism_hgs_alns_20260718/mechanism_v4_b100_minimal_gate/raw_runs.csv,
