instance,source_scale,source_num_cv,source_num_ev,common_cap_cv,common_cap_ev,common_depot_caps_json,geographic_counts_json,mixed_counts_json,status
L-main-threeshift-10c-01,10,1,1,2,0,"{""D0"": {""cv"": 1, ""ev"": 0}, ""D1"": {""cv"": 1, ""ev"": 0}}","{""D0"": {""cv"": 1, ""ev"": 0}, ""D1"": {""cv"": 1, ""ev"": 0}}","{""D0"": {""cv"": 1, ""ev"": 0}, ""D1"": {""cv"": 1, ""ev"": 0}}",PASS
L-main-threeshift-20c-01,20,2,1,2,3,"{""D0"": {""cv"": 1, ""ev"": 2}, ""D1"": {""cv"": 1, ""ev"": 1}}","{""D0"": {""cv"": 1, ""ev"": 1}, ""D1"": {""cv"": 1, ""ev"": 1}}","{""D0"": {""cv"": 1, ""ev"": 2}, ""D1"": {""cv"": 1, ""ev"": 1}}",PASS
L-main-threeshift-25c-01,25,2,1,2,2,"{""D0"": {""cv"": 1, ""ev"": 1}, ""D1"": {""cv"": 1, ""ev"": 1}}","{""D0"": {""cv"": 1, ""ev"": 1}, ""D1"": {""cv"": 1, ""ev"": 1}}","{""D0"": {""cv"": 1, ""ev"": 1}, ""D1"": {""cv"": 1, ""ev"": 1}}",PASS
L-main-threeshift-50c-01,50,4,3,4,5,"{""D0"": {""cv"": 2, ""ev"": 3}, ""D1"": {""cv"": 2, ""ev"": 2}}","{""D0"": {""cv"": 2, ""ev"": 2}, ""D1"": {""cv"": 2, ""ev"": 2}}","{""D0"": {""cv"": 2, ""ev"": 3}, ""D1"": {""cv"": 2, ""ev"": 2}}",PASS
L-main-threeshift-75c-01,75,6,5,6,9,"{""D0"": {""cv"": 3, ""ev"": 5}, ""D1"": {""cv"": 3, ""ev"": 4}}","{""D0"": {""cv"": 3, ""ev"": 3}, ""D1"": {""cv"": 3, ""ev"": 3}}","{""D0"": {""cv"": 3, ""ev"": 5}, ""D1"": {""cv"": 3, ""ev"": 4}}",PASS
L-main-threeshift-100c-01,100,7,7,9,9,"{""D0"": {""cv"": 4, ""ev"": 5}, ""D1"": {""cv"": 5, ""ev"": 4}}","{""D0"": {""cv"": 4, ""ev"": 4}, ""D1"": {""cv"": 4, ""ev"": 3}}","{""D0"": {""cv"": 4, ""ev"": 5}, ""D1"": {""cv"": 5, ""ev"": 4}}",PASS
L-main-threeshift-150c-01,150,10,10,12,15,"{""D0"": {""cv"": 6, ""ev"": 8}, ""D1"": {""cv"": 6, ""ev"": 7}}","{""D0"": {""cv"": 6, ""ev"": 6}, ""D1"": {""cv"": 6, ""ev"": 5}}","{""D0"": {""cv"": 6, ""ev"": 8}, ""D1"": {""cv"": 6, ""ev"": 7}}",PASS
L-main-threeshift-200c-01,200,14,14,14,22,"{""D0"": {""cv"": 7, ""ev"": 12}, ""D1"": {""cv"": 7, ""ev"": 10}}","{""D0"": {""cv"": 7, ""ev"": 7}, ""D1"": {""cv"": 7, ""ev"": 7}}","{""D0"": {""cv"": 7, ""ev"": 12}, ""D1"": {""cv"": 7, ""ev"": 10}}",PASS
