add_count,cancel_count,canonical_sha256,demand_change_count,event_count,file_sha256,instance_id,path,scale,stream_seed
5,2,7f43be9dfac60832befe4b3f612b1511f8faf588c10d656bd0690a65f95b8d2e,5,12,3687f91b6c8fe049f00f34a4d9f9efe9b01e787abecd854c74e6d888304241f4,cn-prd-50c-01-V2-LOCATIONS,baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-50c-01-V2-LOCATIONS/stream_seed1.json,50c,1
5,2,043272a362975d1e57af3b29478506f31ab66190ad2bf7fa5f9985a8085df7b2,5,12,eb77f2296ddf7cf0e73b5f5bb8b682f76ba59247bf8ed7074154d1d66221cad6,cn-prd-50c-01-V2-LOCATIONS,baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-50c-01-V2-LOCATIONS/stream_seed2.json,50c,2
5,2,6bea493792f09d44aad3815ae7b8a07dbbc5aa5cdba5464998f73f1a22c67d52,5,12,3738e22146ba73fb26504687cb2a5ca97fa64e8627968f9423e1d378f8a6a434,cn-prd-50c-01-V2-LOCATIONS,baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-50c-01-V2-LOCATIONS/stream_seed3.json,50c,3
5,2,173a437016490889f4fb489315caadb94d8b7f9bf719f446ea2879c208d7920a,5,12,b55b49de70f9277aff78990dcaa3d7f20632fe2ed996a85e6ad1ae900bf762a3,cn-prd-50c-01-V2-LOCATIONS,baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-50c-01-V2-LOCATIONS/stream_seed4.json,50c,4
5,2,34d9cfdbd70d7bf6be87b13392c796eb09bb73b6b96bfc8a7999ed6f095b87da,5,12,9e800f4dd22ad25d62b615d58c236676a5d275a82d48fa4cb79c1f352b5fd989,cn-prd-50c-01-V2-LOCATIONS,baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-50c-01-V2-LOCATIONS/stream_seed5.json,50c,5
10,5,ec935d6668fdffbc36a677ffa00d9fa94e72384ea202f659a7b3f41beaa93dbb,10,25,fe3558b31f72dbddbf0d578c36af0391e96c1f756798c638b22e9d2bbf1dd5a9,cn-prd-100c-02-V2-LOCATIONS,baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-100c-02-V2-LOCATIONS/stream_seed1.json,100c,1
10,5,fc9317b4cefaff0e08cd4a65f07706b076511c594c41269e50490da8830881cd,10,25,8aeb0df41e9cbdbab84f10acf062313b4e0318a40468ccc53fe0eb93d2ce4a38,cn-prd-100c-02-V2-LOCATIONS,baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-100c-02-V2-LOCATIONS/stream_seed2.json,100c,2
10,5,a03fdfe0ab9146b5a133616cfd2e0fc10553a39fe3a17002d50c01e8722d365f,10,25,770aa9ea70bb8ffca80c799a5916ee62cef7b4a9dc7aa654505e80b967d3697e,cn-prd-100c-02-V2-LOCATIONS,baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-100c-02-V2-LOCATIONS/stream_seed3.json,100c,3
10,5,46493f19243ee07b5dde7ae2c4f8b7b5d4cb2925e0d69b053a6cdbd98810f0ee,10,25,da7993ae9deee4741f2bcb54cefed2c1569c7dc952866bc28b62b454ee3a5dce,cn-prd-100c-02-V2-LOCATIONS,baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-100c-02-V2-LOCATIONS/stream_seed4.json,100c,4
10,5,441c0416835d625d7693f8fb64469e7b847a20e7782a16677c212e5973507a37,10,25,783abdf11c4c9ecd554c0fde8ff1ae6399be8ec702c3ea6a4a1811be84b49323,cn-prd-100c-02-V2-LOCATIONS,baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-100c-02-V2-LOCATIONS/stream_seed5.json,100c,5
15,8,8ff54e0922b904ea5f7d93f6d24b862ab4519b9355697f738b2a3c3d4e2bcdae,15,38,dc026d9da40774f3022b4cff5328b857d195f88be7a52dcc76f21c34d151b47c,cn-prd-150c-01-V2-LOCATIONS,baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-150c-01-V2-LOCATIONS/stream_seed1.json,150c,1
15,8,083c0f2944d0623aab83b32d5f7f0ce6b9a7372bc1a4d50a012c1f88c39f800e,15,38,19366358190c4516bbfe3466687548af792659927c1d1263825aa126fe72a67e,cn-prd-150c-01-V2-LOCATIONS,baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-150c-01-V2-LOCATIONS/stream_seed2.json,150c,2
15,8,5ba511015445e5691452ae27b2dff062b0b2f4e3f7354d64a91bb5bb5ab77501,15,38,fc43213ec7aaf3d50cc29d0bf284525f0f4edec1c954b2e26912017b7d89a500,cn-prd-150c-01-V2-LOCATIONS,baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-150c-01-V2-LOCATIONS/stream_seed3.json,150c,3
15,8,9a1be62bce7a663308aa763b47bdacb28be37a5ddc852b52d838c2ad464b3816,15,38,a49066220c5ecf70ca5d520499ea7b33a078c31ef51228ca7f4c9aebde89be70,cn-prd-150c-01-V2-LOCATIONS,baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-150c-01-V2-LOCATIONS/stream_seed4.json,150c,4
15,8,d3f0c6c5ab691afd4bcf0dae7c3ceb8ffac555f711b443f924fbbe3cf00cf0d9,15,38,f3f73bc721665f1cc1535a3d89b2fba7e2ae89b35247dd437dec57c98bb8832c,cn-prd-150c-01-V2-LOCATIONS,baselines/china_e3_e7/mechanism_foundation_20260730/inputs/e7_events/cn-prd-150c-01-V2-LOCATIONS/stream_seed5.json,150c,5
