baseline_id,available,version,module_origin,compatibility,e7_attestation_exists,tool_freeze_exists,search_evaluations
PyVRP,False,,,VRPTW_CAPABLE_BUT_NOT_INSTALLED,False,False,0
HGS-VRPTW,False,,,OFFICIAL_HGS_CVRP_IS_NOT_A_VRPTW_BASELINE,False,False,0
