seed_or_stat,HGS-F_cost_cny,HGS-F_cpu_min,HGS-E_cost_cny,HGS-E_cpu_min,HGS-M_cost_cny,HGS-M_cpu_min,MV-HGS-SP_cost_cny,MV-HGS-SP_cpu_min
1,2468.13821350964,0.38426717153342904,2395.074255021319,0.40343102013333315,2393.8185755222853,0.36086402568325865,2393.8185755222853,1.1549408152835288
2,2468.13821350964,0.49176553333333384,2394.7198530549317,0.3790206617995864,2393.8185755222853,0.3870282416663637,2393.8185755222853,1.2642864062499333
3,2468.13821350964,0.38246911806684997,2393.8185755222853,0.3960027479168881,2393.8185755222853,0.3668934736168012,2393.8185755222853,1.1540048118001627
4,2473.2451623263755,0.40324728541697064,2393.8185755222853,0.382843882633703,2393.8185755222853,0.3820148729166249,2393.8185755222853,1.1744783486166852
5,2471.498936546319,0.39768751249988177,2393.8185755222853,0.35946910833348134,2393.8185755222853,0.3768199708332152,2393.8185755222853,1.1406094937502833
6,2468.13821350964,0.33074591388334135,2393.8185755222853,0.3776045638830207,2393.8185755222853,0.36303856806625845,2393.8185755222853,1.0768282701499023
7,2468.13821350964,0.32517300208322314,2393.8185755222853,0.36518334236704203,2393.8185755222853,0.3682380937500663,2393.8185755222853,1.0647073861167882
8,2471.7379339424247,0.33085646249965067,2393.8185755222853,0.3612938055496973,2393.8185755222853,0.3676341138833474,2393.8185755222853,1.0657074944499376
9,2468.13821350964,0.32980956805016226,2393.8185755222853,0.36999956526657723,2393.8185755222853,0.36419440486642995,2393.8185755222853,1.0694518610999997
10,2468.13821350964,0.3291855118164676,2393.8185755222853,0.36440868056670295,2393.8185755222853,0.365555657633134,2393.8185755222853,1.065603789583353
Min,2468.13821350964,0.32517300208322314,2393.8185755222853,0.35946910833348134,2393.8185755222853,0.36086402568325865,2393.8185755222853,1.0647073861167882
Avg,2469.34495273826,0.370520707918331,2394.0342712254533,0.3759257378450032,2393.8185755222853,0.37022814229155,2393.8185755222853,1.1230618677100574
Max,2473.2451623263755,0.49176553333333384,2395.074255021319,0.40343102013333315,2393.8185755222853,0.3870282416663637,2393.8185755222853,1.2642864062499333
