algorithm,selected_seed,point_order,time_min,cost_cny,source
HGS-F,1,0,0.0,2726.5931051951147,common_initial
HGS-F,1,1,0.0004763166667544283,2587.207431321163,hgs_new_proxy_population_best
HGS-F,1,2,0.0035003604168499197,2532.6588114034366,hgs_new_proxy_population_best
HGS-F,1,3,0.004973722216770208,2480.9640549448004,hgs_new_proxy_population_best
HGS-F,1,4,0.005715134016645607,2479.226659742763,hgs_new_proxy_population_best
HGS-F,1,5,0.018583815966849215,2473.7268350732356,hgs_new_proxy_population_best
HGS-F,1,6,0.26330784096693,2468.13821350964,sealed_final_solution
HGS-E,3,0,0.0,2726.5931051951147,common_initial
HGS-E,3,1,0.00041981458343798295,2409.3222870595723,hgs_new_proxy_population_best
HGS-E,3,2,0.0004964868164582489,2401.8445084942714,hgs_new_proxy_population_best
HGS-E,3,3,0.007294027783306471,2399.7273325230403,hgs_new_proxy_population_best
HGS-E,3,4,0.0074596194501888625,2397.9464900022326,hgs_new_proxy_population_best
HGS-E,3,5,0.009527549999863065,2396.4406324891243,hgs_new_proxy_population_best
HGS-E,3,6,0.070399844450003,2395.5393549564774,hgs_new_proxy_population_best
HGS-E,3,7,0.28398529583355414,2393.8185755222853,sealed_final_solution
HGS-M,1,0,0.0,2726.5931051951147,common_initial
HGS-M,1,1,0.00039055903325788675,2519.5447320746603,hgs_new_proxy_population_best
HGS-M,1,2,0.0017073340330777378,2421.740847664967,hgs_new_proxy_population_best
HGS-M,1,3,0.00713609444986408,2407.8120817032836,hgs_new_proxy_population_best
HGS-M,1,4,0.008627258333338736,2404.1527590266987,hgs_new_proxy_population_best
HGS-M,1,5,0.013039520833020408,2400.2496929740387,hgs_new_proxy_population_best
HGS-M,1,6,0.020113428483212677,2398.418975384616,hgs_new_proxy_population_best
HGS-M,1,7,0.04531708473320274,2396.6981959504237,hgs_new_proxy_population_best
HGS-M,1,8,0.07772855624983398,2394.571800470882,hgs_new_proxy_population_best
HGS-M,1,9,0.20790413056626372,2393.8185755222853,hgs_new_proxy_population_best
MV-HGS-SP,1,0,0.0,2726.5931051951147,common_initial
MV-HGS-SP,1,1,0.0004763166667544283,2587.207431321163,cv_only:hgs_new_proxy_population_best
MV-HGS-SP,1,2,0.0035003604168499197,2532.6588114034366,cv_only:hgs_new_proxy_population_best
MV-HGS-SP,1,3,0.004973722216770208,2480.9640549448004,cv_only:hgs_new_proxy_population_best
MV-HGS-SP,1,4,0.005715134016645607,2479.226659742763,cv_only:hgs_new_proxy_population_best
MV-HGS-SP,1,5,0.018583815966849215,2473.7268350732356,cv_only:hgs_new_proxy_population_best
MV-HGS-SP,1,6,0.2635324736004501,2467.152335725226,naive_ev:hgs_new_proxy_population_best
MV-HGS-SP,1,7,0.2636466618001577,2411.9039379401356,naive_ev:hgs_new_proxy_population_best
MV-HGS-SP,1,8,0.26454233888362066,2405.451920778832,naive_ev:hgs_new_proxy_population_best
MV-HGS-SP,1,9,0.26503396526677536,2404.7363848809982,naive_ev:hgs_new_proxy_population_best
MV-HGS-SP,1,10,0.2651907374834991,2402.2775552478497,naive_ev:hgs_new_proxy_population_best
MV-HGS-SP,1,11,0.26951827221685865,2401.1991489301463,naive_ev:hgs_new_proxy_population_best
MV-HGS-SP,1,12,0.2707896444335347,2400.5112022258163,naive_ev:hgs_new_proxy_population_best
MV-HGS-SP,1,13,0.27654007151674403,2394.9971274529826,naive_ev:hgs_new_proxy_population_best
MV-HGS-SP,1,14,0.6053207347169518,2394.571800470882,mechanism_ev:hgs_new_proxy_population_best
MV-HGS-SP,1,15,0.7354963090333816,2393.8185755222853,mechanism_ev:hgs_new_proxy_population_best
