region_code,region,scale_band,tiers,instance_count,HGS-F_Best,HGS-F_avg,HGS-F_Best_gap_to_MV_pct,HGS-F_avg_gap_to_MV_pct,HGS-E_Best,HGS-E_avg,HGS-E_Best_gap_to_MV_pct,HGS-E_avg_gap_to_MV_pct,HGS-M_Best,HGS-M_avg,HGS-M_Best_gap_to_MV_pct,HGS-M_avg_gap_to_MV_pct,MV-HGS-SP_Best,MV-HGS-SP_avg,MV-HGS-SP_Best_gap_to_MV_pct,MV-HGS-SP_avg_gap_to_MV_pct
jjj,京津冀,S,10/15/20,9,899.6116371941745,899.7963734185175,0.490814735854184,0.5090637305388986,895.8712296874771,895.8712296874771,0.010096206542499526,0.010096206542499526,895.7500840720509,895.7500840720509,0.0,0.0,895.7500840720509,895.7500840720509,0.0,0.0
jjj,京津冀,M,25/50/75,9,2630.1472711379884,2631.4851665764313,1.4663036898695474,1.5202502897259036,2602.348391249884,2602.976890021382,0.0,0.012280575596982753,2602.5741624225634,2602.9939575405206,0.005942409422652829,0.012147697324814657,2602.348391249884,2602.534537890926,0.0,0.0
jjj,京津冀,L,100/150/200,9,7329.239855735021,7335.634709397137,0.7650223676765606,0.737904084596716,7288.902444904741,7311.433352226909,0.13864215937756402,0.36868564996576025,7288.859832466181,7317.300745605368,0.1646172806166564,0.4464320287025909,7276.252327558115,7284.273918342592,0.0,0.0
prd,珠三角,S,10/15/20,9,782.3349682210005,782.9303261565851,0.9085972785840778,0.9663078575426014,777.1735066332681,777.1735066332681,0.0,0.0,777.1735066332681,777.1735066332681,0.0,0.0,777.1735066332681,777.1735066332681,0.0,0.0
prd,珠三角,M,25/50/75,9,2476.7860145698414,2478.791636186164,1.0665451040475795,1.1465749765682267,2455.488135815428,2455.635355421857,0.0,0.0043139654924242744,2455.488135815428,2455.5252236399488,0.0,0.0006676476055198685,2455.488135815428,2455.501227825806,0.0,0.0
prd,珠三角,L,100/150/200,9,7233.879975597336,7258.735901351251,0.5009840100335413,0.6528773109406916,7225.090961435481,7269.163290655477,0.2662595446392338,0.6066743951767919,7242.6639561110915,7299.521702747769,0.4865940136496261,0.9670129235476986,7200.528768442771,7215.106516603995,0.0,0.0
cy,成渝,S,10/15/20,9,925.4462823970694,925.4981295791699,0.6438612721175714,0.6481111677810295,920.1099096949642,920.109909694964,0.013368641845637068,0.013368641845637068,920.0349116478569,920.0349116478569,0.0,0.0,920.0349116478569,920.0349116478569,0.0,0.0
cy,成渝,M,25/50/75,9,2614.8749674895694,2624.14376155439,2.014994475785703,2.1718023782703213,2564.4552730122896,2567.6584233470294,0.27583582623672365,0.26922257068940036,2561.115733293116,2565.884825102173,0.05362351792490497,0.15225802503967129,2560.341379287398,2563.491039112498,0.0,0.0
cy,成渝,L,100/150/200,9,7423.091939037822,7444.448607777387,0.8256500547560406,1.034249142008034,7380.2857193221425,7429.325803783195,0.11264540911009055,0.5516049186539591,7416.119213966678,7444.416975565937,0.6297212436282079,0.8026140404539092,7370.681691502256,7381.3791860821075,0.0,0.0
overall,总体,All,10--200,81,3590.6014345977583,3597.9405124441155,0.9647525543027562,1.0430156597747138,3567.7472857506305,3581.038640163507,0.09076086530574985,0.2040274359959395,3573.308837380915,3586.5113258394326,0.14894427391578316,0.26457026251935606,3562.066577356559,3566.138325356789,0.0,0.0
