region_label,representative_city,scenario_date,hourly_calendar_row,time_h,carbon_intensity_gco2_per_kwh,carbon_source_column
京津冀,beijing,2025-02-12,1,0.0,643.3,Beijing
京津冀,beijing,2025-02-12,2,0.5,643.3,Beijing
京津冀,beijing,2025-02-12,3,1.0,643.9,Beijing
京津冀,beijing,2025-02-12,4,1.5,643.9,Beijing
京津冀,beijing,2025-02-12,5,2.0,636.0,Beijing
京津冀,beijing,2025-02-12,6,2.5,636.0,Beijing
京津冀,beijing,2025-02-12,7,3.0,625.3,Beijing
京津冀,beijing,2025-02-12,8,3.5,625.3,Beijing
京津冀,beijing,2025-02-12,9,4.0,600.1999999999999,Beijing
京津冀,beijing,2025-02-12,10,4.5,600.1999999999999,Beijing
京津冀,beijing,2025-02-12,11,5.0,593.7,Beijing
京津冀,beijing,2025-02-12,12,5.5,593.7,Beijing
京津冀,beijing,2025-02-12,13,6.0,584.9,Beijing
京津冀,beijing,2025-02-12,14,6.5,584.9,Beijing
京津冀,beijing,2025-02-12,15,7.0,594.4000000000001,Beijing
京津冀,beijing,2025-02-12,16,7.5,594.4000000000001,Beijing
京津冀,beijing,2025-02-12,17,8.0,520.3,Beijing
京津冀,beijing,2025-02-12,18,8.5,520.3,Beijing
京津冀,beijing,2025-02-12,19,9.0,318.5,Beijing
京津冀,beijing,2025-02-12,20,9.5,318.5,Beijing
京津冀,beijing,2025-02-12,21,10.0,237.6,Beijing
京津冀,beijing,2025-02-12,22,10.5,237.6,Beijing
京津冀,beijing,2025-02-12,23,11.0,179.9,Beijing
京津冀,beijing,2025-02-12,24,11.5,179.9,Beijing
京津冀,beijing,2025-02-12,25,12.0,164.6,Beijing
京津冀,beijing,2025-02-12,26,12.5,164.6,Beijing
京津冀,beijing,2025-02-12,27,13.0,154.1,Beijing
京津冀,beijing,2025-02-12,28,13.5,154.1,Beijing
京津冀,beijing,2025-02-12,29,14.0,155.29999999999998,Beijing
京津冀,beijing,2025-02-12,30,14.5,155.29999999999998,Beijing
京津冀,beijing,2025-02-12,31,15.0,182.5,Beijing
京津冀,beijing,2025-02-12,32,15.5,182.5,Beijing
京津冀,beijing,2025-02-12,33,16.0,268.7,Beijing
京津冀,beijing,2025-02-12,34,16.5,268.7,Beijing
京津冀,beijing,2025-02-12,35,17.0,430.9,Beijing
京津冀,beijing,2025-02-12,36,17.5,430.9,Beijing
京津冀,beijing,2025-02-12,37,18.0,474.8,Beijing
京津冀,beijing,2025-02-12,38,18.5,474.8,Beijing
京津冀,beijing,2025-02-12,39,19.0,472.3,Beijing
京津冀,beijing,2025-02-12,40,19.5,472.3,Beijing
京津冀,beijing,2025-02-12,41,20.0,485.8,Beijing
京津冀,beijing,2025-02-12,42,20.5,485.8,Beijing
京津冀,beijing,2025-02-12,43,21.0,485.8,Beijing
京津冀,beijing,2025-02-12,44,21.5,485.8,Beijing
京津冀,beijing,2025-02-12,45,22.0,474.9,Beijing
京津冀,beijing,2025-02-12,46,22.5,474.9,Beijing
京津冀,beijing,2025-02-12,47,23.0,615.5,Beijing
京津冀,beijing,2025-02-12,48,23.5,615.5,Beijing
珠三角,guangzhou,2025-02-12,1,0.0,366.9,Guangdong
珠三角,guangzhou,2025-02-12,2,0.5,366.9,Guangdong
珠三角,guangzhou,2025-02-12,3,1.0,346.2,Guangdong
珠三角,guangzhou,2025-02-12,4,1.5,346.2,Guangdong
珠三角,guangzhou,2025-02-12,5,2.0,343.3,Guangdong
珠三角,guangzhou,2025-02-12,6,2.5,343.3,Guangdong
珠三角,guangzhou,2025-02-12,7,3.0,339.3,Guangdong
珠三角,guangzhou,2025-02-12,8,3.5,339.3,Guangdong
珠三角,guangzhou,2025-02-12,9,4.0,331.5,Guangdong
珠三角,guangzhou,2025-02-12,10,4.5,331.5,Guangdong
珠三角,guangzhou,2025-02-12,11,5.0,325.6,Guangdong
珠三角,guangzhou,2025-02-12,12,5.5,325.6,Guangdong
珠三角,guangzhou,2025-02-12,13,6.0,317.8,Guangdong
珠三角,guangzhou,2025-02-12,14,6.5,317.8,Guangdong
珠三角,guangzhou,2025-02-12,15,7.0,297.59999999999997,Guangdong
珠三角,guangzhou,2025-02-12,16,7.5,297.59999999999997,Guangdong
珠三角,guangzhou,2025-02-12,17,8.0,253.9,Guangdong
珠三角,guangzhou,2025-02-12,18,8.5,253.9,Guangdong
珠三角,guangzhou,2025-02-12,19,9.0,185.6,Guangdong
珠三角,guangzhou,2025-02-12,20,9.5,185.6,Guangdong
珠三角,guangzhou,2025-02-12,21,10.0,70.6,Guangdong
珠三角,guangzhou,2025-02-12,22,10.5,70.6,Guangdong
珠三角,guangzhou,2025-02-12,23,11.0,29.6,Guangdong
珠三角,guangzhou,2025-02-12,24,11.5,29.6,Guangdong
珠三角,guangzhou,2025-02-12,25,12.0,22.1,Guangdong
珠三角,guangzhou,2025-02-12,26,12.5,22.1,Guangdong
珠三角,guangzhou,2025-02-12,27,13.0,22.1,Guangdong
珠三角,guangzhou,2025-02-12,28,13.5,22.1,Guangdong
珠三角,guangzhou,2025-02-12,29,14.0,22.1,Guangdong
珠三角,guangzhou,2025-02-12,30,14.5,22.1,Guangdong
珠三角,guangzhou,2025-02-12,31,15.0,22.2,Guangdong
珠三角,guangzhou,2025-02-12,32,15.5,22.2,Guangdong
珠三角,guangzhou,2025-02-12,33,16.0,47.9,Guangdong
珠三角,guangzhou,2025-02-12,34,16.5,47.9,Guangdong
珠三角,guangzhou,2025-02-12,35,17.0,174.0,Guangdong
珠三角,guangzhou,2025-02-12,36,17.5,174.0,Guangdong
珠三角,guangzhou,2025-02-12,37,18.0,175.6,Guangdong
珠三角,guangzhou,2025-02-12,38,18.5,175.6,Guangdong
珠三角,guangzhou,2025-02-12,39,19.0,171.6,Guangdong
珠三角,guangzhou,2025-02-12,40,19.5,171.6,Guangdong
珠三角,guangzhou,2025-02-12,41,20.0,165.39999999999998,Guangdong
珠三角,guangzhou,2025-02-12,42,20.5,165.39999999999998,Guangdong
珠三角,guangzhou,2025-02-12,43,21.0,163.20000000000002,Guangdong
珠三角,guangzhou,2025-02-12,44,21.5,163.20000000000002,Guangdong
珠三角,guangzhou,2025-02-12,45,22.0,160.39999999999998,Guangdong
珠三角,guangzhou,2025-02-12,46,22.5,160.39999999999998,Guangdong
珠三角,guangzhou,2025-02-12,47,23.0,158.29999999999998,Guangdong
珠三角,guangzhou,2025-02-12,48,23.5,158.29999999999998,Guangdong
成渝,chongqing,2025-02-12,1,0.0,311.09999999999997,Chongqing
成渝,chongqing,2025-02-12,2,0.5,311.09999999999997,Chongqing
成渝,chongqing,2025-02-12,3,1.0,317.90000000000003,Chongqing
成渝,chongqing,2025-02-12,4,1.5,317.90000000000003,Chongqing
成渝,chongqing,2025-02-12,5,2.0,325.79999999999995,Chongqing
成渝,chongqing,2025-02-12,6,2.5,325.79999999999995,Chongqing
成渝,chongqing,2025-02-12,7,3.0,335.1,Chongqing
成渝,chongqing,2025-02-12,8,3.5,335.1,Chongqing
成渝,chongqing,2025-02-12,9,4.0,340.8,Chongqing
成渝,chongqing,2025-02-12,10,4.5,340.8,Chongqing
成渝,chongqing,2025-02-12,11,5.0,347.5,Chongqing
成渝,chongqing,2025-02-12,12,5.5,347.5,Chongqing
成渝,chongqing,2025-02-12,13,6.0,331.3,Chongqing
成渝,chongqing,2025-02-12,14,6.5,331.3,Chongqing
成渝,chongqing,2025-02-12,15,7.0,249.1,Chongqing
成渝,chongqing,2025-02-12,16,7.5,249.1,Chongqing
成渝,chongqing,2025-02-12,17,8.0,221.1,Chongqing
成渝,chongqing,2025-02-12,18,8.5,221.1,Chongqing
成渝,chongqing,2025-02-12,19,9.0,284.1,Chongqing
成渝,chongqing,2025-02-12,20,9.5,284.1,Chongqing
成渝,chongqing,2025-02-12,21,10.0,229.5,Chongqing
成渝,chongqing,2025-02-12,22,10.5,229.5,Chongqing
成渝,chongqing,2025-02-12,23,11.0,216.6,Chongqing
成渝,chongqing,2025-02-12,24,11.5,216.6,Chongqing
成渝,chongqing,2025-02-12,25,12.0,173.3,Chongqing
成渝,chongqing,2025-02-12,26,12.5,173.3,Chongqing
成渝,chongqing,2025-02-12,27,13.0,162.0,Chongqing
成渝,chongqing,2025-02-12,28,13.5,162.0,Chongqing
成渝,chongqing,2025-02-12,29,14.0,153.6,Chongqing
成渝,chongqing,2025-02-12,30,14.5,153.6,Chongqing
成渝,chongqing,2025-02-12,31,15.0,163.20000000000002,Chongqing
成渝,chongqing,2025-02-12,32,15.5,163.20000000000002,Chongqing
成渝,chongqing,2025-02-12,33,16.0,190.89999999999998,Chongqing
成渝,chongqing,2025-02-12,34,16.5,190.89999999999998,Chongqing
成渝,chongqing,2025-02-12,35,17.0,143.0,Chongqing
成渝,chongqing,2025-02-12,36,17.5,143.0,Chongqing
成渝,chongqing,2025-02-12,37,18.0,4.6,Chongqing
成渝,chongqing,2025-02-12,38,18.5,4.6,Chongqing
成渝,chongqing,2025-02-12,39,19.0,4.6,Chongqing
成渝,chongqing,2025-02-12,40,19.5,4.6,Chongqing
成渝,chongqing,2025-02-12,41,20.0,4.6,Chongqing
成渝,chongqing,2025-02-12,42,20.5,4.6,Chongqing
成渝,chongqing,2025-02-12,43,21.0,4.5,Chongqing
成渝,chongqing,2025-02-12,44,21.5,4.5,Chongqing
成渝,chongqing,2025-02-12,45,22.0,4.6,Chongqing
成渝,chongqing,2025-02-12,46,22.5,4.6,Chongqing
成渝,chongqing,2025-02-12,47,23.0,4.8,Chongqing
成渝,chongqing,2025-02-12,48,23.5,4.8,Chongqing
