instance_id,region,customer_count,depot_count,mismatch_customer_count,mismatch_rate_pct,nearest_tie_count,administrative_assignment_rule,nearest_assignment_rule
cn-jjj-200c-01-V2-LOCATIONS,jjj,200,3,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-jjj-200c-02-V2-LOCATIONS,jjj,200,3,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-jjj-200c-03-V2-LOCATIONS,jjj,200,3,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-jjj-20c-01-V2-LOCATIONS,jjj,20,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-jjj-20c-02-V2-LOCATIONS,jjj,20,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-jjj-20c-03-V2-LOCATIONS,jjj,20,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-jjj-25c-01-V2-LOCATIONS,jjj,25,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-jjj-25c-02-V2-LOCATIONS,jjj,25,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-jjj-25c-03-V2-LOCATIONS,jjj,25,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-jjj-50c-01-V2-LOCATIONS,jjj,50,2,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-jjj-50c-02-V2-LOCATIONS,jjj,50,2,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-jjj-50c-03-V2-LOCATIONS,jjj,50,2,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-jjj-75c-01-V2-LOCATIONS,jjj,75,2,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-jjj-75c-02-V2-LOCATIONS,jjj,75,2,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-jjj-75c-03-V2-LOCATIONS,jjj,75,2,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-prd-100c-01-V2-LOCATIONS,prd,100,2,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-prd-100c-02-V2-LOCATIONS,prd,100,2,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-prd-100c-03-V2-LOCATIONS,prd,100,2,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-prd-10c-01-V2-LOCATIONS,prd,10,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-prd-10c-02-V2-LOCATIONS,prd,10,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-prd-10c-03-V2-LOCATIONS,prd,10,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-prd-150c-01-V2-LOCATIONS,prd,150,4,3,2.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-prd-150c-02-V2-LOCATIONS,prd,150,4,2,1.3333333333333333,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-prd-150c-03-V2-LOCATIONS,prd,150,4,4,2.6666666666666665,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-prd-15c-01-V2-LOCATIONS,prd,15,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-prd-15c-02-V2-LOCATIONS,prd,15,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-prd-15c-03-V2-LOCATIONS,prd,15,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-prd-200c-01-V2-LOCATIONS,prd,200,4,7,3.5,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-prd-200c-02-V2-LOCATIONS,prd,200,4,6,3.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-prd-200c-03-V2-LOCATIONS,prd,200,4,2,1.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-prd-20c-01-V2-LOCATIONS,prd,20,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-prd-20c-02-V2-LOCATIONS,prd,20,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-prd-20c-03-V2-LOCATIONS,prd,20,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-prd-25c-01-V2-LOCATIONS,prd,25,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-prd-25c-02-V2-LOCATIONS,prd,25,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-prd-25c-03-V2-LOCATIONS,prd,25,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-prd-50c-01-V2-LOCATIONS,prd,50,2,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-prd-50c-02-V2-LOCATIONS,prd,50,2,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-prd-50c-03-V2-LOCATIONS,prd,50,2,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-prd-75c-01-V2-LOCATIONS,prd,75,2,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-prd-75c-02-V2-LOCATIONS,prd,75,2,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-prd-75c-03-V2-LOCATIONS,prd,75,2,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
