active_flags,actual_evals,algorithm,battery_kwh,best_cost,category,checkpoint_operator,checkpoint_path,checkpoint_readable,commit_hash,comparison_mode,cv_physical_vehicle_count,cv_route_count,elapsed_seconds,ev_physical_vehicle_count,ev_route_count,eval_budget_backstop,evals_per_second,failure_reason,feasible,gate_status,instance,max_trips_per_physical_vehicle,numpy,python,queue_action,replicate,route_count,runtime_cap_seconds,scenario,scenario_label,seed,size,status,timings,violation_count,winner_all_cv,winner_all_ev,winner_ev_route_share,worker_stderr_tail,worker_stdout_tail
{},16000,LNS,100.0,3960.9142264324673,multidepot,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/wallclock_battery_preflight_wallclock_retry_data/checkpoints/wc100/e2-multidepot-100c-01__LNS__seed1.json,True,f72c31cc8a2f3321050580cbab2c3c18e58b4ec7,wallclock,7,14,538.9946001249918,1,1,16000,29.68489850601403,,True,OK,e2-multidepot-100c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,SKIPPED_EXISTING,1,15,900.0,wc100,100kWh same wall-clock,1,100,OK,{},0,False,False,0.06666666666666667,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_e2_throughput,100.0,3960.9142264324673,multidepot,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/wallclock_battery_preflight_wallclock_retry_data/checkpoints/wc100/e2-multidepot-100c-01__alns_e2_throughput__seed1.json,True,f72c31cc8a2f3321050580cbab2c3c18e58b4ec7,wallclock,7,14,281.6911157499999,1,1,16000,56.79980342085037,,True,OK,e2-multidepot-100c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,SKIPPED_EXISTING,1,15,900.0,wc100,100kWh same wall-clock,1,100,OK,"{""acceptance"": {""count"": 15936.0, ""seconds"": 0.004042190295876935}, ""checkpoint_model_cost"": {""count"": 1.0, ""seconds"": 0.00024270899302791804}, ""destroy:random_customer_removal"": {""count"": 2658.0, ""seconds"": 0.41645856482500676}, ""destroy:route_segment_removal"": {""count"": 2655.0, ""seconds"": 0.45404825574951246}, ""destroy:shaw_related_removal"": {""count"": 2655.0, ""seconds"": 13.998442777869059}, ""destroy:vehicle_type_swap"": {""count"": 2655.0, ""seconds"": 7.7390599932696205}, ""destroy:whole_route_removal"": {""count"": 2655.0, ""seconds"": 0.40379043320717756}, ""destroy:worst_customer_removal"": {""count"": 2658.0, ""seconds"": 0.47312474421050865}, ""final_check"": {""count"": 1.0, ""seconds"": 0.0003185419918736443}, ""full_candidate_score"": {""count"": 15936.0, ""seconds"": 8.946183463791385}, ""history_model_cost"": {""count"": 1.0, ""seconds"": 0.0002962500002468005}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0006009999924572185}, ""repair:greedy_insert_repair"": {""count"": 5312.0, ""seconds"": 84.03971055429429}, ""repair:regret2_insert_repair"": {""count"": 5312.0, ""seconds"": 84.99128290073713}, ""repair:regret3_insert_repair"": {""count"": 5312.0, ""seconds"": 85.6963266327075}, ""repair_full_check"": {""count"": 31872.0, ""seconds"": 10.692692518219701}, ""repair_solution_score"": {""count"": 7213.0, ""seconds"": 1.7575572197092697}, ""route_model_cost"": {""count"": 629819.0, ""seconds"": 14.980768485242152}, ""scan_build"": {""count"": 64.0, ""seconds"": 0.06390345700492617}, ""scan_score"": {""count"": 64.0, ""seconds"": 0.032762705042841844}}",0,False,False,0.06666666666666667,,
{},16000,LNS,100.0,476.14411336859115,multidepot,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/wallclock_battery_preflight_wallclock_retry_data/checkpoints/wc100/e2-multidepot-10c-01__LNS__seed1.json,True,f72c31cc8a2f3321050580cbab2c3c18e58b4ec7,wallclock,1,2,34.03855983300309,1,1,16000,470.055139773767,,True,OK,e2-multidepot-10c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,SKIPPED_EXISTING,1,3,300.0,wc100,100kWh same wall-clock,1,10,OK,{},0,False,False,0.3333333333333333,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_e2_throughput,100.0,387.9007343319535,multidepot,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/wallclock_battery_preflight_wallclock_retry_data/checkpoints/wc100/e2-multidepot-10c-01__alns_e2_throughput__seed1.json,True,f72c31cc8a2f3321050580cbab2c3c18e58b4ec7,wallclock,1,1,10.666815625008894,1,1,16000,1499.9790530256455,,True,OK,e2-multidepot-10c-01,1,2.3.5,/opt/anaconda3/bin/python3.13,SKIPPED_EXISTING,1,2,300.0,wc100,100kWh same wall-clock,1,10,OK,"{""acceptance"": {""count"": 15936.0, ""seconds"": 0.012158217839896679}, ""checkpoint_model_cost"": {""count"": 4.0, ""seconds"": 0.0001721259905025363}, ""destroy:random_customer_removal"": {""count"": 1152.0, ""seconds"": 0.04628471577598248}, ""destroy:route_segment_removal"": {""count"": 9386.0, ""seconds"": 0.24313224958314095}, ""destroy:shaw_related_removal"": {""count"": 1152.0, ""seconds"": 0.07228960227803327}, ""destroy:vehicle_type_swap"": {""count"": 1152.0, ""seconds"": 0.1598578130651731}, ""destroy:whole_route_removal"": {""count"": 1942.0, ""seconds"": 0.03525935669313185}, ""destroy:worst_customer_removal"": {""count"": 1152.0, ""seconds"": 0.030468996046693064}, ""final_check"": {""count"": 1.0, ""seconds"": 7.987499702721834e-05}, ""full_candidate_score"": {""count"": 15936.0, ""seconds"": 1.8869907099433476}, ""history_model_cost"": {""count"": 4.0, ""seconds"": 0.00019166700076311827}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.00016420899191871285}, ""local_search"": {""count"": 1869.0, ""seconds"": 0.002191271021729335}, ""repair:greedy_insert_repair"": {""count"": 2304.0, ""seconds"": 1.193795029859757}, ""repair:regret2_insert_repair"": {""count"": 11246.0, ""seconds"": 5.015386420724099}, ""repair:regret3_insert_repair"": {""count"": 2386.0, ""seconds"": 1.292391790644615}, ""repair_full_check"": {""count"": 17105.0, ""seconds"": 1.456911067434703}, ""repair_solution_score"": {""count"": 1155.0, ""seconds"": 0.03764232814137358}, ""route_model_cost"": {""count"": 834.0, ""seconds"": 0.017277959967032075}, ""scan_build"": {""count"": 64.0, ""seconds"": 0.005397538989200257}, ""scan_score"": {""count"": 64.0, ""seconds"": 0.004632332944311202}}",0,False,False,0.5,,
{},15812,LNS,100.0,5488.782859056312,multidepot,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/wallclock_battery_preflight_wallclock_retry_data/checkpoints/wc100/e2-multidepot-150c-01__LNS__seed1.json,True,f72c31cc8a2f3321050580cbab2c3c18e58b4ec7,wallclock,10,21,902.2101776670024,1,1,16000,17.525849731475834,,True,OK,e2-multidepot-150c-01,3,2.3.5,/opt/anaconda3/bin/python3.13,SKIPPED_EXISTING,1,22,900.0,wc100,100kWh same wall-clock,1,150,OK,{},0,False,False,0.045454545454545456,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_e2_throughput,100.0,5488.782859056312,multidepot,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/wallclock_battery_preflight_wallclock_retry_data/checkpoints/wc100/e2-multidepot-150c-01__alns_e2_throughput__seed1.json,True,f72c31cc8a2f3321050580cbab2c3c18e58b4ec7,wallclock,10,21,654.6240470410121,1,1,16000,24.441509706712015,,True,OK,e2-multidepot-150c-01,3,2.3.5,/opt/anaconda3/bin/python3.13,SKIPPED_EXISTING,1,22,900.0,wc100,100kWh same wall-clock,1,150,OK,"{""acceptance"": {""count"": 15936.0, ""seconds"": 0.004184186604106799}, ""checkpoint_model_cost"": {""count"": 1.0, ""seconds"": 0.00035729099181480706}, ""destroy:random_customer_removal"": {""count"": 2658.0, ""seconds"": 0.6433548960485496}, ""destroy:route_segment_removal"": {""count"": 2655.0, ""seconds"": 0.7611141958041117}, ""destroy:shaw_related_removal"": {""count"": 2655.0, ""seconds"": 38.61615390893712}, ""destroy:vehicle_type_swap"": {""count"": 2655.0, ""seconds"": 8.439893861563178}, ""destroy:whole_route_removal"": {""count"": 2655.0, ""seconds"": 0.6895994043443352}, ""destroy:worst_customer_removal"": {""count"": 2658.0, ""seconds"": 0.7722558786772424}, ""final_check"": {""count"": 1.0, ""seconds"": 0.0004776660061907023}, ""full_candidate_score"": {""count"": 15936.0, ""seconds"": 13.480022828560323}, ""history_model_cost"": {""count"": 1.0, ""seconds"": 0.00043170800199732184}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0009957089932868257}, ""repair:greedy_insert_repair"": {""count"": 5312.0, ""seconds"": 193.878168014955}, ""repair:regret2_insert_repair"": {""count"": 5312.0, ""seconds"": 201.4025101464067}, ""repair:regret3_insert_repair"": {""count"": 5312.0, ""seconds"": 204.25096745192423}, ""repair_full_check"": {""count"": 31872.0, ""seconds"": 17.46672417067748}, ""repair_solution_score"": {""count"": 5674.0, ""seconds"": 2.048587428595056}, ""route_model_cost"": {""count"": 1313829.0, ""seconds"": 32.88230933781597}, ""scan_build"": {""count"": 64.0, ""seconds"": 0.10502529506629799}, ""scan_score"": {""count"": 64.0, ""seconds"": 0.04962800204521045}}",0,False,False,0.045454545454545456,,
{},16000,LNS,100.0,621.371321439464,multidepot,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/wallclock_battery_preflight_wallclock_retry_data/checkpoints/wc100/e2-multidepot-15c-01__LNS__seed1.json,True,f72c31cc8a2f3321050580cbab2c3c18e58b4ec7,wallclock,2,2,32.495789375010645,0,0,16000,492.3714828206034,,True,OK,e2-multidepot-15c-01,1,2.3.5,/opt/anaconda3/bin/python3.13,SKIPPED_EXISTING,1,2,300.0,wc100,100kWh same wall-clock,1,15,OK,{},0,True,False,0.0,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_e2_throughput,100.0,621.371321439464,multidepot,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/wallclock_battery_preflight_wallclock_retry_data/checkpoints/wc100/e2-multidepot-15c-01__alns_e2_throughput__seed1.json,True,f72c31cc8a2f3321050580cbab2c3c18e58b4ec7,wallclock,2,2,14.68521608399169,0,0,16000,1089.5311249414676,,True,OK,e2-multidepot-15c-01,1,2.3.5,/opt/anaconda3/bin/python3.13,SKIPPED_EXISTING,1,2,300.0,wc100,100kWh same wall-clock,1,15,OK,"{""acceptance"": {""count"": 15936.0, ""seconds"": 0.00605108258605469}, ""checkpoint_model_cost"": {""count"": 2.0, ""seconds"": 8.779201016295701e-05}, ""destroy:random_customer_removal"": {""count"": 2180.0, ""seconds"": 0.08259216137230396}, ""destroy:route_segment_removal"": {""count"": 2319.0, ""seconds"": 0.06717135668441188}, ""destroy:shaw_related_removal"": {""count"": 6284.0, ""seconds"": 0.5667158513824688}, ""destroy:vehicle_type_swap"": {""count"": 1449.0, ""seconds"": 0.3653183344285935}, ""destroy:whole_route_removal"": {""count"": 2255.0, ""seconds"": 0.045250271359691396}, ""destroy:worst_customer_removal"": {""count"": 1449.0, ""seconds"": 0.04296157536737155}, ""final_check"": {""count"": 1.0, ""seconds"": 4.420799086801708e-05}, ""full_candidate_score"": {""count"": 15936.0, ""seconds"": 1.3556759498897009}, ""history_model_cost"": {""count"": 2.0, ""seconds"": 0.000113667018013075}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.00014099999680183828}, ""local_search"": {""count"": 353.0, ""seconds"": 0.0004863018839387223}, ""repair:greedy_insert_repair"": {""count"": 3627.0, ""seconds"": 2.49880004581064}, ""repair:regret2_insert_repair"": {""count"": 3769.0, ""seconds"": 2.1949935585289495}, ""repair:regret3_insert_repair"": {""count"": 8540.0, ""seconds"": 6.2584018406050745}, ""repair_full_check"": {""count"": 19757.0, ""seconds"": 1.2532437159388792}, ""route_model_cost"": {""count"": 3384.0, ""seconds"": 0.06849143718136474}, ""scan_build"": {""count"": 64.0, ""seconds"": 0.008379161983611993}, ""scan_score"": {""count"": 64.0, ""seconds"": 0.006554371037054807}}",0,True,False,0.0,,
{},11063,LNS,100.0,6608.239546640648,multidepot,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/wallclock_battery_preflight_wallclock_retry_data/checkpoints/wc100/e2-multidepot-200c-01__LNS__seed1.json,True,f72c31cc8a2f3321050580cbab2c3c18e58b4ec7,wallclock,14,28,905.8754531669983,1,1,16000,12.212495615509887,,True,OK,e2-multidepot-200c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,SKIPPED_EXISTING,1,29,900.0,wc100,100kWh same wall-clock,1,200,OK,{},0,False,False,0.034482758620689655,,
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",7629,alns_e2_throughput,100.0,6608.239546640648,multidepot,,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/wallclock_battery_preflight_wallclock_retry_data/checkpoints/wc100/e2-multidepot-200c-01__alns_e2_throughput__seed1.json,True,f72c31cc8a2f3321050580cbab2c3c18e58b4ec7,wallclock,14,28,907.4582728749956,1,1,16000,8.406998126569409,,True,OK,e2-multidepot-200c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,SKIPPED_EXISTING,1,29,900.0,wc100,100kWh same wall-clock,1,200,OK,"{""acceptance"": {""count"": 7598.0, ""seconds"": 0.002114712420734577}, ""checkpoint_model_cost"": {""count"": 1.0, ""seconds"": 0.00046908399963285774}, ""destroy:random_customer_removal"": {""count"": 1268.0, ""seconds"": 0.4695276409620419}, ""destroy:route_segment_removal"": {""count"": 1266.0, ""seconds"": 0.5846207420690916}, ""destroy:shaw_related_removal"": {""count"": 1266.0, ""seconds"": 42.900856651729555}, ""destroy:vehicle_type_swap"": {""count"": 1266.0, ""seconds"": 11.36361341708107}, ""destroy:whole_route_removal"": {""count"": 1266.0, ""seconds"": 0.5446232129470445}, ""destroy:worst_customer_removal"": {""count"": 1266.0, ""seconds"": 0.6171727069740882}, ""final_check"": {""count"": 1.0, ""seconds"": 0.0006727080035489053}, ""full_candidate_score"": {""count"": 7598.0, ""seconds"": 8.97114399477141}, ""history_model_cost"": {""count"": 1.0, ""seconds"": 0.0005838749930262566}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.001199709004140459}, ""repair:greedy_insert_repair"": {""count"": 2533.0, ""seconds"": 276.5108972510643}, ""repair:regret2_insert_repair"": {""count"": 2533.0, ""seconds"": 292.03129167528823}, ""repair:regret3_insert_repair"": {""count"": 2532.0, ""seconds"": 274.162581615019}, ""repair_full_check"": {""count"": 15196.0, ""seconds"": 12.379428594431374}, ""repair_solution_score"": {""count"": 5232.0, ""seconds"": 2.536131402477622}, ""route_model_cost"": {""count"": 1548752.0, ""seconds"": 41.45098402883741}, ""scan_build"": {""count"": 31.0, ""seconds"": 0.07962195895379409}, ""scan_score"": {""count"": 31.0, ""seconds"": 0.03357416902144905}}",0,False,False,0.034482758620689655,,
