year,region,hour_count,mean_tCO2_per_MWh,min_tCO2_per_MWh,max_tCO2_per_MWh,MEE_2023_kgCO2_per_kWh,relative_difference_to_MEE_2023_pct
2025,Mainland China,8760,0.41751663,0.13070000,0.58220000,0.5306,-21.312357
2025,Beijing,8760,0.38430424,0.05740000,0.72580000,,
2025,Tianjin,8760,0.66736712,0.16960000,0.79980000,,
2025,Hebei,8760,0.46751280,0.04330000,0.79360000,,
2025,Shanxi,8760,0.67415581,0.17740000,0.81130000,,
2025,Inner Mongolia,8760,0.49722429,0.02860000,0.81250000,,
2025,Liaoning,8760,0.32824089,0.03840000,0.63510000,,
2025,Jilin,8760,0.19512425,0.01170000,0.83540000,,
2025,Heilongjiang,8760,0.28532555,0.02750000,0.69040000,,
2025,Shanghai,8760,0.45032830,0.15610000,0.65010000,0.5737,-21.504567
2025,Jiangsu,8760,0.50568298,0.12310000,0.68370000,0.5827,-13.217268
2025,Zhejiang,8760,0.36116717,0.00070000,0.56650000,,
2025,Anhui,8760,0.68044110,0.18650000,0.76840000,,
2025,Fujian,8760,0.22011306,0.00010000,0.58980000,,
2025,Jiangxi,8760,0.62625333,0.35980000,0.76980000,,
2025,Shandong,8760,0.51374150,0.11850000,0.74010000,,
2025,Henan,8760,0.56392731,0.17880000,0.77950000,,
2025,Hubei,8760,0.15876126,0.00090000,0.61410000,,
2025,Hunan,8760,0.30084315,0.03460000,0.63700000,,
2025,Guangdong,8760,0.35830363,0.01440000,0.57610000,,
2025,Guangxi,8760,0.29121334,0.00720000,0.50310000,,
2025,Hainan,8760,0.10152634,0.00000000,0.35150000,,
2025,Chongqing,8760,0.20319477,0.00300000,0.53000000,,
2025,Sichuan,8760,0.01678019,0.00000000,0.15990000,,
2025,Guizhou,8760,0.52156781,0.07970000,0.79980000,,
2025,Yunnan,8760,0.03290825,0.00000000,0.15960000,,
2025,Tibet,8760,0.00056914,0.00000000,0.05060000,,
2025,Shaanxi,8760,0.67368876,0.22560000,0.79470000,,
2025,Gansu,8760,0.24237713,0.00650000,0.68640000,,
2025,Qinghai,8760,0.05581345,0.00000000,0.42800000,,
2025,Ningxia,8760,0.54255113,0.15530000,0.78220000,,
2025,Xinjiang,8760,0.68135801,0.40040000,0.80500000,,
2030,Mainland China,8760,0.35736708,0.10890000,0.53180000,0.5306,
2030,Beijing,8760,0.37259692,0.04130000,0.73860000,,
2030,Tianjin,8760,0.69497955,0.20810000,0.76480000,,
2030,Hebei,8760,0.39649643,0.03320000,0.77160000,,
2030,Shanxi,8760,0.56927979,0.08530000,0.78250000,,
2030,Inner Mongolia,8760,0.33777444,0.01430000,0.79500000,,
