year,expected_hours,observed_hours,column_count,column_sequence_match,invalid_time_count,null_count,non_numeric_count,negative_count,nonfinite_count,above_2_tCO2_per_MWh_count,search_evaluations,source_gate_pass
2025,8760,8760,33,1,0,0,0,0,0,0,0,1
2030,8760,8760,33,1,0,0,0,0,0,0,0,1
2035,8760,8760,33,1,0,0,0,0,0,0,0,1
2040,8784,8784,33,1,0,0,0,0,0,0,0,1
2045,8760,8760,33,1,0,0,0,0,0,0,0,1
2050,8760,8760,33,1,0,0,0,0,0,0,0,1
2055,8760,8760,33,1,0,6,0,0,0,0,0,0
2060,8784,8784,33,1,0,51,0,0,0,0,0,0
