comparison,left_wins,mean_E_total_delta_left_minus_right,mean_gap_pct_left_minus_right,pairs,right_wins,ties,wilcoxon_method,wilcoxon_p_less_left_minus_right
carbon_vs_ablation,0,4.153070880158409,1.8303509587424676,23,2,21,scipy_wilcoxon_less,1.0
carbon_vs_lns,2,-6.229165796864552,-2.053428623355036,23,1,20,scipy_wilcoxon_less,0.25
carbon_vs_throughput,1,-0.09249007626552048,-0.0110012173023453,23,0,22,scipy_wilcoxon_less,0.5
